twitter_id,date,tweet,lang,data
1680576888836595712,2023-07-16T13:55:28.000Z,"b""Who's ready for a Manic Monday?""",en,
1680487820446830593,2023-07-16T08:01:33.000Z,b'\xf0\x9f\x98\x9e\xf0\x9f\x98\x9e\xf0\x9f\x98\x9e https://t.co/RTPYgyIBHO',art,
1680118284711243777,2023-07-15T07:33:08.000Z,b'RT @_dumpmimi: Got my BLK cosmetics @annecurtissmith https://t.co/nyjmbx2QE8',en,
1678724536840372227,2023-07-11T11:14:53.000Z,b'\xf0\x9f\xa4\x8d\xf0\x9f\x98\x82\xf0\x9f\x98\x98 https://t.co/sqtzedQd5r',art,
1678723576789348355,2023-07-11T11:11:04.000Z,b'Thanks for the warm welcome mga Madlang Kapuso! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x8d https://t.co/za2BKQvJuw',tl,
1678705587079761920,2023-07-11T09:59:35.000Z,b'RT @TonsMags: Watch out for our one-on-one interview with Miss @annecurtissmith in @24OrasGMA later! https://t.co/D2xaRVP0G2',en,
1678697960887160833,2023-07-11T09:29:17.000Z,b'See you later sa 24 Oras! \xf0\x9f\xa4\x8d https://t.co/wLzym8WL1X',en,
1678697513791143936,2023-07-11T09:27:30.000Z,"b'Whoopsy! It posted late! I\xe2\x80\x99m so sure I saw it post before I exited the app! Sorry! Anyway, I\xe2\x80\x99m sure you can catch the interview online! always a pleasure to have a quick chat with Tito Boy!  @FastTalkGMA'",en,
1678696313452642305,2023-07-11T09:22:44.000Z,b'See you guys at 4:45pm! @fasttalkgma \xf0\x9f\xa4\x8d https://t.co/DeKXXkuLKO',en,
1678656770364014592,2023-07-11T06:45:36.000Z,b'See you guys in a bit! \xe2\x9d\xa4\xef\xb8\x8f https://t.co/bNUgGLRJs6',en,
1677560199736086529,2023-07-08T06:08:13.000Z,b'@nylpatrique You got the design for today \xf0\x9f\xa4\x8d',en,
1677518640953057280,2023-07-08T03:23:05.000Z,b'See you guys on showtime! 11:30am today!!!!',en,
1676591540481712133,2023-07-05T13:59:07.000Z,b'The last time I got to speak to Tito Mario. I send my condolences to the whole Dumaual family \xf0\x9f\x98\x9e\xf0\x9f\x95\x8a\xef\xb8\x8f https://t.co/3vz4yS9T85',en,
1676534499688210437,2023-07-05T10:12:27.000Z,b'Hahahahaha full support ang friends. I love it! https://t.co/JBxuN7gzXS',en,
1676534095466369028,2023-07-05T10:10:51.000Z,b'Yep!  My fave from @PICKUPCOFFEEPH \xf0\x9f\xa4\x8d\xf0\x9f\x92\x9a but I completely remove the sugar hahahahahaha https://t.co/6jQmHNuvOH',en,
1676420606731104256,2023-07-05T02:39:53.000Z,b'Hahahahahaha the best version so far!! https://t.co/imoVAiqrnV',it,
1676073711957610498,2023-07-04T03:41:27.000Z,b'See you guys on showtime today!!!! \xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d',en,
1675787891623227392,2023-07-03T08:45:42.000Z,b'RT @mah_eh08: Ang ganda ng Siargao!\xf0\x9f\x8c\xb4\xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x8c\x8a\nTried this hydrating mist from @blkcosmeticsph and nakaka-fresh talaga lalo na sa super init na wea\xe2\x80\xa6',tl,
1675787101110169600,2023-07-03T08:42:34.000Z,b'Ang Sarap naman kasi ng @Jollibee Chickenjoy!!!!! https://t.co/YZeipJI7uy',tl,
1675786358290530304,2023-07-03T08:39:37.000Z,b'Birthday month is coming up!!!! Get ready to shop with @AbensonPH for your appliances and electronics! https://t.co/hC2NT4tHLg',en,
1675785939535421446,2023-07-03T08:37:57.000Z,b'Bakit uso the \xf0\x9f\xa4\xb8\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f emoji? \xf0\x9f\x98\x82 https://t.co/mHwxG6lQb6',en,
1675785606901932033,2023-07-03T08:36:37.000Z,b'@nicolaiee12 Hahahahahahaha! Napansin mo pa yun? Actually I also noticed kanina.',tl,
1675785178470547456,2023-07-03T08:34:55.000Z,b'What a genuinely kind and pure soul. \xf0\x9f\xa4\x8d\nBless her heart. \nKudos to her parents for instilling such beautiful values. Imagine if we were all like this. No hatred or harmful words would exist. \xf0\x9f\xa5\xb9 https://t.co/qrvjUpVwa1',en,
1675716514589343745,2023-07-03T04:02:05.000Z,b'See you guys on showtime!!!! \xf0\x9f\xa4\x8d',en,
1675680470384914432,2023-07-03T01:38:51.000Z,b'Gusto nyo ba Talaga? https://t.co/ny3a1lNlIr',tl,
1675231587196342273,2023-07-01T19:55:09.000Z,b'On my way to the @LazadaPH run!  See you guys there!',en,
1675133705164140546,2023-07-01T13:26:12.000Z,b'See you guys bright and early tomorrow morning! \xf0\x9f\xa4\x8d https://t.co/1bKJrdKowc',en,
