twitter_id,date,tweet,lang,data
1680615086493147137,2023-07-16T16:27:15.000Z,b'We don\xe2\x80\x99t CONE-done trying these flavours \xf0\x9f\x98\x82\xf0\x9f\x8d\xa6 https://t.co/WC4YgSwlOe',en,
1680216903900450817,2023-07-15T14:05:01.000Z,"b""As it's Wimbledon, we thought we'd serve up a new episode of Game Boys \xf0\x9f\x98\x8f\xf0\x9f\x8e\xbe https://t.co/0cSd2Eqigx""",en,
1679922690084175872,2023-07-14T18:35:55.000Z,b'Congrats to all the young people who finished our Making it in Media programme in Newcastle \xf0\x9f\x91\x8f\xf0\x9f\x8e\xac\n\nWe got the chance to meet them on the first day of their course and wish them the best of luck at the @PrincesTrust Get Hired event on July 21st \xf0\x9f\xa4\xa9 https://t.co/9SGg3pdtnl',en,
1678697611513962497,2023-07-11T09:27:53.000Z,b'@mitrestudios ...guys?',en,
1678670802168823809,2023-07-11T07:41:22.000Z,b'@mitrestudios Hahah good one guys!!',en,
1678661824261111808,2023-07-11T07:05:41.000Z,b'@mitrestudios I think we must have got our w\xcc\xb6i\xcc\xb6r\xcc\xb6e\xcc\xb6l\xcc\xb6e\xcc\xb6s\xcc\xb6s\xcc\xb6 wires crossed \xf0\x9f\x98\x89\xf0\x9f\x98\x82',es,
1678661647987101696,2023-07-11T07:04:59.000Z,b'RT @mitrestudios: This isn\xe2\x80\x99t what we had in mind when we asked you to improve the office WiFi @antanddec\xe2\x80\xa6 \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #LimitlessWin https://t.co/Y\xe2\x80\xa6',en,
1676251968593969153,2023-07-04T15:29:47.000Z,b'@alanshearer @AlanShearerFndn @OfficialSting \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f what a night!',en,
1676157487496536064,2023-07-04T09:14:21.000Z,b'Morning! It\xe2\x80\x99s a beautiful one in the Toon #Byker https://t.co/MzvkKPiGVg',en,
1676109262248898563,2023-07-04T06:02:43.000Z,b'We hope you\xe2\x80\x99re as psyche(d) as us for this comeback \xf0\x9f\xa5\xb3 #Byker https://t.co/TyX75BAJ2V',en,
