twitter_id,date,tweet,lang,data
1680338721739079680,2023-07-15T22:09:05.000Z,b'https://t.co/yGU9YJWOjG',zxx,
1680338597201715200,2023-07-15T22:08:35.000Z,b'Sorry the instruction is relative to the app',en,
1680338213083250689,2023-07-15T22:07:03.000Z,b'I\xe2\x80\x99ve had two 1 hr conversations with https://t.co/vK24uMdEs8 today working though complicated issues. I highly recommend trying it. The best use is the talk function. Press the dots on the lower right then press the phone icon and strike up a convo.',en,
1679341962841804801,2023-07-13T04:08:19.000Z,"b""RT @xmtp_: Today we're thrilled to announce that @CoinbaseWallet has added encrypted messaging in-app using XMTP! \xf0\x9f\xa5\xb3\n\nThis milestone marks t\xe2\x80\xa6""",en,
1678834234188787733,2023-07-11T18:30:47.000Z,"b'RT @AnthropicAI: Introducing Claude 2! Our latest model has improved performance in coding, math and reasoning. It can produce longer respo\xe2\x80\xa6'",en,
1674315860268433408,2023-06-29T07:16:23.000Z,"b'RT @GustoHQ: \xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3 Big news! \n\n\xf0\x9f\x8c\x8d \xf0\x9f\x92\xb5 \xe2\x9c\x94\xef\xb8\x8f Gusto is proud to introduce Gusto Global, powered by @remote, to help SMBs hire, pay, and manage full-t\xe2\x80\xa6'",en,
1670557088123330561,2023-06-18T22:20:21.000Z,"b""On Father's Day Jim Gaffigan ponders the peculiar lives of childless men - CBS News https://t.co/oTg2QlQQCe""",en,
1669812266320158721,2023-06-16T21:00:42.000Z,b'Petition \xc2\xb7 GLOBAL CALL FOR THE URGENT PREVENTION OF GENOCIDE OF THE INDIGENOUS PEOPLES IN BRAZIL \xc2\xb7 https://t.co/qr5WctfrJ4 https://t.co/SEn4ZxHt32',en,
1663969228070989824,2023-05-31T18:02:33.000Z,"b""To build a sustainable world we will need to embrace new solutions, but it doesn't mean we have to compromise on quality.  I'm a very proud steakholder in  steakholder. https://t.co/9rqgj7PITb""",en,
1661213511421431808,2023-05-24T03:32:19.000Z,b'Elevated consciousness it just dreaming with evidence. #randomThought',en,
1661018783958581252,2023-05-23T14:38:32.000Z,b'RT @AnthropicAI: We are pleased to announce that we have raised $450 million in Series C funding led by @sparkcapital with participation fr\xe2\x80\xa6',en,
1660859047644471296,2023-05-23T04:03:48.000Z,b'Work done right #investor https://t.co/hFCa2x1aei',en,
1659713239931031552,2023-05-20T00:10:47.000Z,"b""He saw the computer as a 'bicycle for the mind,' but with AI, it's become a mind-blazing 'race car'. #InnovationUnleashed""",en,
1659262294386446336,2023-05-18T18:18:53.000Z,b'RT @sama: ChatGPT on iOS live in the US and rolling out to other countries soon!\n\nhttps://t.co/iBvLTC2RNO',en,
1658268076755021824,2023-05-16T00:28:13.000Z,b'Playing with https://t.co/YnBKrbVeoo Claude2 the 100k token is a definite advantage. #investor',en,
1657052930552520704,2023-05-12T15:59:39.000Z,b'One of the biggest mistakes young founders make is picking apart what\xe2\x80\x99s wrong with their competitors instead of using that energy to steal what\xe2\x80\x99s right.',en,
1656460298721832960,2023-05-11T00:44:45.000Z,b'Love this pub highlighted my amazing partner Effie Epstien! https://t.co/ztcTVL7Rj0',en,
1653069430799360006,2023-05-01T16:10:39.000Z,"b'Wanna double your money instantly? Get a mirror. Want to give your money an actual chance to grow? Start investing. Check out https://t.co/ibXmJNoxKU to see how @Acorns makes it easy.\n\nPaid non-client endorsement. Compensation provides an incentive to positively promote Acorns,\xe2\x80\xa6 https://t.co/T6Tujd3Gjm https://t.co/jDiqiZHdos'",en,
1650683864891940864,2023-04-25T02:11:16.000Z,"b'RT @robertwolf32: \xe2\x80\x9cCommunity is making its mark on the most notable spaces in entertainment, sports, politics, and music. I am lucky to hav\xe2\x80\xa6'",en,
1639586793304788992,2023-03-25T11:15:28.000Z,"b'Message received \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f also I love science! ps. You didn\xe2\x80\x99t get to meet me that day, I got to meet you. https://t.co/e3jgRN3eYO'",en,
1639585373151199234,2023-03-25T11:09:49.000Z,"b'RT @drewdotson: On a scale from 1 to did-I-punk-@aplusk, where does this fall?  https://t.co/qHc7IY06eU'",en,
1639582915079327744,2023-03-25T11:00:03.000Z,b'@drewdotson 12!  The happiest reveal of all time.',en,
1639272884001488898,2023-03-24T14:28:06.000Z,b'Thank you to @tdh_de @MissingChildEU @ECPAT @BeBraveFrance @IWFhotline in conversation about #EUvsChildSexualAbuse. You can catch a recap of the event at @Thorn\xe2\x80\x99s YouTube here https://t.co/Y105RjboL7',en,
1638219318096986112,2023-03-21T16:41:36.000Z,"b'Think of a number and I\xe2\x80\x99ll read your mind.\n(BTW, there\xe2\x80\x99s something special about your number...)\nWanna learn more about @acorns? Go to https://t.co/EH76VFlt1X #acorns #ad https://t.co/RaG3QTZ7Kq'",en,
1633513128817475584,2023-03-08T17:00:53.000Z,b'this is a game changer https://t.co/t5mUVTvDY3',en,
1631328227129167872,2023-03-02T16:18:52.000Z,b'#investor',qht,
1631328149282902016,2023-03-02T16:18:34.000Z,"b""Congrats to https://t.co/32SGHzKj4a I'm one year in and still loving it!\n\nhttps://t.co/OyU5uryDDf""",en,
1627430025653026817,2023-02-19T22:08:48.000Z,"b""RT @ReeseW: Y'all!! Look what you did!!! Thank you to everyone around the WORLD for watching and laughing and sharing this movie with all y\xe2\x80\xa6""",en,
1625327688146907136,2023-02-14T02:54:52.000Z,"b'RT @latelateshow: Kick off your week with a super fun #LateLateShow with @quintabrunson, @Caradelevingne and @aplusk tonight at 12:37am on\xe2\x80\xa6'",en,
1625325292230258688,2023-02-14T02:45:21.000Z,b'Also Butker hits that first FG and he hits the spread too',en,
1625321402512408576,2023-02-14T02:29:54.000Z,b'I\xe2\x80\x99m not saying my guy TJ is crushing it because I don\xe2\x80\x99t have to. Just watch. @RichEisenShow https://t.co/D5Of3svQPu',en,
1624948727738953729,2023-02-13T01:49:01.000Z,b'@MattThomasNow @netflix Spoiler alert. We find it.',en,
1624844098854342656,2023-02-12T18:53:15.000Z,b'My son is losing his cool over this. Check out Super Mario Bros. Plumbing Text (929) 556-2746  https://t.co/3FDQZ8XhDA',en,
1624220341840273410,2023-02-11T01:34:40.000Z,"b'Thank you to everyone who has watched #YourPlaceorMine, if you haven\xe2\x80\x99t, make sure to check it out on @netflix! https://t.co/96mhxHzVfO'",en,
1622806443698311170,2023-02-07T03:56:21.000Z,b'@FallonTonight @netflix Love you dude.',en,
1622806211765878784,2023-02-07T03:55:25.000Z,b'@VivaLaStool @ChicksInTheOff @BarstoolRia @BarstoolFran @barstoolstore So fun. Thank you',en,
1622806133365960706,2023-02-07T03:55:07.000Z,b'@KFCBarstool @KFCradio You guys are a blast. Thank you.',en,
1622358328658784257,2023-02-05T22:15:42.000Z,b'Never undervalue the value of being underestimated.',en,
1618040259895517189,2023-01-25T00:17:14.000Z,b'and some twizlers! sp?',en,
1618039881556701186,2023-01-25T00:15:44.000Z,b'get the popcorn out!',en,
1618039770017562625,2023-01-25T00:15:17.000Z,b'This is BS Nobody puts my girl @ReeseW at #2.  Nobody! https://t.co/c0zCqibjrn',en,
1616268166392582144,2023-01-20T02:55:34.000Z,"b""Can't believe it's been over 20 years since we first stepped into the basement. Excited to relive the nostalgia with the launch of #That90sShow. Now streaming on @Netflix! https://t.co/zmOnEF3gqc""",en,
1613720678100004864,2023-01-13T02:12:45.000Z,"b'You, me, @ReeseW , @netflix . Watch the brand new trailer for our movie #YourPlaceOrMine coming to Netflix on February 10 (date night, anyone?)\nhttps://t.co/4TbHbyMvC2'",en,
1611483275813605376,2023-01-06T22:02:07.000Z,b'!!!! https://t.co/b6bVPlgAYb',qst,
1606691407967801346,2022-12-24T16:40:57.000Z,b'@HiddenItemEnt @JamesGunn I\xe2\x80\x99m in!',en,
