twitter_id,date,tweet,lang,data
1680600675066183680,2023-07-16T15:29:59.000Z,b'\xe6\x9d\xb1\xe4\xba\xac\xe5\x8d\x8d\xe3\x83\xaa\xe3\x83\x99\xe3\x83\xb3\xe3\x82\xb8\xe3\x83\xa3\xe3\x83\xbc\xe3\x82\xba #\xe3\x82\x81\xe3\x81\xa1\xe3\x82\x83\xe3\x82\xb3\xe3\x83\x9f\xe3\x83\x83\xe3\x82\xaf #\xe3\x82\x81\xe3\x81\xa1\xe3\x82\x83\xe3\x82\xb3\xe3\x83\x9f https://t.co/nMbAh2jx68',ja,
1680514709357748226,2023-07-16T09:48:23.000Z,b'RT @ariyoshieeeee: \xe2\x95\xad\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x95\xae \n   \xe4\xbb\x8a\xe5\xa4\x9c\xe3\x80\x81\xe3\x83\x9e\xe3\x83\xaa\xe3\x82\xab\xe3\x83\xbc\xe5\x9b\x9e \n\xe2\x95\xb0\xe2\x94\x81\xef\xbd\x96\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x95\xaf \n\xe2\x96\xbc\xe3\x80\x8c\xe5\xae\x89\xe5\xbf\x83\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\x84\xe2\x80\xa6\xef\xbc\x81\xe3\x80\x8d\xe4\xb8\x96\xe7\x95\x8c\xe3\x81\xae\xe3\x83\x88\xe3\x83\x8b\xe3\x83\xbc\xe3\x81\x8c\xe3\x82\x84\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x8f\xe3\x82\x8b\xef\xbc\x81\xe3\x82\xb2\xe3\x82\xb9\xe3\x83\x88\xe3\x81\xa8\xe3\x81\xab\xe3\x81\x8b\xe3\x81\x8f\xe6\x98\x8e\xe3\x82\x8b\xe3\x81\x84\xe5\xae\x89\xe6\x9d\x91\xe3\x81\x95\xe3\x82\x93\xe3\x80\x81\xe3\x83\x9e\xe3\x83\x82\xe3\x82\xab\xe3\x83\xab\xe3\x83\xa9\xe3\x83\x96\xe3\x83\xaa\xe3\x83\xbc\xe3\x81\x95\xe3\x82\x93\xe3\x80\x81\xe3\x81\x88\xe3\x81\xaa\xe3\x81\x93\xe3\x81\x95\xe3\x82\x93\xe3\x81\xa8\xe3\x83\x9e\xe3\x83\xaa\xe3\x82\xaa\xe3\x82\xab\xe3\x83\xbc\xe3\x83\x88\xe2\x96\xbc\xe8\xa6\x96\xe8\x81\xb4\xe8\x80\x85\xe5\xaf\xbe\xe6\x88\xa6\xe3\x81\xa7\xe3\x83\x88\xe3\x83\xa9\xe3\x83\x96\xe3\x83\xab\xe7\x99\xba\xe7\x94\x9f\xe2\x80\xa6\xe3\x81\x93\xe3\x81\xae\xe3\x83\x94\xe3\x83\xb3\xe3\x83\x81\xe3\x81\xab\xe3\x82\xbf\xe2\x80\xa6',ja,
1680445809324879873,2023-07-16T05:14:36.000Z,b'\xe6\x9c\xac\xe6\x97\xa5\xe3\x83\xa9\xe3\x82\xb8\xe3\x82\xaa\xe3\x80\x82\n\xe6\x97\xa5\xe7\x84\xbc\xe3\x81\x91\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x82',ja,
1680224511621480450,2023-07-15T14:35:15.000Z,b'\xe8\xaa\x98\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x8d\xe3\x81\x9f\xe5\xbe\x8c\xe8\xbc\xa9\xe3\x81\x8c\n\xe3\x81\x93\xe3\x82\x93\xe3\x81\xaa\xe6\x84\x9f\xe3\x81\x98\xe3\x81\xaa\xe3\x81\xae\xe3\x81\xa7\xe5\xb8\xb0\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82 https://t.co/v85Auxe0K1',ja,
1679824833465692162,2023-07-14T12:07:04.000Z,b'\xe3\x81\x93\xe3\x82\x8c\xe9\xa3\x9f\xe3\x81\xb9\xe3\x81\xa6\xe5\xaf\x9d\xe3\x81\xbe\xe3\x83\xbc\xe3\x81\x99\xe3\x80\x82 https://t.co/DqZgw8mf4y',ja,
1679824195625308161,2023-07-14T12:04:32.000Z,b'\xe3\x81\xbe\xe3\x81\xa0\xe3\x81\x93\xe3\x82\x93\xe3\x81\xaa\xe3\x81\x93\xe3\x81\xa8\xe8\xa8\x80\xe3\x81\xa3\xe3\x81\xa6\xe3\x82\x8b\xe3\x82\x8f\xe3\x80\x82 https://t.co/bGPtsNe5Pd',ja,
1679823305099051008,2023-07-14T12:01:00.000Z,b'Twitter\xe3\x81\xae\xe3\x82\xb5\xe3\x83\x96\xe3\x82\xb9\xe3\x82\xaf\xe3\x81\xa3\xe3\x81\xa6\xe4\xbd\x95\xef\xbc\x9f',ja,
1679808280435228675,2023-07-14T11:01:18.000Z,b'RT @karisome_EX: \xe6\x9c\xac\xe6\x97\xa5\xe3\x81\xae #\xe3\x81\x8b\xe3\x82\x8a\xe3\x81\x9d\xe3\x82\x81\xe5\xa4\xa9\xe5\x9b\xbd \xe3\x81\xaf\n\xe7\xb4\x8430\xe5\x88\x86\xe5\xbe\x8c\xe3\x81\xae\xe3\x82\x88\xe3\x82\x8b8\xe6\x99\x8230\xe5\x88\x86\xe3\x81\x8b\xe3\x82\x89\xe6\x8b\xa1\xe5\xa4\xa7SP\xe3\x81\xa7\xe3\x81\x99\xef\xbc\x81\n\n\xe6\x99\xae\xe6\xae\xb5\xe3\x81\xa8\xe6\x99\x82\xe9\x96\x93\xe9\x81\x95\xe3\x81\x84\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8c\xe3\x80\x81\n\xe6\x94\xbe\xe9\x80\x81\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xef\xbc\x81\n\n\xe3\x82\x88\xe3\x82\x8d\xe3\x81\x97\xe3\x81\x8f\xe3\x81\x8a\xe9\xa1\x98\xe3\x81\x84\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82',ja,
1679805896699056128,2023-07-14T10:51:49.000Z,b'@kawamura_emiko \xe3\x81\x93\xe3\x82\x93\xe3\x81\xaa\xe3\x81\xae\xe7\xb5\xb6\xe5\xaf\xbe\xe3\x83\x80\xe3\x83\xa1\xe3\x81\xa0\xe3\x82\x88\n\xe3\x82\xb9\xe3\x83\x8b\xe3\x83\xbc\xe3\x82\xab\xe3\x83\xbc\xe4\xb8\x80\xe6\x8a\x9e\xe3\x81\xa0\xe3\x81\x8b\xe3\x82\x89\xe3\x80\x82',ja,
1679804126178459654,2023-07-14T10:44:47.000Z,b'\xe3\x82\xbf\xe3\x82\xab\xe3\x83\xa9\xe3\x82\xb9\xe3\x82\xbf\xe3\x83\xb3\xe3\x83\x80\xe3\x83\xbc\xe3\x83\x89\xe3\x81\xae\xe5\x8c\x97\xe6\x96\x97\xe3\x81\x95\xe3\x82\x93\xe3\x81\xa8\xe5\x81\xa5\xe4\xbb\x8b\xe3\x81\x95\xe3\x82\x93\xe3\x81\xa8\xe5\x9c\x9f\xe5\xb1\x8b\xe5\xa4\xaa\xe9\xb3\xb3\xe3\x81\x95\xe3\x82\x93\xe3\x81\xaeCM\xe3\x80\x82\xe3\x81\x82\xe3\x82\x8c\xe3\x81\x84\xe3\x81\xa4\xe3\x82\x82\xe3\x80\x81\xe3\x81\xa9\xe3\x81\xa3\xe3\x81\xa1\xe3\x81\xae\xe6\x84\x9f\xe3\x81\x98\xe3\x81\xaa\xe3\x82\x93\xe3\x81\xa0\xe3\x82\x8d\xe3\x81\x86\xe3\x81\xa8\xe3\x80\x81\xe3\x81\xa9\xe3\x81\xa3\xe3\x81\xa1\xe3\x81\xab\xe3\x81\x9b\xe3\x82\x88\xe7\xac\x91\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x97\xe3\x81\xbe\xe3\x81\xa3\xe3\x81\xa6\xe5\xa5\xbd\xe3\x81\x8d\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82',ja,
