twitter_id,date,tweet,lang,data
1680574794205413380,2023-07-16T13:47:09.000Z,b'#arrahman #arrlive #liveincoimbatore #MarakkumaNenjam #30YearsofRahmania #actcstudio #actcevents #aasett #insider #paytminsider #coimbatore #codissia',qht,
1680574791676297216,2023-07-16T13:47:08.000Z,b'Coimbatore! Eagerly looking forward to seeing you all! Tickets are now open on https://t.co/7HEEqCE6fq &amp; @paytminsider\n\n@actcevents #aasettdigital #orchidproductionns @btosproductions https://t.co/0rqsW5kC79',en,
1680520474466426886,2023-07-16T10:11:18.000Z,b'Jai ho with a French accent \xf0\x9f\x98\x8d https://t.co/mYkTB5QcbN',en,
1680249659619704833,2023-07-15T16:15:11.000Z,"b'Thank you @mari_selvaraj love working with new gen directors like you,who do things for social justice in an artistic way,rising humanity higher\xf0\x9f\x94\xa5\xe2\x99\xa5\xef\xb8\x8f special thanks to @Udhaystalin and the whole #Mamannan team! EPI https://t.co/OeS5r7bh5s'",en,
1680001598976843776,2023-07-14T23:49:28.000Z,"b'Congrats @BToSproductions for winning 8 gold, 2 silver and 3 bronze for this year! #arrlive  EPI @WOWAwardsAsia https://t.co/gAx19FZuJ2'",en,
1679849718137126912,2023-07-14T13:45:57.000Z,b'Best wishes to @jerrysvincent and the whole team of #MayaBazaarForSale Watch it now on @ZEE5 #MayaBazaar \n\n\xf0\x9f\x94\x97https://t.co/hzGectWJLi\n\n@SpiritMediaIN @miragemedia_ind @nag_yashwanth\n@LavitaLobo @sanjiv_chak https://t.co/Nho2DXX31R',en,
1679829063505149953,2023-07-14T12:23:53.000Z,"b'Thank you both of you for visiting Chennai ..it\xe2\x80\x99s always a pleasure to discuss about nation building  initiatives for  the youth of india, specially for the musically inclined Nagas\xf0\x9f\x8c\xba\xf0\x9f\x98\x8dEPI https://t.co/JFlbnqB6YM'",en,
1679694710183727104,2023-07-14T03:30:00.000Z,b'The soul of #Nayakudu!\nIn Cinemas From Today!\n\nRelease by @AsianCinemas_ @SureshProdns \n\n@mari_selvaraj @Udhaystalin @RedGiantMovies_ @KeerthyOfficial #Vadivelu #FahadhFaasil https://t.co/WAIlHr3M3l',en,
1679571217031004161,2023-07-13T19:19:17.000Z,b'What?\xf0\x9f\x98\x85 https://t.co/YjW27YOfXH',en,
1679518414728216577,2023-07-13T15:49:28.000Z,b'RT @RedGiantMovies_: #Nayakudu in cinemas from TOMORROW.\xf0\x9f\x92\xa5\xf0\x9f\xa4\xb4\n\nGrand release by @AsianCinemas_ @SureshProdns\n\n@mari_selvaraj @Udhaystalin  @Re\xe2\x80\xa6',en,
1679160504944848896,2023-07-12T16:07:16.000Z,"b'RT @FirdausOrch: Looks like we\xe2\x80\x99ve been given a Mission, and no mission is impossible for us  Stay Tuned!\n\n@PomKlementieff @Cary_Elwes @Vane\xe2\x80\xa6'",en,
1678982575656775680,2023-07-12T04:20:14.000Z,b'Loved watching this movie on the emirates flight \xe2\x80\xa6so similar to the #Mamannan vibe ..humans are the same everywhere :-(  https://t.co/5e0E7CLNlZ',en,
1678355960811913216,2023-07-10T10:50:18.000Z,b'Looks super intriguing \xe2\x80\xa6congrats and best wishes to the whole team\xf0\x9f\x98\x8d https://t.co/rllTYTguEb',en,
