twitter_id,date,tweet,lang,data
1649975897305550851,2023-04-23T03:18:03.000Z,b'\xf0\x9f\xa5\xb0\xe2\x9d\xa4\xef\xb8\x8f https://t.co/hCvbW3NHcD',art,
1649975736311377921,2023-04-23T03:17:25.000Z,b'@RichBaxter \xf0\x9f\xa5\xb0',qme,
1641151633945161728,2023-03-29T18:53:35.000Z,"b""The news is out! I teamed up with @smashtess to create the S+T x Ashlee Simpson Ross Pieces of Me Collection. This collection is fearless and modern and inspired by my love for 70's fashion! https://t.co/q94bfmpIGZ (https://t.co/q94bfmpIGZ)""",en,
1612997757962452992,2023-01-11T02:20:08.000Z,b'RT @JHudShow: @ashleesimpson and @realevanross were meant to be \xf0\x9f\xa5\xb9 https://t.co/itmfarVSsm',en,
1607157066514456577,2022-12-25T23:31:18.000Z,b'Merry Christmas!!! \xf0\x9f\x8e\x84',et,
1582507346894327809,2022-10-18T23:02:07.000Z,b'Wow!! \xe2\x9d\xa4\xef\xb8\x8f https://t.co/d29eAcy4jp',und,
1582502122184003584,2022-10-18T22:41:22.000Z,b'@jessica_audia \xf0\x9f\x98\x98',qme,
1582457165188501504,2022-10-18T19:42:43.000Z,b'\xe2\x80\xbc\xef\xb8\x8f 17 years ago \xe2\x80\xbc\xef\xb8\x8f https://t.co/b3f0ppdfcM',en,
1582380576304005120,2022-10-18T14:38:23.000Z,"b""RT @people: Ashlee Simpson Ross Brings Her 'Eclectic Bohemian' Style to New Home Line  https://t.co/BAjriTcYKo""",en,
1582380477532450821,2022-10-18T14:37:59.000Z,"b'The @KEMPAHOME launch collection features more than 500 timeless, classic + affordable pieces for home. Watch below to explore and shop \xe2\x86\x92 use ESCAPE10 to enjoy 10% off purchases through holidays! #escapetheordinary https://t.co/mz62ZfWc5Z https://t.co/vF4i98eh1p'",en,
1582380204583886848,2022-10-18T14:36:54.000Z,"b'So excited to introduce you to @KEMPAHOME, a contemporary interior d\xc3\xa9cor brand I am creative directing and absolutely in love with! \xf0\x9f\x96\xa4#escapetheordinary https://t.co/h8jpEtQJmI'",en,
1580931048048713728,2022-10-14T14:38:28.000Z,"b'All great things are worth the wait \xf0\x9f\x96\xa4 I\xe2\x80\x99ve been working on something incredible, and can\xe2\x80\x99t wait to share these special Pieces soon. Come #escapetheordinary with me next week!\xc2\xa0@kempahome https://t.co/Lz3UtnO4jp'",en,
1577819311103627264,2022-10-06T00:33:32.000Z,b'Can\xe2\x80\x99t wait to see the movie! https://t.co/tx3neMX1vQ',en,
1575641375822880768,2022-09-30T00:19:12.000Z,"b'RT @billboard: .@ddlovato brought out @AshleeSimpson onstage for a surprise performance ""La La""   https://t.co/9YP9zCDh0q'",en,
1575641312233070592,2022-09-30T00:18:57.000Z,b'RT @AltPress: It was iconic. Seriously iconic. @ddlovato @ashleesimpson\n\nhttps://t.co/elyW7oe28u',en,
1575540200343629825,2022-09-29T17:37:10.000Z,"b'RT @AltPress: Demi Lovato ( @ddlovato) brought out Ashlee Simpson ( @ashleesimpson) to perform ""La La"" on stage together and it was magical\xe2\x80\xa6'",en,
1575540188519940097,2022-09-29T17:37:07.000Z,"b'RT @RollingStone: For the first time in more than three years, @ashleesimpson returned to the stage thanks to @ddlovato.  https://t.co/loYo\xe2\x80\xa6'",en,
1575360684191145984,2022-09-29T05:43:50.000Z,b'RT @JMendoza1193: @ashleesimpson so unbelievably happy to see you back on stage again Ash. I love you forever \xf0\x9f\x8c\xb9 https://t.co/p1YhVPpE3S',en,
1575360675416662017,2022-09-29T05:43:48.000Z,b'RT @blorusso_: @ddlovato bringing out @ashleesimpson for La La?! ICONS. https://t.co/3gYQJfUoQP',en,
1575350702120964096,2022-09-29T05:04:10.000Z,"b'RT @Tomas_Mier: NOT A DRILLLLLL, Demi Lovato just brought out @ashleesimpson to perform \xe2\x80\x9cLa La\xe2\x80\x9d during her show at YouTube Theater in LA  \xf0\x9f\x96\xa4\xe2\x80\xa6'",en,
1575249046192603136,2022-09-28T22:20:13.000Z,b'LA! I\xe2\x80\x99ve got a surprise for you tonight! \xf0\x9f\x99\x83\xf0\x9f\xa4\x94\xe2\x9d\xa4\xef\xb8\x8f',en,
1572305696057880578,2022-09-20T19:24:24.000Z,"b'It\xe2\x80\x99s National Voter Registration Day! Take 30 seconds to register to vote, check your registration status, or find a registration event on or offline near you! https://t.co/w6KSZW8Fjz #NationalVoterRegistrationDay https://t.co/u7jofczq97'",en,
1562538480818745344,2022-08-24T20:32:59.000Z,b'Last days of Summer! \xe2\x98\x80\xef\xb8\x8f Thank you 2MamaBees! https://t.co/ICw0qasjOO',en,
1561532032882159617,2022-08-22T01:53:43.000Z,b'RT @DianaRoss: My sweet granddaughter Jagger Snow in her first big photo shoot for @fearofgod. Soo cool. She had so much fun. https://t.co/\xe2\x80\xa6',en,
1560200816027246592,2022-08-18T09:43:56.000Z,b'I love your setlist! \xf0\x9f\x98\x8d Can\xe2\x80\x99t wait to see you on tour! \xe2\x9d\xa4\xef\xb8\x8f https://t.co/KyQYKJiP1v',en,
