twitter_id,date,tweet,lang,data
1647786837430394880,2023-04-17T02:19:31.000Z,b'@jonmchu @wickedmovie @UniversalPics @Wicked_Movie This looks incredible!!',en,
1556712874940108800,2022-08-08T18:44:06.000Z,"b'Thank you!! I was soo picky about packaging and used my home as inspo, I wanted everything to look super chic on your side tables, showers, nightstands etc https://t.co/rwziHA7ooD'",en,
1556712139032629248,2022-08-08T18:41:10.000Z,"b""It's honestly so hard to pick a favorite because everything is so good and I use them all 24/7, but the Citrus Amber body wash in the morning and the Cashmere Vanilla body serum stick I go through SO fast https://t.co/L2X0f2iLLZ""",en,
1556711429041926144,2022-08-08T18:38:21.000Z,"b""The cashmere vanilla scent is truly one of the best! It was inspired by my love for the smell TJ's jasmine rice leaves in my kitchen when I cook. Sooo toasty warm and luxe https://t.co/AxehuLUvcE""",en,
1556711060928794624,2022-08-08T18:36:53.000Z,b'AHHH!! Love you \xf0\x9f\x92\x95 https://t.co/EvAnIwOghM',en,
1556710937402363904,2022-08-08T18:36:24.000Z,"b""THIS is the stamp of approval I'm looking for https://t.co/FqoV6GbT9a""",en,
1556710798415708161,2022-08-08T18:35:51.000Z,"b""Yay! It's so crazy seeing being frenshe on shelves finally I'm so happy you guys are loving it \xf0\x9f\xa5\xb2 https://t.co/sLwWazbmGU""",en,
1556710553321496577,2022-08-08T18:34:52.000Z,"b'In case you guys haven\xe2\x80\x99t heard, I launched a product line at @Target called Being Frenshe... and that\xe2\x80\x99s why I forgot about twitter for a minute lol'",en,
1556710341144465412,2022-08-08T18:34:02.000Z,"b""Omg yes girl!!! I use citrus amber every single morning it's too good https://t.co/By2RXzrAuD""",en,
1556709891170918400,2022-08-08T18:32:14.000Z,"b""RT @peoplestyle: Ashley Tisdale Launches Bath and Body Care Line Being Frenshe at Target: 'Wellness Is for Everyone'  https://t.co/tkzrbuuV\xe2\x80\xa6""",en,
