twitter_id,date,tweet,lang,data
1680653712031903744,2023-07-16T19:00:44.000Z,"b""RT @Dalbodog: Even if it's hard, it's important \xf0\x9f\x99\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\n\nIt turns out pets also have last wishes before they d.i.e, but that's only known to v\xe2\x80\xa6""",en,
1680648635934187521,2023-07-16T18:40:34.000Z,b'Make way for this young legend. This combo of talent and temperament at 20 is so rare. \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbe #Alcaraz #Wimbeldon https://t.co/2ihLrKChgb https://t.co/7FlfpozQk5',en,
1680513560785428481,2023-07-16T09:43:49.000Z,b'Boondi slash badaana media. https://t.co/lqRQ9VDRtG',in,
1679845964532830209,2023-07-14T13:31:02.000Z,b'Back to my school days.\n#throwback\n#RaatanKaaliyan https://t.co/Eoyo7JrejA',en,
1679732688708845568,2023-07-14T06:00:55.000Z,b'Mudda tere ishq da.. https://t.co/QFFjikrIZ3',hi,
1679491983860203521,2023-07-13T14:04:27.000Z,b'The Raat \xf0\x9f\x8c\x99 we shot #RaatanKaaliyan \xf0\x9f\x96\xa4\xf0\x9f\x8e\xb5\nThanks @gai_dar for shooting this video at the last moment &amp; vibing on the streets of Chandigarh \xf0\x9f\xab\xb6\n\nThanks my friend @gupta_anup for your support &amp; for making this happen \xf0\x9f\xa4\x97 https://t.co/c5TjWffDH4',en,
1678314157047975936,2023-07-10T08:04:11.000Z,b'RT @TSeries: How much love is too much love for #RaatanKaaliyan? \xf0\x9f\x96\xa4\nTune in now: https://t.co/RnUf7BpmG4\n\n#tseries #BhushanKumar @ayushmannk\xe2\x80\xa6',en,
1677001004846563328,2023-07-06T17:06:11.000Z,b'Rochak baatein on #RaatanKaaliyan ! \xe2\x9c\xa8\xf0\x9f\x96\xa4 https://t.co/ANMLhjYSlB',et,
1676206093939376131,2023-07-04T12:27:29.000Z,"b'RT @guggss: Our new song #RaatanKaaliyan out now !\nBadi mohabbat se banaya hai, Mohabbat se suniyega. \xf0\x9f\x96\xa4\n\ntune in: https://t.co/sI18VIcfck\xe2\x80\xa6'",in,
1676118519451357184,2023-07-04T06:39:30.000Z,b'This little piece of my heart is yours from today! \xf0\x9f\x96\xa4\nThe brand new track #RaatanKaaliyan is now out. \nTune in now: https://t.co/fK4TiJH1uv\nAyushmann X Rochak\n\n#tseries #BhushanKumar @guggss #JugaadMotionPictures #AdityaVarma #DheerMomaya #PranitSahni https://t.co/OHsw7J8xcj',en,
1675792076146085888,2023-07-03T09:02:20.000Z,b'Super excited to bring you this bittersweet symphony of love! \xf0\x9f\x96\xa4\nThe teaser of the brand new single #RaatanKaaliyan\nAyushmann X Rochak\nSong releasing tomorrow. Stay tuned.\n\n#tseries  #BhushanKumar @guggss \n #JugaadMotionPictures #AdityaVarma #DheerMomaya #PranitSahni https://t.co/6i6XYd8mhI',en,
