twitter_id,date,tweet,lang,data
1673906523376873473,2023-06-28T04:09:49.000Z,b'Nos vemos el 10 de noviembre en Guadalajara!! Consigue tus boletos aqu\xc3\xad: https://t.co/UUcPErSHMT https://t.co/R1qw9K64tV',es,
1672802164970799104,2023-06-25T03:01:29.000Z,"b'Happy #pride2023!!\xf0\x9f\x8c\x88 Tod@s somos libres de amar, la felicidad no excluye a nadie, los derechos nos pertenecen por igual a tod@s!! L@s amo!! \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88\xf0\x9f\x8c\x88\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8c\x88 https://t.co/lomTo4pAbH'",es,
1658653652817412096,2023-05-17T02:00:21.000Z,b'Nos vemos el jueves 18 de Mayo en Chihuahua!! https://t.co/xwXqAkyuHh',es,
1651290631971430400,2023-04-26T18:22:20.000Z,b'\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8 @PriceShoes https://t.co/wSAY60uHqT',qme,
1650651298553909248,2023-04-25T00:01:51.000Z,b'\xf0\x9f\x92\x83\xf0\x9f\x8f\xbc\xf0\x9f\x92\x83\xf0\x9f\x8f\xbc\xf0\x9f\x92\x83\xf0\x9f\x8f\xbc https://t.co/PJO9MN3tf3',qme,
1650318623322374144,2023-04-24T01:59:55.000Z,b'Caras de Mercurio retr\xc3\xb3grado \xf0\x9f\xab\xa3\xf0\x9f\xa4\xaf\xf0\x9f\x98\xb2 https://t.co/8itLwLbwV1',es,
1650070797204193282,2023-04-23T09:35:09.000Z,b'Vamos a jugar https://t.co/dCK9UPFl4h',es,
1649908728513036292,2023-04-22T22:51:09.000Z,b'Ya me estaba verificando yo solita \xf0\x9f\x98\x82 https://t.co/iyg2IoyWxt',es,
1649862995697074190,2023-04-22T19:49:25.000Z,"b""I'm gone https://t.co/LBiNIgSPfU https://t.co/FwlLtrqrHU""",en,
1648747795644334081,2023-04-19T17:58:01.000Z,b'\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8 https://t.co/IRjETEplKu',qme,
1647847614560235522,2023-04-17T06:21:01.000Z,b'https://t.co/IK59cDXnnN',zxx,
1635352548352860161,2023-03-13T18:50:05.000Z,b'\xc3\x9anete al primer Live Shopping de TOUS presentado por mi!!! Platiquemos de joyer\xc3\xada y muchos tips de moda con  @tousjewelry. Reg\xc3\xadstrate aqu\xc3\xad https://t.co/EndgAozq84 https://t.co/gVGCDFZ6eD',es,
1627471445688188929,2023-02-20T00:53:24.000Z,b'\xf0\x9f\x98\x9c https://t.co/cFkiP1gBEs',art,
1627470347174924288,2023-02-20T00:49:02.000Z,b'\xf0\x9f\x96\xa4 https://t.co/fYrQW7CZBB',qme,
1624098442808111115,2023-02-10T17:30:17.000Z,b'\xe2\x9c\xa8\xe2\x98\x80\xef\xb8\x8f\xf0\x9f\xa7\xa1\xe2\x98\x80\xef\xb8\x8f\xe2\x9c\xa8 https://t.co/mnISO1EE86',qme,
1623154241354321921,2023-02-08T02:58:22.000Z,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/6HiBl3CFl1',qme,
1622381041439629314,2023-02-05T23:45:57.000Z,b'https://t.co/eQBRTL5peE',zxx,
1615151664394117122,2023-01-17T00:58:59.000Z,b'Breathe \xe2\x98\x80\xef\xb8\x8f https://t.co/ULKOjNPk3j',en,
1615144905340338176,2023-01-17T00:32:08.000Z,b'RT @flawlessbeli: abro hilo de los momentos que mantienen humilde a belinda; \xf0\x9f\xa7\xb5\xe2\x9c\xa8\n\n\xe2\x80\x93 cuando cuid\xc3\xb3 a una ni\xc3\xb1a en los tacos https://t.co/GuzrRl\xe2\x80\xa6',es,
1613302969973329923,2023-01-11T22:32:56.000Z,"b""Empezando el 2023 con este proyecto que me tiene muy emocionada!! Let's go back to the 90's \xf0\x9f\x98\xac @PrimeVideoMX https://t.co/ZAyYeoBTrD""",es,
1613027632899145729,2023-01-11T04:18:50.000Z,b'https://t.co/j6By0p0gj1',zxx,
