twitter_id,date,tweet,lang,data
1679282722462740480,2023-07-13T00:12:55.000Z,b'@thornephotos \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',qme,
1679282537913282560,2023-07-13T00:12:11.000Z,b'Here\xe2\x80\x99s the expectations vs reality vid that Dani posted from our trip \xf0\x9f\x97\x91\xef\xb8\x8f \xf0\x9f\x8c\x8a https://t.co/eq987pFWsd',en,
1679282296908595200,2023-07-13T00:11:13.000Z,b'@thornephotos \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',qme,
1679268061264896000,2023-07-12T23:14:39.000Z,b'Going live @ 5 with my @dani_thorne @onamp https://t.co/frRGq5ImDf https://t.co/upBcmlBRbR',en,
1679267600008871936,2023-07-12T23:12:49.000Z,b'@daggs_michajah @onamp Thank u',en,
1679144927312359429,2023-07-12T15:05:22.000Z,b'@JayTThomas17 My favorite sound @dani_thorne \xf0\x9f\x98\x82',en,
1679017639224700928,2023-07-12T06:39:34.000Z,b'2 ways to catch up on Twisted Sisters episodes!! USA only @onamp https://t.co/XdYU3Qubgl outside US check my YouTube https://t.co/qcTlrWDlOS https://t.co/ZHmg5vrPe4',en,
1678560765715042306,2023-07-11T00:24:07.000Z,b'Have you seen the new trailer for PAINT HER RED? \xf0\x9f\xa9\xb8 https://t.co/sJK0LmiGYj',en,
1676731362840129536,2023-07-05T23:14:43.000Z,b'wyd @ 5pm LA time?? Tune in @onamp for my live radio show with @dani_thorne !! Make sure u download the app before so u can join in the chat https://t.co/frRGq5HONH https://t.co/G23eMpxemn',en,
1676691988425453572,2023-07-05T20:38:16.000Z,b'SICILY \xe2\x9c\xa8 more of this look on my IG. https://t.co/JP93kzkCdi',en,
1676274357386231808,2023-07-04T16:58:45.000Z,b'@elculodegabie Happy birthday!',en,
1676274142591733761,2023-07-04T16:57:53.000Z,b'@dovesgiaw @spiceyw Ahhh thank u!!',en,
1675900354884665344,2023-07-03T16:12:35.000Z,b'SO excited for @spiceyw \xe2\x80\x98s next project. She writes such beautifully complicated characters. Can\xe2\x80\x99t wait!!',en,
1674864549709873152,2023-06-30T19:36:40.000Z,b'PAINT HER RED \xe2\x9d\xa4\xef\xb8\x8f so exciting!! Thank you @VanityFairIt https://t.co/8EH0W9vO89',en,
1674502789177966592,2023-06-29T19:39:10.000Z,b'Check out my latest post &amp; story on IG for how to win a special BTS video sent your DMs https://t.co/DdYhsZDcO0',en,
1674501747308625921,2023-06-29T19:35:01.000Z,b'Bad news: no Twisted Sisters live radio show this week. Good news: you can catch up on the last 2 episodes @onamp!! https://t.co/NRKdCnbDn4 twistedsisters is live on Amp! https://t.co/wbMo7O77UR',en,
1673856583296770049,2023-06-28T00:51:22.000Z,b'Thank you @TaoFilmFestival for an amazing night!! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/n9mEJ0xTrZ',en,
1673855962451460103,2023-06-28T00:48:54.000Z,b'@bigdogXVI Huge compliment! Thank you! \xe2\x9d\xa4\xef\xb8\x8f',en,
1673855834554761216,2023-06-28T00:48:24.000Z,b'@baby_enammm21 Me too!! Next time!!',en,
1673855725507076097,2023-06-28T00:47:58.000Z,b'@BellaNeedMe Thank u!!',en,
1673855641927159809,2023-06-28T00:47:38.000Z,b'@ricardoshor99 Me too! It was great!',en,
1673640610442653697,2023-06-27T10:33:10.000Z,b'@westglorix Thank you so much! \xf0\x9f\x99\x8f\xf0\x9f\x92\x99',en,
1673640170044936193,2023-06-27T10:31:25.000Z,b'@aslanamaflop \xf0\x9f\x99\x8f\xf0\x9f\x92\x99',qme,
1673639919095357440,2023-06-27T10:30:26.000Z,b'@thornephotos Thank you! \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',en,
1673639400142667776,2023-06-27T10:28:22.000Z,b'@BigShowShow Amazing! Thank you so much for your support',en,
1673629203638657025,2023-06-27T09:47:51.000Z,b'TONIGHT TONIGHT! Coming to the Influential Shorts Gala #TaorminaFilmFestival ? Comment on my IG post to RSVP! https://t.co/MJfLKnbVVz',en,
1673421253498277888,2023-06-26T20:01:32.000Z,b'@westglorix @TaoFilmFestival \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',qme,
1673421067728343040,2023-06-26T20:00:47.000Z,b'@dovesgiaw @TaoFilmFestival What?! Oh no!! And hi!!! Thanks for your support!',en,
1673420615745941504,2023-06-26T19:59:00.000Z,b'Check out these new #movietrailers &amp; comment on my IG post letting me know which one you\xe2\x80\x99re most curious about! https://t.co/c90LiPP7QJ',en,
1673419690293723136,2023-06-26T19:55:19.000Z,b'@aslanamaflop @TaoFilmFestival See you tomorrow @ Influential Shorts Gala!! \xf0\x9f\x8e\xa6',en,
1673419349259067393,2023-06-26T19:53:58.000Z,b'@thornephotos @TaoFilmFestival Thank u!!',en,
1673419179817570304,2023-06-26T19:53:17.000Z,b'@JayTThomas17 @TaoFilmFestival Yes!!',und,
1673267932619743232,2023-06-26T09:52:17.000Z,b'PAINT HER RED debuts @TaoFilmFestival tomorrow night! https://t.co/dgvOppMaBq #TaorminaFilmFestival',en,
1672709416649646080,2023-06-24T20:52:57.000Z,b'Who\xe2\x80\x99s in #Sicilia for #TaorminaFilmFest ?? There are still a few seats left for the Influential Shorts Gala on Tues. reserve yours while you can!! \xf0\x9f\x8e\x9f\xef\xb8\x8f\xf0\x9f\x8e\x9f\xef\xb8\x8fhttps://t.co/fCdD3TW7bz https://t.co/vdLwBxaIT7',en,
1672209143287934976,2023-06-23T11:45:02.000Z,b'RT @voguemagazine: Congratulations are in order for @bellathorne! The actress and director is engaged\xe2\x80\x94she found love with entrepreneur Mark\xe2\x80\xa6',en,
1671866591766626304,2023-06-22T13:03:51.000Z,b'People are disgusting seriously what\xe2\x80\x99s wrong with them!? To be making ANY kind of joke right now when people are losing oxygen stuck in the abyss of sea\xe2\x80\xa6.It\xe2\x80\x99s 5 people\nIncluding a father and a son. have some\nFucking respect people',en,
1664060722492604416,2023-06-01T00:06:07.000Z,b'Swear we\xe2\x80\x99re not hung over this time \xf0\x9f\x98\x85 Goin LIVE at 5pm PT! Join us on https://t.co/0aOh3dGm1E',en,
1663297812606451713,2023-05-29T21:34:35.000Z,b'My love. https://t.co/SBNDkP307B',en,
1661064828222582785,2023-05-23T17:41:30.000Z,"b'RT @IndieWire: Bella Thorne Making Moves as Filmmaker, Now Festival Programmer https://t.co/teW2QI70Wq https://t.co/r8HgRSZq8i'",en,
1659330857650495488,2023-05-18T22:51:19.000Z,b'Talkin bout mental health today on AMP! We\xe2\x80\x99re goin LIVE at 4pm PT https://t.co/0aOh3dGm1E',en,
1656463948001202176,2023-05-11T00:59:15.000Z,b'Come talk some twisted sh*t with us! Twisted Sisters are goin LIVE https://t.co/0aOh3dGm1E',en,
1656463515820122112,2023-05-11T00:57:32.000Z,b'Is working with fam a good idea? \xe2\x80\xa6asking for a friend \xf0\x9f\x99\x83',en,
1655288050140975104,2023-05-07T19:06:39.000Z,b'Ready for some margs? What are you doin for Sunday funday? https://t.co/tqhWK2vs8f',en,
1654196839321841664,2023-05-04T18:50:34.000Z,b'RT @DEADLINE: Taormina Reboot: Italian Festival Appoints New Executive &amp; Artistic Director; Invites Bella Thorne To Guest Curate Gala Eveni\xe2\x80\xa6',en,
1653915089458827264,2023-05-04T00:11:00.000Z,b'Goin live at 6pm to talk about how much breakups suck! Follow us @ Twisted Sisters exclusively @onamp https://t.co/0aOh3dGm1E',en,
1653075926027214853,2023-05-01T16:36:28.000Z,b'Sunday Essentials @Thornedynasty https://t.co/3XWQuusc2X',en,
1651027899187875842,2023-04-26T00:58:20.000Z,b'Am I the drama? Goin LIVE @onamp on Twisted Sisters at 6PM PT https://t.co/0aOh3dGm1E',en,
1649168803576836097,2023-04-20T21:50:57.000Z,b'Happy 420 \xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8 @Thornedynasty https://t.co/bWiZPA9tDe',en,
1648849585782284288,2023-04-20T00:42:30.000Z,b'THE AUDACITYYYY!! Join in on the conversation LIVE @onamp at 6pm PT. https://t.co/0aOh3dGm1E',en,
1646316559449874433,2023-04-13T00:57:09.000Z,b'Goin LIVE in 5 with the Culpo Sisters! Only @onamp https://t.co/0aOh3dGm1E',en,
1643775763420962816,2023-04-06T00:40:56.000Z,b'Who\xe2\x80\x99s callin\xe2\x80\x99 in tonight? \nhttps://t.co/0aOh3dGm1E https://t.co/A2vZmUUJms',en,
1640844398559911937,2023-03-28T22:32:44.000Z,b'Goin LIVE with special guest Tyler Cameron @ 4PM PT @onamp https://t.co/0aOh3dGm1E',en,
1638706636956237824,2023-03-23T00:58:02.000Z,b'LIVE @onamp in 5 min! Talkin bout that Performance Anxietyyyyy today https://t.co/0aOh3dGm1E',en,
