twitter_id,date,tweet,lang,data
1679934605648904208,2023-07-14T19:23:16.000Z,"b""We have many ways to say Happy Birthday @TabBep , but it simply comes down to one word: Love. \xf0\x9f\xab\xb6\xe2\x9d\xa4\xef\xb8\x8f As you can see you're surrounded by it... Peabodies till infinity!\n\n#blackeyedpeas https://t.co/Q06NpxpMuY""",en,
1679885860081115138,2023-07-14T16:09:34.000Z,b'Big love @SonyMusicItaly ... Grateful for this dream team right here \xf0\x9f\xab\xb6\xe2\x9c\xa8\xf0\x9f\x87\xae\xf0\x9f\x87\xb9 https://t.co/yxTOAmuzp0',en,
1679836935823532034,2023-07-14T12:55:10.000Z,"b'RT @taboofansite: We\xe2\x80\x99re sending our love and best wishes to our hero, @TabBep, on his birthday today! \xf0\x9f\x8e\x89 Thank you @TabBep for inspiring us\xe2\x80\xa6'",en,
1679830078463639552,2023-07-14T12:27:55.000Z,"b'RT @chartdata: Today in 2009, The Black Eyed Peas ""I Gotta Feeling"" reached #1 on the Hot 100 (@bep).\n\nIt\'s the best selling digital downlo\xe2\x80\xa6'",en,
1679829976147808256,2023-07-14T12:27:30.000Z,"b'RT @m_miznin: \xf0\x9d\x99\x83\xf0\x9d\x98\xbc\xf0\x9d\x99\x8b-\xf0\x9d\x99\x8b\xf0\x9d\x99\x80\xf0\x9d\x98\xbc \xf0\x9d\x98\xbd\xf0\x9d\x99\x84\xf0\x9d\x99\x8d\xf0\x9d\x99\x8f\xf0\x9d\x99\x83\xf0\x9d\x98\xbf\xf0\x9d\x98\xbc\xf0\x9d\x99\x94, \xf0\x9d\x99\x8f\xf0\x9d\x99\x96\xf0\x9d\x99\x97\xf0\x9d\x99\xa4\xf0\x9d\x99\xa4 ! \xf0\x9f\xa9\xb5 \n\nTo my idol, my hero and the person that inspires me the most in life, @TabBep, Hap-pea Birthday\xe2\x80\xa6'",en,
1679534972481200147,2023-07-13T16:55:16.000Z,b'On the way to SONIC PARK FESTIVAL \xf0\x9f\x87\xae\xf0\x9f\x87\xb9\xf0\x9f\x94\xa5\xf0\x9f\xab\xb6 #Turin https://t.co/LkMQqeQAXW',en,
1679485020296318976,2023-07-13T13:36:46.000Z,"b'RT @davidson_bryony: @TabBep @SilverstoneUK Loving the energy, and the song \xe2\x80\x9cIn The Air\xe2\x80\x9d from Elevation album. Wish I could of been there,\xe2\x80\xa6'",en,
1679477329439891456,2023-07-13T13:06:13.000Z,"b""RT @monicamonia_: This album. Proof that hip hop isn't dead \xf0\x9f\x99\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\x8cBoth the music and the culture. Hip hop is the most vibrant and cultural ar\xe2\x80\xa6""",en,
1679477079979577349,2023-07-13T13:05:13.000Z,"b'RT @thevoicekidsuk: After two incredible rounds of blind auditions, the coaches have their teams! \xe2\x9c\xa8 Watch them battle it out in the final t\xe2\x80\xa6'",en,
1679394401519280128,2023-07-13T07:36:41.000Z,"b""... tonight's gonna be a good night \xf0\x9f\x87\xae\xf0\x9f\x87\xb9""",en,
1679154350319386624,2023-07-12T15:42:48.000Z,b'That moment you get to share the mic with @iamwill \xf0\x9f\x8e\xa4\xe2\x9c\xa8\n\n@bep #blackeyedpeas #ferrolveranfestival https://t.co/od6N2W8MaH',en,
1679040667656355840,2023-07-12T08:11:04.000Z,"b'RT @The_Hot_Sheet: 14 years ago this week, The Black Eyed Peas (@bep, @Fergie) replaced themselves at #1 on the Hot 100, as ""I Gotta Feelin\xe2\x80\xa6'",en,
1678694315869061121,2023-07-11T09:14:48.000Z,"b""Touched down in Italy \xf0\x9f\x87\xae\xf0\x9f\x87\xb9 Brought this sign we were gifted along for the rideeee... Let's go ELEVATION WORLD TOUR pt. 1 \xf0\x9f\xab\xb6\xf0\x9f\x94\xa5 https://t.co/OofnM6xGAO""",en,
1678199558021472257,2023-07-10T00:28:48.000Z,b'AS YOU CAN SEE WE HAD A LOT OT FUN\xf0\x9f\x94\xa5\xf0\x9f\x8f\x81 @SilverstoneUK #BritishGP @F1 THANK YOU \xf0\x9f\xab\xb6 https://t.co/tg18VMJhz3',en,
1678120791869718530,2023-07-09T19:15:49.000Z,"b""RT @TabBep: It's beautiful when u get a chance to perform a song for the first time on stage  (my own song lol) and this instantly happens\xe2\x80\xa6""",en,
1677660914517000192,2023-07-08T12:48:26.000Z,"b'BIG LOVE @GreenwichSounds \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\xab\xb6\nWhat an honor, blessing, and privilege to sing songs, travel the world, and connect with beautiful people and places. Thank you for listening to our music and making it a part of your special moments! https://t.co/gxYeG1fN3H'",en,
1676228284642631680,2023-07-04T13:55:40.000Z,b'Great to be back in the UK and see you very soon at Greenwich Summer Sounds! \xf0\x9f\x94\xa5\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\n\n\xf0\x9f\x8e\x9f\xef\xb8\x8f Grab your tickets here: https://t.co/hiPrajucGG\n\n@BEP @iamwill @taboo @apldeap @GreenwichSounds https://t.co/M7TwV3ELpV',en,
1675598473654153217,2023-07-02T20:13:01.000Z,b'Hitting the stage soon @ FERROL VER\xc3\x81N FESTIVAL \xf0\x9f\x8c\x8a\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8',es,
1675226341539561474,2023-07-01T19:34:18.000Z,b'Thank you PALMESUS FESTIVAL for partying with us in the rain\xf0\x9f\xab\xb6\xe2\x98\x94\xef\xb8\x8f\xf0\x9f\x87\xb3\xf0\x9f\x87\xb4 Vi elsker dere! https://t.co/wPmW3MkCiP',en,
1675083169932902402,2023-07-01T10:05:23.000Z,b'SEE YOU VERY SOON @Palmesus \xf0\x9f\x87\xb3\xf0\x9f\x87\xb4\xf0\x9f\xab\xb6\xe2\x9c\xa8',en,
1674792141896421378,2023-06-30T14:48:57.000Z,"b""'BAILAR CONTIGO' REMIXES OUT NOW! \n\nThis summer just got LOUDER \xf0\x9f\x94\x8a\xf0\x9f\xaa\xa9\xf0\x9f\xa5\xb3\n\n\xf0\x9f\x8e\xa7 Listen: https://t.co/Z4IWhIxAfs\n\n@daddyyankee @Gianluca_Vacchi @drenchillmusic @vancoband @kilundeezy @TELYKast @CLMDmusic Xanctum https://t.co/hTUX9GZmLG""",en,
1674335475648036864,2023-06-29T08:34:19.000Z,"b""We gotta feeling that some 'Bailar Contigo' remixes are on their way \xf0\x9f\x98\x8f""",en,
1673354049062666240,2023-06-26T15:34:29.000Z,b'QUE GANAS!! \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 Elevation World Tour - Parte 2! https://t.co/v4XfVMjzLB',en,
1672269648455163904,2023-06-23T15:45:28.000Z,"b""All we need is L.O.V.E\nThat's the only thing that we need...""",en,
1672269361757691905,2023-06-23T15:44:19.000Z,"b'One Love, One Unity, One \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88 Keep your hearts open &amp; smile bigger than ever this #pridemonth. See you soon @PrideBrighton \xf0\x9f\xab\xb6 https://t.co/MTn0JdN2hJ'",en,
1671946001425334274,2023-06-22T18:19:24.000Z,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xf0\x9f\xa7\xa8\xf0\x9f\x92\xa5\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 @RBCCanadianOpen https://t.co/VuK0mpD8WO',qme,
1671943583979503638,2023-06-22T18:09:48.000Z,"b""This month marks 14 years of our 5th album 'The E.N.D'... THE ENERGY NEVER DIES\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9a\xa1\xef\xb8\x8f Let's get nostalgic!\n\nhttps://t.co/EuxzLZGNIH""",en,
1670191910034591746,2023-06-17T22:09:16.000Z,b'\xf0\x9f\x91\xbd\xf0\x9f\x9b\xb8\xf0\x9f\xaa\x90 #DontYouWorry https://t.co/cXHKMtNnvl',qme,
1670152319147692038,2023-06-17T19:31:57.000Z,b'Thumbs up vibes \xf0\x9f\xaa\x90\nhttps://t.co/4vJOpxPnVN',en,
1670151715838984193,2023-06-17T19:29:33.000Z,"b""1 Cosmic year of DON'T YOU WORRY\xf0\x9f\x91\xbd Big shoutout to our dream team @shakira @davidguetta \xf0\x9f\xab\xb6 Thank you all for spreading the love across galaxies this past year!\n\nhttps://t.co/8R4gpuuJsz""",en,
1669712231783624705,2023-06-16T14:23:12.000Z,"b""14 YEARS &amp; 1 BILLION @Spotify STREAMS OF 'I GOTTA FEELING' LATER...\n\nhttps://t.co/EmRpQ35Bsq\n\nBig love @davidguetta - thank you brother for producing gold with us\xe2\x9c\xa8 https://t.co/bhF5x51GHf""",en,
1669470656243671040,2023-06-15T22:23:16.000Z,"b'AMOR, MAGIA Y M\xc3\x89XICO ES TODO LO QUE NECESITAMOS \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9c\xa8\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\n\nLA FIESTA COMIENZA EL 30 DE SEPTIEMBRE Y HASTA EL 21 DE OCTUBRE. \xc2\xa1NOS VEMOS PRONTO! \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc https://t.co/VIKO0mqgDx'",es,
1669373089497374721,2023-06-15T15:55:34.000Z,"b""This SATURDAY at 2pm join @TabBep &amp; @b_earlwriter signing some of their latest @marvel comics at 'WE CAN BE HEROES'\xe2\x9c\x8d\xef\xb8\x8f\xf0\x9f\x92\xa5 You don't wanna miss it!\n\n\xf0\x9f\x93\x8dCanoga Park Elks 2190 https://t.co/qG30sNrdl0""",en,
1669346673792016385,2023-06-15T14:10:36.000Z,b'Estamos nominados por #BailarContigo @daddy_yankee &amp; #TekeTeke @carlosvives @playnskillz \xf0\x9f\xa5\xb3 Mil gracias @PremiosJuventud ! Aqu\xc3\xad pueden votar: https://t.co/CVOtWeNilv https://t.co/xKyK7M9jWf',es,
1667929712717430788,2023-06-11T16:20:06.000Z,b'Wish we could pause time... but what a blast! Big love Toronto \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xe2\x9d\xa4\xef\xb8\x8f@RBCCanadianOpen @RBC https://t.co/pdKUgekhID',en,
1666091645140623360,2023-06-06T14:36:17.000Z,"b""Our bro w/ Daredevil &amp; Echo #1 \xf0\x9f\xab\xb6 @TabBep @Marvel Wouldn't miss grabbing a copy if we were you. https://t.co/fRjHW2bbGT""",en,
1665810836701556737,2023-06-05T20:00:27.000Z,"b""Hi World \xf0\x9f\x8c\x8e welcome to PART 1 \xf0\x9f\x8e\xa2 'ELEVATION' is just getting started. We have LIFT OFF! https://t.co/oom2rby71H""",en,
1663163107693273089,2023-05-29T12:39:19.000Z,"b'Thank you to all of the \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 heroes, to those who have served and are serving. Honoring you today and always... BIG LOVE \xe2\x9d\xa4\xef\xb8\x8f'",en,
