twitter_id,date,tweet,lang,data
1680648335261302784,2023-07-16T18:39:22.000Z,"b""RT @LAK_Laksh05: The launch of ISRO's Chandrayan 3 makes me nostalgic for my childhood hero, Dr. Vikram Sarabhai, who, through his connecti\xe2\x80\xa6""",en,
1680642553509724160,2023-07-16T18:16:24.000Z,"b'Such a fabulous young player, Carlos Alcaraz. A drop shot and lob while serving for the title!!\n\nI only wish they could have let him speak in Spanish and used an interpreter. He would have been so much more comfortable.'",en,
1680619919636049922,2023-07-16T16:46:27.000Z,"b'Got to admire Djokovic. He is raging against the dying of the light. Not conceding an inch to a stronger, younger opponent.'",en,
1680035702036369408,2023-07-15T02:04:59.000Z,b'The champions put behind disappointment and make a statement immediately. I found what Ashwin said very interesting. He made it clear he was disappointed not to have played the WTC final but accepted that reality and moved on quickly.',en,
1680034114634756099,2023-07-15T01:58:41.000Z,"b""A no-contest. Clearly India favourite going into the test match but I didn't expect the West Indies to be so dire. Their cricket has seen lows before but they are finding new ones across formats now. Sad for a lover of Caribbean cricket""",en,
1679928816905641984,2023-07-14T19:00:16.000Z,b'Hey @rohanbopanna love your spirit. Keep at it. Wish you lots more',en,
1679568065426751492,2023-07-13T19:06:46.000Z,"b'Delighted for young Yashasvi Jaiswal. He has shown again that he can bat in different gears. A hundred on debut used to be a rare occurrence and for a long time, was a poisoned chalice. He has it in him to score many even as more difficult challenges lie in wait'",en,
1679433945753194496,2023-07-13T10:13:49.000Z,b'Haha! https://t.co/ACtisdl7Bx',tl,
1679376129017384962,2023-07-13T06:24:05.000Z,b'Anyone else excited about #Chandrayan3? So hoping it goes well. It will be a huge moment',en,
1679124913947279360,2023-07-12T13:45:50.000Z,b'This is just reward for Jaydev Unadkat who has sweated it out in domestic first class cricket and picked up the wickets to earn his place.',en,
1679124348395823107,2023-07-12T13:43:35.000Z,"b'Huge day in your life when you get a test cap. I think India have got the order right with Jaiswal at the top and Gill at a number I hope he makes his own. The cards have fallen in place for Ishan Kishan and, talented as he is, he will realise this is a lucky turn of events and\xe2\x80\xa6 https://t.co/AmNggPrIWp'",en,
1678839639266988034,2023-07-11T18:52:15.000Z,"b""RT @bhogleharsha: I have had this feeling, an instinct more than anything else, that Gill's eventual home in test cricket will be at no 3.\xe2\x80\xa6""",en,
1678276281539137536,2023-07-10T05:33:41.000Z,b'Just another step @lakshya_sen on this fabulous journey. Wish you many more. https://t.co/2XynitsqlD',en,
1678067508975386624,2023-07-09T15:44:05.000Z,"b'So.....no such thing as a jinx, right? \xf0\x9f\x98\x84\xf0\x9f\x98\x84 https://t.co/ksrhcAdEty'",en,
1678053023711629313,2023-07-09T14:46:32.000Z,b'The good news for Australia has been the batting of Mitch Marsh and the excellent form of Starc and Cummins. But the support bowling looked insipid. A lot of us thought Boland could be a game-changer but Australia are getting nothing from him.',en,
1678052198071296000,2023-07-09T14:43:15.000Z,b'I must admit to being envious of the following Test cricket has in England.',en,
1678051405968601088,2023-07-09T14:40:06.000Z,"b'England like Robinson a lot but Woakes, everytime he plays, looks the better cricketer. And Wood showed once again that there is no alternative to genuine pace.'",en,
1678051066347393025,2023-07-09T14:38:45.000Z,"b'It is true that Australis were ahead twice in this game, even in a match-winning position,but everytime I watched the game I got the impression that England were taking the game ahead and the Aussies were trying to claw back. The #Ashes are wide open.'",en,
1678037759230087170,2023-07-09T13:45:52.000Z,"b""This #Ashes just continues to give. Still England's game""",en,
1678002585742221313,2023-07-09T11:26:06.000Z,"b'At one point in the Duleep Trophy semi-final, North Zone were taking 10 mins/over. There is little consolation that the other side might have done the same. It cannot be allowed and the penalties have to be a deterrent.'",en,
1677523655444815873,2023-07-08T03:43:00.000Z,"b""There is a long explanation on why I tweeted in English script but I don't think people have the patience to read it. https://t.co/SYEJIkFYDo""",en,
