twitter_id,date,tweet,lang,data
1679975545692643329,2023-07-14T22:05:57.000Z,"b""RT @younghollywood: The rumors are true: @bigtimerush's #CantGetEnoughTour is a 5/5 Would Recommend! \nhttps://t.co/WZQKYMWoeO""",en,
1679940327531061250,2023-07-14T19:46:00.000Z,"b'Palmwoods 2.0 \xf0\x9f\x98\x82\nWe\xe2\x80\x99ve been waiting for you Columbia, MD! https://t.co/gZDQaTm1JD'",en,
1679396376222875649,2023-07-13T07:44:32.000Z,b'Grab some friends and see us on tour! Special SUMMERS LIVE offer starts July 19th \xc2\xa0- 4 tickets for $80 all in to select shows. Head to\xc2\xa0https://t.co/uUxoFKA6YH\xc2\xa0for more info https://t.co/l6sfpVZAm8',en,
1679007328568311808,2023-07-12T05:58:36.000Z,"b""RT @thekiaforum: 2 moods when you realize we're ONE MONTH AWAY from @BigTimeRush, but we still have to wait 30 more days. \xf0\x9f\x94\x97: https://t.co/9\xe2\x80\xa6""",en,
1677714753488134144,2023-07-08T16:22:22.000Z,b'Virginia Beach tonight!!! Who\xe2\x80\x99s ready? \xf0\x9f\x8e\xb8\xf0\x9f\x99\x8c https://t.co/UiwjzJYogD',en,
1676681329541349376,2023-07-05T19:55:54.000Z,b'We out here at @HistoryToronto! Can\xe2\x80\x99t wait to see y\xe2\x80\x99all tonight\xf0\x9f\xa4\x98\xf0\x9f\x8e\xb8 @Drake you coming?',en,
1676642381985366017,2023-07-05T17:21:09.000Z,b'Missing our South American Rushers!! We promise it won\xe2\x80\x99t be too long before we\xe2\x80\x99re back \xf0\x9f\xab\xb6\xf0\x9f\xab\xb6 https://t.co/vy2qCyHubW',en,
1675900784092012549,2023-07-03T16:14:18.000Z,b'Thank you for an incredible night Hershey!! Can\xe2\x80\x99t wait to rock out with Saratoga Springs TONIGHT \xf0\x9f\x8e\xb8\xe2\x9a\xa1\xef\xb8\x8f https://t.co/pN70xFOMVv',en,
1674819371469012992,2023-06-30T16:37:09.000Z,b'#CGETour2023 has kicked into full gear! Each night has been a blast. we can\xe2\x80\x99t wait to see ALL YOU RUSHERS on the road this summer! \xf0\x9f\x8e\x89 with our friends @maxmusic and @jax \xf0\x9f\x8e\xb8 \n\nDo you have your tickets yet?\n\n\xf0\x9f\x8e\xa5: @k_hendersuun @aarongatewoodx https://t.co/H63Il7AR1Y',en,
1673730245831327744,2023-06-27T16:29:21.000Z,b'Watch our performance of \xe2\x80\x9cWeekends\xe2\x80\x9d from #BTRAnotherLife on the @SIRIUSXM App!\n\nhttps://t.co/qNqhxiE5aZ https://t.co/inaaRoyBxN',en,
1673140770331557888,2023-06-26T01:26:59.000Z,b'Mississippi! https://t.co/eDjpCbjjSC',et,
1673140626794205184,2023-06-26T01:26:25.000Z,b'Mississippi! https://t.co/F87v04zYZE',et,
1672596880897843205,2023-06-24T13:25:46.000Z,b'@noshamelaur For a limited time only \xf0\x9f\x98\x85',en,
1672596317804064769,2023-06-24T13:23:32.000Z,b'@Artistforeva @DickiesArena Let\xe2\x80\x99s Go @ParisVisone \xf0\x9f\x92\xa5',en,
1672596024894930944,2023-06-24T13:22:22.000Z,b'@midnightsrush @DickiesArena OK today! \xf0\x9f\xa4\xa0',en,
1672595926790144001,2023-06-24T13:21:58.000Z,b'@ayeohkristen @DickiesArena Ty',und,
1672595874172608513,2023-06-24T13:21:46.000Z,b'@umconnnor @DickiesArena Thank you! What did you think of the laserssss??',en,
1672338495803904000,2023-06-23T20:19:02.000Z,"b'Fort Worth, TX showed UP last night @DickiesArena \xf0\x9f\xab\xb6\xf0\x9f\xab\xb6\n\nIt\xe2\x80\x99s great to be back on the road playing our biggest show yet! Oklahoma, here we come\xe2\x80\xa6\n\n\xf0\x9f\x93\xb8: Paris Visone https://t.co/4MZMiXtxs2 https://t.co/st0G9uEmXs'",en,
1669349272054280197,2023-06-15T14:20:56.000Z,b'@aidenkroll The fans want Boyfriend next! \xf0\x9f\x98\x8f\xf0\x9f\x98\x8f',en,
1669334524856238081,2023-06-15T13:22:20.000Z,b'@twntyfseven Good idea!',en,
1669334102045229056,2023-06-15T13:20:39.000Z,b'@abby_grace76 Haha! Friday night is almost here \xf0\x9f\xab\xa0',en,
1669333742043922432,2023-06-15T13:19:13.000Z,b'Who\xe2\x80\x99s ready for the weekend! \xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8 https://t.co/y09suJq4fZ',en,
1669120295398154241,2023-06-14T23:11:03.000Z,b'@Maslover72 We would love to play in Paris!',en,
1669120138321469440,2023-06-14T23:10:26.000Z,b'@annietimerush We see you and we love you. And thank you so much for being patient with us as we figure it all out \xf0\x9f\x99\x8f',en,
1669119936642551809,2023-06-14T23:09:38.000Z,b'@bigt1mekush There sure is! It\xe2\x80\x99s called Another Life \xf0\x9f\x98\x87',en,
1669119750222512129,2023-06-14T23:08:53.000Z,b'@jordyonthemoon That would be awesome.  Amsterdam or Rotterdam? \xf0\x9f\x98\x8c',en,
1669119411641544705,2023-06-14T23:07:33.000Z,b'@wonderbtr Thank you so much these jerseys were amazing. We can\xe2\x80\x99t wait to get back to South America \xe2\x9d\xa4\xef\xb8\x8f',en,
1669102096149516288,2023-06-14T21:58:44.000Z,b'Can you believe our album has already been out for almost 2 weeks!? \n\nThank you to all our fans across the world for listening and continuing to support us. Sending you all big hugs!\n\nWe can\xe2\x80\x99t wait for tour to begin and looking forward to visiting more countries in the near\xe2\x80\xa6 https://t.co/ow8NaeV9b7 https://t.co/OqukxZhF8r',en,
1668378395175170048,2023-06-12T22:03:01.000Z,"b'We\xe2\x80\x99ve picked our album favorites, who agrees?? \xe2\x9c\x8b\n\n#BTRAnotherLife https://t.co/d7RH5nzskt'",en,
1668340582572507137,2023-06-12T19:32:45.000Z,b'Tonight we are all jumping on and listening to Another Life back to back! Make sure to join us at 7pm (pst) \xf0\x9f\x8e\xb6\n\nhttps://t.co/RtRyeAkUTx https://t.co/7pGe1Gam3r',en,
1667792228662808576,2023-06-11T07:13:48.000Z,b'@macklemore @armaniblanco \xf0\x9f\x98\xac\xf0\x9f\x98\x8f',qme,
1667244343273607168,2023-06-09T18:56:41.000Z,b'One week of Another Life \xe2\x9d\xa4\xef\xb8\x8f\n\nWhich songs do you wanna hear on tour??\n\n\xf0\x9f\x93\xb8 Nikki Cardiello https://t.co/e6iIQDzfIU',en,
1667193229375053828,2023-06-09T15:33:35.000Z,b'Thanks for having us @zachsang \xf0\x9f\x98\x87\xe2\x9d\xa4\xef\xb8\x8f https://t.co/MpdqMtq0Sa',en,
1666982934279254018,2023-06-09T01:37:57.000Z,b'RT @popheads: We sat down with @jamesmaslow &amp; @HeffronDrive of @bigtimerush to discuss their new album Another Life! We cover everything in\xe2\x80\xa6',en,
1666929028836773889,2023-06-08T22:03:45.000Z,"b'Rushers, you make us feel Brand New \xe2\x9d\xa4\xef\xb8\x8f\n\n#BTRAnotherLife https://t.co/pHyO3NuP3S'",en,
