twitter_id,date,tweet,lang,data
1679877068258168834,2023-07-14T15:34:38.000Z,"b""Get @RainnWilson 's #SoulBoom. I eat it for breakfast! https://t.co/p6A3Di0s7w""",en,
1678796073710817281,2023-07-11T15:59:09.000Z,b'The great @RainnWilson this week @ClubRandom_: https://t.co/FVcFduggHL https://t.co/oEyvQeuh8X',en,
1678401680906256384,2023-07-10T13:51:58.000Z,b'RT @ClubRandom_: New episode of #ClubRandomPodcast w/ @billmaher and special guest @rainnwilson is up! \n\nWatch Now: https://t.co/cN3H9IjLA3\xe2\x80\xa6',en,
1676663755814600705,2023-07-05T18:46:04.000Z,b'I am looking forward to #SouthCarolina next month! https://t.co/ObGYhNvrdT',en,
1676630590538526720,2023-07-05T16:34:17.000Z,b'The legend @IceCube this week at @CubRandom_ https://t.co/zg18JURpvo',en,
1675866580104941568,2023-07-03T13:58:23.000Z,b'RT @ClubRandom_: New episode of Club Random w/ @billmaher &amp; @icecube is up! Avail on all major platforms. \xf0\x9f\x8e\xa7\n\nWatch here: https://t.co/NmN7c\xe2\x80\xa6',en,
1674155063420526595,2023-06-28T20:37:26.000Z,b'.@RobertKennedyJr this week at @ClubRandom_: https://t.co/FVcFduggHL https://t.co/CPAElbW7dM',en,
1673391336802893824,2023-06-26T18:02:39.000Z,"b""Is @RobertFKennedyJr's position on vaccines that unreasonable? https://t.co/1WeBOeHpgU""",en,
1673316708176769024,2023-06-26T13:06:06.000Z,b'RT @ClubRandom_: New episode of #ClubRandomPodcast w/ @billmaher and @RobertKennedyJr is up! \nAvail on all major platforms \xf0\x9f\x8e\xa7\n\nWatch Now: ht\xe2\x80\xa6',en,
1671560269196308480,2023-06-21T16:46:38.000Z,b'.@BradPaisley this week at @ClubRandom! https://t.co/FVcFduggHL https://t.co/Tkayxzib9w',en,
1670807484016066560,2023-06-19T14:55:20.000Z,b'RT @ClubRandom_: The best advice @BradPaisley ever got. \n\nNew ep of #ClubRandomPodcast w/ @billmaher and #BradPaisley avail on all major pl\xe2\x80\xa6',en,
