twitter_id,date,tweet,lang,data
1656460285354606592,2023-05-11T00:44:42.000Z,"b'if you missed it the first time around, or yearn to\nrecapture where it took you, now is your chance.\nhands down a modern masterpiece!\nSO proud of my big bro\nEmilio and our brilliant father Martin Sheen.\n\xf0\x9f\x92\x95\xc2\xa9\xef\xb8\x8f\xf0\x9f\x92\x95\n#FindTheWayBack https://t.co/ty9Zu9FSPE'",en,
1650583285184204800,2023-04-24T19:31:36.000Z,b'Cleveland!\nthis Friday!\nWild Thing is comin\xe2\x80\x99 home!\n\ngonna be a terrific evening.\nhope to see you there. \n\xe2\x9a\xbe\xef\xb8\x8f\xc2\xa9\xef\xb8\x8f\xe2\x9a\xbe\xef\xb8\x8f\n#JustaBitOutside https://t.co/maNCDFNEtA',en,
1649881108803383296,2023-04-22T21:01:24.000Z,"b'oh my! it\xe2\x80\x99s like Xmas and my birthday all at once!\n@elonmusk i\xe2\x80\x99m flushed\nwith gratitude. \nRock Star move, good sir. \n\xc2\xa9\xef\xb8\x8f https://t.co/EnEMByuG8J'",en,
1649565627177390080,2023-04-22T00:07:47.000Z,"b'dear @elonmusk \ni\xe2\x80\x99m sorry your fancy rocket\nexploded in spectacular fashion. I\xe2\x80\x99m certain you\xe2\x80\x99ll build an even bigger and more explody one.\n\nnow, \nmay i please have my \nblue check back?\nit would mean a lot to me.\n\nthank you in advance,\nsincerely - c sheen'",en,
1617361670808174593,2023-01-23T03:20:46.000Z,b'instantly if not sooner. https://t.co/p7gIzLJzLH',en,
1616950437302919170,2023-01-22T00:06:40.000Z,b'@SpencerSTRIDer \ndoes this mean i gotta grow the \xe2\x80\x9cstache\xe2\x80\x9d?\xf0\x9f\x98\x82\ni\xe2\x80\x99m honored my man.\n#99Fever\n \nhttps://t.co/deSLOwto9n',en,
1615564022455361537,2023-01-18T04:17:33.000Z,b'please don\xe2\x80\x99t. https://t.co/FtMwmryuFK',en,
1590813118783193088,2022-11-10T21:06:18.000Z,b'additional data in this bulletin from her parents: https://t.co/lDG7wlaMpM',en,
1590812325111791616,2022-11-10T21:03:08.000Z,b'this is a dire alert regarding a a dear friend of my daughter. Let\xe2\x80\x99s work together to bring her home \nquickly. \xc2\xa9\xef\xb8\x8f https://t.co/BO2EvVfApf',en,
1578855379597168640,2022-10-08T21:10:30.000Z,b'HERE WE COME !!!!\n\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\xa4\x93\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/7cNNXIissY',en,
1578415493983019009,2022-10-07T16:02:33.000Z,b'L.F.G.\xe2\x80\xbc\xef\xb8\x8f\n\xf0\x9f\x94\xa599\xf0\x9f\x94\xa5 https://t.co/LYgnx6hTFy',und,
1575297196026515456,2022-09-29T01:31:33.000Z,b'Judge - 61\nReds - 60\n\xf0\x9f\x92\xa5\xc2\xa9\xef\xb8\x8f\xf0\x9f\x92\xa5 https://t.co/X8hkHcS2TG',en,
1563344388511522817,2022-08-27T01:55:22.000Z,"b'\xe2\x80\x9ccalling all streamers,\ncome in. I repeat, all streamers, do you copy?\xe2\x80\x9d https://t.co/GSkcC8rOOZ'",en,
1563343532437356551,2022-08-27T01:51:58.000Z,b'is that a fuse i see lit\xe2\x80\xa6?\xf0\x9f\x98\x8e https://t.co/VS2J8SPkjK',en,
