twitter_id,date,tweet,lang,data
1680171605241090048,2023-07-15T11:05:01.000Z,"b'Due to exceptional demand, a second London O2 show has been added on Saturday, January 27, 2024. Tickets for all UK shows on sale now -- details at https://t.co/SJUqPpIgEn. https://t.co/UXgAEoBcLm'",en,
1678311042550751232,2023-07-10T07:51:48.000Z,"b'Leg 4 of the Memento Mori tour -- Europe, Winter 2024, starting January 22 in London. All details:\xc2\xa0https://t.co/rJtl0RFsdy https://t.co/3r67fsTaGl'",en,
1671192640065511425,2023-06-20T16:25:49.000Z,"b""Watch Wagging Tongue live from Depeche Mode's Vinegar Hill Sessions: https://t.co/IeQHmKQyfD https://t.co/5DmNAdFVrm""",en,
1668637833006059521,2023-06-13T15:13:55.000Z,"b'Sounds Of The Universe | The 12"" Singles. August 4th, 2023. \n\nhttps://t.co/9n7KNs1XSi https://t.co/2Y77QuyoGQ'",en,
1664003965040881664,2023-05-31T20:20:35.000Z,b'RT @SmartLess: We speak &amp; spell with Dave Gahan and Martin Gore of [the French fashion magazine] @depechemode. @SmartLess @SeanHayes @batem\xe2\x80\xa6',en,
1661406242039025665,2023-05-24T16:18:10.000Z,b'Official Video for Wagging Tongue out now. https://t.co/E7KlsBAdVJ https://t.co/dEHVnf6mo3',en,
1661036171882024960,2023-05-23T15:47:38.000Z,b'Tomorrow. \n\nhttps://t.co/yZyRKRLkTW https://t.co/ff0JxxkzGd',en,
1660705559572795393,2023-05-22T17:53:54.000Z,b'Wagging Tongue. Wednesday May 24. https://t.co/Y1uPcNd075',en,
1655980674195783680,2023-05-09T16:58:54.000Z,b'\xf0\x9f\x8e\x82 https://t.co/YBkH08kHcD',qme,
1654517669994045440,2023-05-05T16:05:26.000Z,"b'""Ghosts Again"" remixes out now! https://t.co/udcJXx2WEC\n\n2/2 https://t.co/t3U2lb2ElO https://t.co/EyL9upeUfv'",en,
1654516965854314496,2023-05-05T16:02:38.000Z,"b'""Ghosts Again"" remixes out now! https://t.co/udcJXx2WEC\n\n1/2 https://t.co/3gic6ow4zh https://t.co/8AbkfTEmqg'",en,
1653836632188141569,2023-05-03T18:59:14.000Z,b'\xe2\x80\x9cGhosts Again\xe2\x80\x9d Remixes - Out May 5. https://t.co/0pZkUOomiP',en,
1652087828048912386,2023-04-28T23:10:07.000Z,"b'CharityBuzz and Depeche Mode present the ultimate meet &amp; greet experience, supporting AHA!\n\nBid now to win a meet &amp; greet with the band, a signed guitar, a signed copy of Memento Mori and a Memento Mori merch bundle. Full details here:\xc2\xa0\nhttps://t.co/2xRd8kaPyd https://t.co/f3QjOpl6VB'",en,
1641107288563019777,2023-03-29T15:57:22.000Z,"b'Watch the full Depeche Mode ""Ghosts Again"" Vinegar Hill Session now available to watch on YouTube. https://t.co/bLCIcuJSpG'",en,
1639314928820682753,2023-03-24T17:15:10.000Z,b'DM on @MorningEdition https://t.co/4QRU4w4e4r',en,
1639122501690363904,2023-03-24T04:30:32.000Z,"b'\xe2\x80\x9cThey are mortal, they are not Gods\xe2\x80\x9d \xe2\x80\x93 Martin Gore on meaning of album title, Memento Mori, out now. https://t.co/rC2Nlu6GGm https://t.co/38RRKSVqEw'",en,
1638923365435195394,2023-03-23T15:19:14.000Z,"b'""Sometimes we\xe2\x80\x99ve change naturally, and sometimes change has been forced upon us, he said,\xc2\xa0 \xe2\x80\x9cand I think that\xe2\x80\x99s what\xe2\x80\x99s happening now."" Dave Gahan for @nytimes, The Exquisite Darkness of Depeche Mode. https://t.co/IFs5vU0hb9 https://t.co/ZRKfsrbyeZ'",en,
1638564546842607617,2023-03-22T15:33:25.000Z,"b'""It\'s the sound of a band entering a final act with a renewed sense of purpose, and sharp, sober new focus.\xe2\x80\x9d \xe2\x80\x93 Stephen Trouss\xc3\xa9 for Uncut, UK.\xc2\xa0 Get the limited vinyl, collector\xe2\x80\x99s casebook CD, and cassette of Depeche Mode\xe2\x80\x99s new album\xc2\xa0Memento Mori\xc2\xa0HERE:\xc2\xa0https://t.co/IFs5vU0hb9 https://t.co/geSJQfvVNF'",en,
1638388536478150657,2023-03-22T03:54:01.000Z,b'Watch @JimmyKimmelLive \nTonight on ABC! #KIMMEL\n\nPhoto:\nABC/Randy Holmes\n \n 11:35pm est / 10:35pm c and again at 11:35pm pst. https://t.co/zUa9M3mxvc',en,
