twitter_id,date,tweet,lang,data
1676226925017321472,2023-07-04T13:50:16.000Z,b'[\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 \xeb\x8f\x99\xed\x95\xb4] \xeb\x8f\x99\xed\x95\xb4\xeb\xb2\x88\xec\xa9\x8d \xec\x84\x9c\xed\x95\xb4\xeb\xb2\x88\xec\xa9\x8d! \xed\x95\x98\xeb\xa3\xa8\xed\x95\x98\xeb\xa3\xa8\xeb\x8a\x94 \xec\x82\x90\xea\xb9\x8c\xeb\xb2\x88\xec\xa9\x8d! (\xeb\xa7\x88\xec\xb9\xb4\xec\x98\xa4 \xea\xb0\x94\xeb\x8b\xa4\xea\xb0\x80 \xed\x95\x9c\xea\xb5\xad \xec\x99\x94\xeb\x8b\xa4\xea\xb0\x80 \xec\x9d\xbc\xeb\xb3\xb8 \xea\xb0\x80\xeb\x8a\x94 \xeb\xb8\x8c\xec\x9d\xb4\xeb\xa1\x9c\xea\xb7\xb8)\n\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 #\xeb\x8f\x99\xed\x95\xb4 #donghae #vlog \n\nhttps://t.co/rw3GyUsVNL https://t.co/YLnm1Yvhs3',ko,
1675023491203235840,2023-07-01T06:08:15.000Z,b'E.L.F! Kitakits sa Manila! \nE.L.F.! See you soon Manila https://t.co/dzPy9HAM4r https://t.co/Bn1G561Gpj',tl,
1675011056350150656,2023-07-01T05:18:50.000Z,"b'#BVLGARI \xec\x84\xb8\xeb\xa5\xb4\xed\x8e\x9c\xed\x8b\xb0 75\xec\xa3\xbc\xeb\x85\x84 , \xea\xb7\xb8 \xeb\x81\x9d\xec\x97\x86\xeb\x8a\x94 \xec\x9d\xb4\xec\x95\xbc\xea\xb8\xb0 https://t.co/87yllraaYw'",ko,
1664517618613760002,2023-06-02T06:21:40.000Z,b'DElight Party \nComing soon:) https://t.co/GpbQpwzcSQ',en,
1662392372968435713,2023-05-27T09:36:42.000Z,b'https://t.co/JooTnxpHZz https://t.co/3CtcNhDYUh',zxx,
1658007979625697281,2023-05-15T07:14:41.000Z,b'\xed\x82\xb9\xeb\xb8\x94\xeb\xa6\xac!\xeb\x8c\x80\xed\x91\x9c! \xec\x99\x95\xea\xb2\xbd\xed\x83\x9c!! 5\xec\x9b\x9415\xec\x9d\xbc \xec\x98\xa4\xeb\x8a\x98\xeb\xb0\xa4 10\xec\x8b\x9c \xeb\xb3\xb8\xeb\xb0\xa9\xeb\xb6\x80\xed\x83\x81\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4^^ https://t.co/wmoThZzDh0',ko,
1657281205635784705,2023-05-13T07:06:44.000Z,b'https://t.co/37yr01s7mf \xec\xa6\x90\xea\xb1\xb0\xec\x9a\xb4 \xed\x86\xa0\xec\x9a\x94\xec\x9d\xbc !! https://t.co/4c8qoSp4np',ko,
1657071500342726656,2023-05-12T17:13:27.000Z,b'\xec\x98\xa4\xec\x98\x81\xec\x8b\xac\xec\x9d\xb4 ^^ \xeb\x93\x9c\xeb\x94\x94\xec\x96\xb4 !! \xeb\xa7\x8e\xec\x9d\xb4 \xec\x82\xac\xeb\x9e\x91\xed\x95\xb4\xec\xa3\xbc\xec\x84\xb8\xec\x9a\x94 :) https://t.co/8y9OwMM9ca',ko,
1657071167885438976,2023-05-12T17:12:07.000Z,b'5\xec\x9b\x9415\xec\x9d\xbc \xeb\x8b\xa4\xea\xb0\x99\xec\x9d\xb4 \xeb\xa7\x8c\xeb\x82\x98\xec\x9a\x94 ^^ https://t.co/2VnbUkP5vP',ko,
1653285617047052288,2023-05-02T06:29:42.000Z,b'2023.5.15 \xec\x98\xa4\xec\x98\x81\xec\x8b\xac\xec\x9d\xb4 \xec\xb2\xab\xeb\xb0\xa9 \xea\xb8\xb0\xeb\x8c\x80\xed\x95\xb4\xec\xa3\xbc\xec\x84\xb8\xec\x9a\x94 :) ENA https://t.co/iE1m0kPGaN',ko,
1652321105905057793,2023-04-29T14:37:04.000Z,b'https://t.co/Ys6Mi2mZCJ https://t.co/RINicrjXtL',zxx,
1650357877406851073,2023-04-24T04:35:54.000Z,b'https://t.co/AGdB2doUNg 5\xec\x9b\x9415\xec\x9d\xbc \xec\xb2\xab\xeb\xb0\xa9\xec\x86\xa1 https://t.co/PpDpWnbQdM',ko,
1647136463606407170,2023-04-15T07:15:09.000Z,b'https://t.co/XWHNKS8WMO \xec\xbd\x98\xec\x84\x9c\xed\x8a\xb8 \xea\xb8\xb0\xeb\x8b\xa4\xeb\xa6\xac\xeb\xa9\xb4\xec\x84\x9c \xec\x9d\xb4\xea\xb1\xb0 \xeb\xb3\xb4\xea\xb3\xa0 \xec\x9e\x88\xec\x96\xb4\xec\x9a\x94 ! https://t.co/r4xPpR8wML',ko,
1642044663250165761,2023-04-01T06:02:10.000Z,b'https://t.co/23wBTZSZmi \xec\x98\xa4\xeb\xa0\x8c\xec\xa7\x80 \xea\xb0\x99\xec\x9d\xb4 \xeb\xa8\xb9\xec\x9d\x84\xec\x82\xac\xeb\x9e\x8c ! \xec\x86\x90 \xf0\x9f\xa4\x9a https://t.co/CCgAMci81s',ko,
1634996491373932544,2023-03-12T19:15:14.000Z,b'\xf0\x9f\x8f\x92 https://t.co/E8pppQGWFa',qme,
1634440129170513920,2023-03-11T06:24:27.000Z,b'https://t.co/rcPNDf0ntV https://t.co/TrWxZwrM4f',zxx,
1634122075257602049,2023-03-10T09:20:37.000Z,b'\xec\x98\xa4\xec\x98\x81\xec\x8b\xac\xec\x9d\xb4 \xeb\x93\x9c\xeb\x94\x94\xec\x96\xb4 \xeb\xb0\xa9\xec\x98\x81\xec\x9d\xbc\xec\x9d\xb4 \xec\x96\xbc\xeb\xa7\x88 \xeb\x82\xa8\xec\xa7\x80 \xec\x95\x8a\xec\x95\x98\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4. 5\xec\x9b\x94 \xec\xa4\x91\xec\x88\x9c\xec\x9d\xb4\xeb\x8b\x88 \xeb\xa7\x8e\xec\x9d\x80 \xea\xb8\xb0\xeb\x8c\x80\xec\x99\x80 \xea\xb4\x80\xec\x8b\xac \xeb\xb6\x80\xed\x83\x81\xeb\x93\x9c\xeb\xa6\xb4\xea\xb2\x8c\xec\x9a\x94 :) https://t.co/MylYm20DJ5',ko,
1629368251271745538,2023-02-25T06:30:37.000Z,b'\xe7\x9a\x86\xe3\x81\x95\xe3\x82\x93\xe3\x83\xa9\xe3\x82\xa4\xe3\x82\xb9\xe3\x83\x95\xe3\x82\xa9\xe3\x83\xbc\xe3\x82\xb9\xe3\x83\x81\xe3\x82\xa7\xe3\x83\x83\xe3\x82\xaf\xe3\x81\x97\xe3\x81\xa6\xe3\x81\xbf\xe3\x81\xa6\xe3\x81\xad\xef\xbc\x81 !! https://t.co/XqxEtcdkBp',ja,
1628325546416570368,2023-02-22T09:27:17.000Z,b'[\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 \xeb\x8f\x99\xed\x95\xb4] \xeb\x82\xa8\xeb\xaf\xb8 2\xed\x96\x89\xec\x8b\x9c \xeb\x82\xa8: \xeb\x82\xa8\xeb\xaf\xb8\xeb\x8a\x94 \xeb\xaf\xb8: \xeb\xaf\xb8\xec\xb3\xa4\xeb\x8b\xa4\xe3\x85\xa3\xeb\x82\xa8\xeb\xaf\xb8\xed\x88\xac\xec\x96\xb4 EP.01 \xec\xb9\xa0\xeb\xa0\x88\n\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 #\xeb\x8f\x99\xed\x95\xb4 #donghae #vlog \n\n\xeb\xa7\x8e\xec\x9d\xb4 \xea\xb8\xb0\xeb\x8b\xa4\xeb\xa6\xac\xec\x85\xa8\xec\xa3\xa0? \n\xeb\x82\xa8\xeb\xaf\xb8\xed\x88\xac\xec\x96\xb4 \xec\x95\x8c\xec\xb0\xa8\xea\xb2\x8c \xeb\x8b\xb4\xec\x95\x84\xeb\xb3\xb4\xec\x95\x98\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4 ! \xe3\x85\x8e\n\nhttps://t.co/mkmYERSiCe https://t.co/9rl0Km5DYH',ko,
1628303188226080768,2023-02-22T07:58:27.000Z,b'\xe5\x83\x95\xe3\x81\x9f\xe3\x81\xa1D&amp;E\xe3\x81\xa8\xe3\x83\xa9\xe3\x82\xa4\xe3\x82\xb9\xe3\x83\x95\xe3\x82\xa9\xe3\x83\xbc\xe3\x82\xb9\xe3\x81\xae\xe3\x82\xb3\xe3\x83\xa9\xe3\x83\x9c\xe3\x81\x8c\xe6\xb1\xba\xe3\x81\xbe\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x82\n\xe3\x83\xa9\xe3\x82\xa4\xe3\x82\xb9\xe3\x83\x95\xe3\x82\xa9\xe3\x83\xbc\xe3\x82\xb9\xe3\x81\xa8\xe5\x85\xb1\xe3\x81\xab\xe7\xbe\x8e\xe3\x81\x97\xe3\x81\x84\xe3\x81\x8a\xe8\x82\x8c\xe3\x82\x92\xe7\x9b\xae\xe6\x8c\x87\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x97\xe3\x82\x87\xe3\x81\x86\xef\xbc\x81\n\xe3\x82\xb5\xe3\x82\xa4\xe3\x83\xb3\xe4\xbc\x9a\xe3\x81\xa7\xe5\xbe\x85\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\xbe\xe3\x81\x99\xef\xbc\x81\xef\xbc\x81 https://t.co/zURwyrH1Sg',ja,
1625568402625466386,2023-02-14T18:51:23.000Z,b'\xeb\xa9\x95\xec\x8b\x9c\xec\xbd\x94 \xec\x8a\xa4\xeb\xb2\x85 \xec\xbb\xa4\xed\x94\xbc ! https://t.co/MUNCI6uiQB',ko,
1621110378213314566,2023-02-02T11:36:47.000Z,b'https://t.co/A9QPVgQ4Is check this out :) https://t.co/oIMJ3mxXOo',en,
1619911339618750465,2023-01-30T04:12:14.000Z,b'\xed\x95\x98\xeb\xa3\xa8\xec\x97\x90 \xed\x95\x98\xeb\x82\x98\xec\x94\xa9 \xeb\xa7\x9b\xec\x9e\x87\xeb\x84\xa4 \xeb\xa7\x9b\xec\x9e\x87\xec\x96\xb4 !! https://t.co/P8TdorXiGz',ko,
1618176783240818688,2023-01-25T09:19:44.000Z,b'https://t.co/VN6MFzI94e have a good dinner !! \xeb\xb0\xa5 \xeb\xa7\x9b\xec\x9e\x87\xea\xb2\x8c :)',ko,
1616392491980451850,2023-01-20T11:09:35.000Z,b'https://t.co/eVK8HpCy3s Check this out https://t.co/rFiXwP1Ybk',en,
1614802074960535554,2023-01-16T01:49:50.000Z,b'Good morning https://t.co/2RgpK2OjD7',en,
1613192373005340672,2023-01-11T15:13:28.000Z,b'\xec\x95\xa8\xeb\xb2\x94 \xeb\x84\x88\xeb\xac\xb4 \xeb\xa9\x8b\xec\x9e\x87\xeb\x8b\xa4 \xeb\xb6\x88\xea\xbd\x83 \xeb\xaf\xbc\xed\x98\xb8\xec\x95\xbc !!^^ \xec\x88\x98\xea\xb3\xa0\xed\x96\x87\xea\xb3\xa0 \xec\x95\x9e\xec\x9c\xbc\xeb\xa1\x9c\xeb\x8f\x84 \xeb\xa9\x8b\xec\xa7\x84 \xec\x95\xa8\xeb\xb2\x94 \xeb\xa7\x8c\xeb\x93\xa4\xec\x96\xb4\xec\xa4\x98 ^^ https://t.co/wy8TIyad3t',ko,
1613072709818408961,2023-01-11T07:17:58.000Z,b'https://t.co/sofONgNvBV \xec\x98\xa4\xeb\x8a\x98\xeb\x8f\x84 \xed\x96\x89\xeb\xb3\xb5\xed\x95\x98\xec\x84\xb8\xec\x9a\x94 :) https://t.co/idOKBJMgm4',ko,
1610911233573814272,2023-01-05T08:09:02.000Z,b'https://t.co/G8rSi3aJ0j happy new year :) check this out https://t.co/jnuLwRsVM1',en,
1605859469384040449,2022-12-22T09:35:07.000Z,b'https://t.co/Vlobk4NMYO check this out ! https://t.co/63YdQKZuFX',en,
1605806568506740736,2022-12-22T06:04:55.000Z,b'\xec\x98\xa4\xeb\x8a\x98 \xec\xa0\x80\xeb\x85\x81 6\xec\x8b\x9c\xec\x97\x90 \xec\x84\xa0\xeb\xaf\xb8\xec\x9d\x98 \xec\x87\xbc\xed\x84\xb0\xeb\xb7\xb0 \xed\x95\xa9\xeb\x8b\x88\xeb\x8b\xa4 ^^ https://t.co/ILMpAwTRqq',ko,
1603327667100475393,2022-12-15T09:54:38.000Z,b'Gym \xec\xa2\x85\xea\xb5\xadhttps://t.co/JyOZP3PhAT https://t.co/GD6EbK2hTP',ko,
1589929236005261314,2022-11-08T10:34:03.000Z,b'Have a good dinner  \xec\xa2\x8b\xec\x9d\x80\xeb\xb0\xa4\xeb\x90\x98\xec\x84\xb8\xec\x9a\x94 :) https://t.co/0pBjkmtdz0',ko,
1589602205447122944,2022-11-07T12:54:33.000Z,b'Good night ! https://t.co/yDuS16wXmS',en,
1589212305161879552,2022-11-06T11:05:14.000Z,b'17\xeb\x85\x84\xeb\x8f\x99\xec\x95\x88 \xeb\xb3\x80\xed\x95\xa8\xec\x97\x86\xec\x9d\xb4 \xed\x95\xa8\xea\xbb\x98\xed\x95\xb4\xec\xa4\x98\xec\x84\x9c \xea\xb0\x90\xec\x82\xac\xed\x95\xa9\xeb\x8b\x88\xeb\x8b\xa4 :) https://t.co/nfxDvFAiiJ',ko,
1581162583607762944,2022-10-15T05:58:31.000Z,b'\xea\xb0\x90\xec\x82\xac\xed\x95\xa9\xeb\x8b\x88\xeb\x8b\xa4 :) Thank you \xf0\x9f\x98\x8a\xf0\x9f\x92\x99 https://t.co/t7KwihNsn8',ko,
1578930983688339456,2022-10-09T02:10:56.000Z,b'I believe i can fly https://t.co/Sb8uWsyekH',en,
1578930347412451332,2022-10-09T02:08:24.000Z,b'Safe flight \xe2\x9c\x88\xef\xb8\x8f https://t.co/gP7vTJJA3O',en,
1569261595129430016,2022-09-12T09:48:14.000Z,"b'\xec\xa7\x80\xea\xb8\x88 \xeb\x8b\xb9\xec\x9e\xa5 \xec\x95\x84\xed\x94\x88 \xec\x8b\x9c\xea\xb0\x84\xeb\xa7\x8c \xec\x9e\x98 \xea\xb2\xac\xeb\x94\x94\xeb\xa9\xb4 \xeb\xb9\x9b\xeb\x82\x98\xea\xb3\xa0 \xed\x96\x89\xeb\xb3\xb5\xed\x95\x9c \xec\x8b\x9c\xea\xb0\x84\xeb\x93\xa4\xec\x9d\xb4 \xeb\x8b\xa4\xea\xb0\x80\xec\x98\xac\xea\xba\xbc\xec\x97\x90\xec\x9a\x94 \xed\x9e\x98\xeb\x82\xb4\xec\x9e\x90 \xec\x95\xa0\xeb\x93\xa4\xec\x95\x84 ^^\nEven if you are in the middle of sickness, there will be a brighter and happier future when you overcome. I will be on your side until the day comes. https://t.co/r48YLNRd0D'",ko,
1557973070299553793,2022-08-12T06:11:40.000Z,b'NEW TEMPUS https://t.co/cAWkaqTJTK',en,
