twitter_id,date,tweet,lang,data
1680171683217575936,2023-07-15T11:05:20.000Z,b'A complete team effort. Congratulations to Yashasvi &amp; Ishan on your Test debuts. \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 https://t.co/4i2WA0sEjA',en,
1678358255129755650,2023-07-10T10:59:25.000Z,"b""The one8 Fitness App ensures that your every workout is challenging yet attainable, helping you achieve your fitness goals.\n\nClick here\xf0\x9f\x91\x89 https://t.co/Qcvf6OKmNk to access a world of workout combinations!\n\nJoin me now and let's get moving! \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc #FitnessMadeEasy #ad\n\n@one8world https://t.co/hNYv6cpdJH""",en,
1678104020387528704,2023-07-09T18:09:10.000Z,b'The only two guys part of the last test we played at Dominica in 2011. Never imagined the journey would bring us back here in different capacities. Highly grateful. \xf0\x9f\x99\x8c https://t.co/zz2HD8nkES',en,
1678011324440399872,2023-07-09T12:00:50.000Z,b'\xf0\x9f\xa4\x8c https://t.co/FPQVzBS6rh',qme,
1677773547039756288,2023-07-08T20:15:59.000Z,b'Everyday should be a leg day \xf0\x9f\xa6\xb5. 8 years and counting. \xf0\x9f\x99\x8c https://t.co/MgQK7LZHzI',en,
1676911170077487104,2023-07-06T11:09:13.000Z,b'Welcome to the mothership.\n\n#StayMad #StayWrogn #ad\n\n@StayWrogn https://t.co/NWREdbPKWW',en,
1675524860926377984,2023-07-02T15:20:31.000Z,b'I wasn\xe2\x80\x99t joking about calling Ben Stokes the most competitive bloke I\xe2\x80\x99ve played against. Innings of the highest quality but Australia is too good at the moment \xf0\x9f\x91\x8d',en,
1675508323901411329,2023-07-02T14:14:48.000Z,b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/4tcs7DK69Q',qme,
1675375583147225089,2023-07-02T05:27:20.000Z,"b""Embrace the exhilarating journey to greatness with Herbalife by your side.\nFuel up and rise to the challenge with Herbalife24's sports nutrition range.\n\n#Herbalife #HerbalifeIndia #Fuelforthechampions #ad \n\n@Herbalifeindia https://t.co/5nxXp6mzmV""",en,
1673640084070076416,2023-06-27T10:31:05.000Z,"b'Be at your best, and the first to get my Electric Blue Batwrap, out now- making your game look and feel brand new!\n\nStart your positive mindset today with @batwraps\nWorldwide shipping, visit https://t.co/hPR1DOMZv7\n\n#Batwrap #PositiveMindset #BeBetterWithBatwrap #ElectricBlue #ad https://t.co/dhN5MGHQ37'",en,
1672285368174133248,2023-06-23T16:47:55.000Z,b'When in the tube \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x99\x82\xef\xb8\x8f https://t.co/poEzsCpnTm',en,
1672131831901323264,2023-06-23T06:37:50.000Z,"b'O\xe2\x80\x99cean Fruit Water is my favourite hydration boost. And u should make it yours. Vitamins, electrolytes &amp; delicious fruit flavours - it\xe2\x80\x99s got everything to make you feel super hydrated. Use code VKOCEAN to get flat 10% off https://t.co/2JMvdR8Z45\n@OceanBeverages\n\n#OceanDrinks #ad https://t.co/mfUwx2QZMS'",en,
1671148730572230658,2023-06-20T13:31:20.000Z,b'12 years in test cricket today. Forever grateful \xf0\x9f\x92\xab\xf0\x9f\x99\x87\xf0\x9f\x8f\xbb\xe2\x99\x82\xef\xb8\x8f https://t.co/oYiB1jyC1A',en,
1671119480989294594,2023-06-20T11:35:06.000Z,"b""It's time to be better with #Batwrap \n\xc2\xa0\nI\xe2\x80\x99m proud to announce my all-new Batwrap series, starting with \xe2\x80\x98Electric Blue\xe2\x80\x99, helping redesign your game with colour and fun, and play at your best! \nClick: https://t.co/hPR1DOMZv7\n@batwraps\n#BeBetterWithBatwrap #BatwrapIndia #ad https://t.co/K9ERVy3vHN""",en,
1670780626969182209,2023-06-19T13:08:37.000Z,b'Look for excuses or look to get better. https://t.co/piNs5exvbW https://t.co/qbTmcNlGfR',en,
1665962036214509569,2023-06-06T06:01:16.000Z,b'Congratulations @ManCity &amp; @PepTeam on sealing City\xe2\x80\x99s seventh FA Cup! \xf0\x9f\x91\x8a\xf0\x9f\x8f\x86 \nSuch an effortless display of game and grit by all the players. \n@pumafootball \xe2\x9a\xbd https://t.co/IriD9lvAKR https://t.co/Z9QEwRmYlY',en,
1665695231952420864,2023-06-05T12:21:05.000Z,"b'My records. My awards. My wins &amp; losses. #WipeMyRecordClean\nBecause what I am, has no bearing on what I am about to be!\n#MyAccountStartsToday with #HSBCIndia, the springboard of my story that is yet to be written.\nGet ready to start yours! https://t.co/cm4fNLek2I\n\n@HSBC_IN  #ad https://t.co/PU5WNk8ieY'",en,
1664862533818122240,2023-06-03T05:12:14.000Z,b'Saddened to hear about the tragic train accident in Odisha. My thoughts and prayers go out to the families who lost their loved ones and wishing a speedy recovery to the injured.',en,
1664618863873638400,2023-06-02T13:03:58.000Z,b'Unlock the unexpected Wrogn treasures with the End of Reason Sale.\nShop here\xf0\x9f\x91\x89 https://t.co/W1VdpzXK4J\n\n@StayWrogn @myntra\n\n#MyntraEndOfReasonSale #SaveOnFashionWithMyntraEORS\n#EORS #StayMad #StayWrogn #ad https://t.co/KWtTgH3c3v',en,
1664336711856562176,2023-06-01T18:22:48.000Z,b'Prep \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xe2\x9c\x85 https://t.co/UYCulkoGJ9',en,
1664234097374531585,2023-06-01T11:35:03.000Z,b'RT @MRFWorldwide: Hey cricket fans! Put your cricketing wisdom to the test and predict correctly for the chance to WIN 2 tickets to the ICC\xe2\x80\xa6',en,
1664182584367267840,2023-06-01T08:10:21.000Z,"b'This bat is an extension of me on the field. It\xe2\x80\x99s a responsibility. MRF Genius, great things have been done with it. The journey continues\xe2\x80\xa6\n\n@MRFWorldwide\n#mrfgenius #mrftyres #ad https://t.co/WIRE2RwFZs'",en,
1663789865031589889,2023-05-31T06:09:50.000Z,b'All day everyday 24x7. \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x92\x99 https://t.co/ob19As24hM',en,
1663517736465735680,2023-05-30T12:08:29.000Z,"b""After many challenges &amp; tests in these past two years, we are ready to chase #UltimateGlory, ready for #TheUltimateTest \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\n\nIt's showtime! Time to get the mace home \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\n\nWatch the #WTCFinalOnStar, June 7, 2 pm onwards on Star Sports Network\n\n #BelieveInBlue @StarSportsIndia #Ad https://t.co/Ew032mXQj4""",en,
1663198979470004225,2023-05-29T15:01:52.000Z,b'\xf0\x9f\xa4\x8d https://t.co/8P6GcgO8i2',qme,
1662359470511648770,2023-05-27T07:25:57.000Z,b'The whites \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x8d https://t.co/D5DYs4Dxyt',en,
1661969748345913344,2023-05-26T05:37:20.000Z,"b""The Sustainable Edition of our Energy Drink, made with 70% recycled aluminum, is making a real impact! For every can u enjoy @BallCorpHQ recycles one, contributing to a sustainable future! We've already collected around half a million cans for recycling @OceanBeverages\n\n#ad https://t.co/Diko4jAyYc""",en,
1661332804440035333,2023-05-24T11:26:21.000Z,"b'Lighting up the pitch with @pumacricket \xe2\x9a\xa1\xef\xb8\x8f\n\nCop the all-new PUMA 22 FH Rubber Cricket Shoes on https://t.co/8DOCzweg23, app and stores.\n\n#PUMAxVK #ad https://t.co/yPXcRXZ5II'",en,
1661230860203589633,2023-05-24T04:41:15.000Z,"b'Forever pushing to be faster in my ForeverRun one8 NITRO \xf0\x9f\x8f\x83\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x9a\xa1\xef\xb8\x8f @pumacricket\n\nShop the NITRO Collection from https://t.co/FM9TKxvRlB, PUMA App &amp; Stores.\n#ad https://t.co/UOpDljqapE'",en,
1660879656701284354,2023-05-23T05:25:42.000Z,"b'A big thank you to the coaches, management and my teammates. We aim to be back stronger. \n\xf0\x9f\x92\xaa\n@RCBTweets'",en,
1660879653022871554,2023-05-23T05:25:41.000Z,"b""A season which had it's moments but unfortunately we fell short of the goal. Disappointed but we must hold our heads high. To our loyal supporters, grateful for backing us every step of the way. https://t.co/82O4WHJbbn""",en,
1659764181804138497,2023-05-20T03:33:12.000Z,b'Unleash the madness: The Wrogn Throwaway Festival is back with a bang!\xf0\x9f\x92\xa5\nGet started by clicking here\xf0\x9f\x91\x89 https://t.co/Iqy1WYSjoH \n\n#WrognThrowawayFestival #StayMad #StayWrogn #ad \n\n@StayWrogn @myntra @flipkart https://t.co/poIJHKtZMy https://t.co/8NXkGB2JNJ',en,
1659258114598924288,2023-05-18T18:02:16.000Z,b'Job well done in Hyderabad \xe2\x9c\x85 https://t.co/PjhKVupn2C',en,
1658881761609404416,2023-05-17T17:06:47.000Z,b'. @RCBTweets https://t.co/sB6nvd0DwS',und,
1658678068876296192,2023-05-17T03:37:23.000Z,"b'Make a team with your favourite players &amp; win big rewards!\n\nBuild your collection of official limited-edition player cards to play strategy games on @0xFanCraze all-year round.\n\nBuy Once, Win Forever!\n\nSign Up now on https://t.co/wUKJ6DSWe4\n\n#FanCraze #BadaGameKhel #collab https://t.co/r9REeA3JJv'",en,
1658331847552806914,2023-05-16T04:41:37.000Z,"b'Trainer test. Basu sir - do you want a cheese pocket? Me- no way , dk - \xf0\x9f\xa4\xa4 @DineshKarthik @basu2013 https://t.co/bRVZO5BdTt'",en,
1657971019423039490,2023-05-15T04:47:49.000Z,b'We are thrilled to announce the launch of the first ever one8 Fitness App.\n\nBe a part of the one8 community and elevate your fitness journey!\n\nDownload now: https://t.co/Qcvf6OKmNk\n\n@one8world\n\n#one8Fitness #FitnessMadeEasy #one8 #ad https://t.co/1DIMAbkdOd',en,
1657741057520701440,2023-05-14T13:34:02.000Z,b'Important win. Great character shown by the boys. Onto the next one. \xf0\x9f\x92\xaa https://t.co/vQlQyrp2ge',en,
1657636059612876800,2023-05-14T06:36:48.000Z,b'Happy Mother\xe2\x80\x99s Day \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f @AnushkaSharma https://t.co/oXTBkKWeIE',en,
1657291228088799233,2023-05-13T07:46:34.000Z,b'\xf0\x9f\x91\x81\xef\xb8\x8f https://t.co/0ianoOlX4X',qme,
