twitter_id,date,tweet,lang,data
1671953122107994112,2023-06-22T18:47:42.000Z,b'june\xe2\x80\x99s book club pick \xf0\x9f\x93\x9a https://t.co/bhWfYf2v0n',en,
1665516900816764928,2023-06-05T00:32:27.000Z,b'@Maureenow @NatalieLima09 \xe2\x99\xa5\xef\xb8\x8f',qme,
1661420480270680064,2023-05-24T17:14:44.000Z,"b'40 weeks on the NYT bestseller list ?? i can\xe2\x80\x99t believe millions (millions ?! \xf0\x9f\xa4\xaf\xf0\x9f\xab\xa8) of you have taken the time to read this book, and have connected with it so deeply. it\xe2\x80\x99s been a wild ride these past nine months. i appreciate every second of it. it\xe2\x80\x99s all thanks to you guys. https://t.co/vCemyjz9j4'",en,
1644146055372582912,2023-04-07T01:12:21.000Z,"b""RT @simonschusterUK: What does it take to be a woman and a bootlegger in a world of conflict and lawlessness?\n\n'Jeannette Walls created my\xe2\x80\xa6""",en,
1643012980903165954,2023-04-03T22:09:55.000Z,b'\xf0\x9f\x99\x8f https://t.co/qeL1osNv1E',art,
1636079034928099328,2023-03-15T18:56:53.000Z,b'what an unforgettable night https://t.co/FslBS5LNdJ',en,
1630646136103944232,2023-02-28T19:08:29.000Z,b'loved this conversation with you all - thank you for having me \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\xa6\xa6 https://t.co/unKDYXz4qO',en,
1621969014254882816,2023-02-04T20:28:42.000Z,"b""RT @SydOperaHouse: Due to popular demand! \xe2\xad\x90\n\nMore tickets have just been released for: \n\xf0\x9f\x91\x8f i'm glad my mom died\n\xf0\x9f\x91\x8f actually autistic\n\xf0\x9f\x91\x8f the wa\xe2\x80\xa6""",en,
1620135528640421893,2023-01-30T19:03:05.000Z,"b'thank you to the American Library Association for the tremendous honor ! i will be displaying my medal with the tact of any first-time medal winner, which is zero. expect high visibility placement on my mantel. might even become my new profile picture\xe2\x80\xa6 https://t.co/OvSXi4DcQY'",en,
1616001253057892352,2023-01-19T09:14:57.000Z,b'australia !! excited to be a part of #allaboutwomen 2023 @SydOperaHouse - you can get your tix here:\nhttps://t.co/AbUGMrgaxQ https://t.co/2Vh8DcdCdi',en,
