twitter_id,date,tweet,lang,data
1679890462235144202,2023-07-14T16:27:51.000Z,"b""Okay I am returning to a state where all the good stuff is @sportswithjohn. Pleasure doing business with y'all on Main. Until next time.""",en,
1679885465959247876,2023-07-14T16:08:00.000Z,"b'My favorite part of the piece is where the unnamed J&amp;J spokesperson, who must absolutely hate their job right now, tried to make it sound like public and civic pressure had no effect on this decision and they made it months ago because they are humanitarians. Then just happened\xe2\x80\xa6 https://t.co/YtIoaWrG4c'",en,
1679885129567678467,2023-07-14T16:06:40.000Z,"b'""What should infuriate people is that this is all public-sponsored research, right? So we\'re paying twice for it as taxpayers -- once when we invest in the research, because NIH grants are all funded by taxpayer dollars, and then we pay for it again when we buy it off the shelf."" https://t.co/pMn6717Git'",en,
1679879242316763137,2023-07-14T15:43:16.000Z,"b""RT @nicholeeze1: 'This gives  the ability to sell generic versions of the drug in 44 countries-incl Mozambique, Philippines and Zambia-wher\xe2\x80\xa6""",en,
1679851861317222401,2023-07-14T13:54:28.000Z,"b""So great that @JNJNews has committed to working with GDF to make generic bedaquiline available in most low- and middle-income countries. \n\nBUT WE ARE STILL WATCHING, J&amp;J. AND WE WILL KEEP WATCHING.\n\nThis is nerdfighteria, Johnson &amp; Johnson. We don't dress for women. We don't\xe2\x80\xa6 https://t.co/R3IzmhHES5 https://t.co/FZNYcYn2A0""",en,
1679850317679153153,2023-07-14T13:48:20.000Z,b'https://t.co/q4pe22VrrP',zxx,
1679843438005460992,2023-07-14T13:21:00.000Z,"b""@eleighski @JNJNews The language in the J&amp;J response made it sound like the generics would only be available in countries where J&amp;J didn't successfully extend the patent. The Stop TB announcement makes it clear that it's most countries with a high TB burden (still no complete list unfortunately),\xe2\x80\xa6 https://t.co/M2tpXkNcsL""",en,
1679681627193069570,2023-07-14T02:38:01.000Z,"b""@paleodaniel @JNJNews This is one of the best memes I've ever seen and I'm replying to it so I can post it in the morning if J&amp;J still hasn't clarified.""",en,
1679681211306786817,2023-07-14T02:36:22.000Z,b'@Elizabe13170473 @CepheidNews The most terrifying and wondrous power of all.',en,
1679681016451964929,2023-07-14T02:35:35.000Z,"b'@t3hsis @Jennife42318835 @sportswithjohn @PhillyD @JNJNews @Forbes The ELI5 is this a massive step forward and we are grateful to J&amp;J for taking it, but we need public and transparent clarity from them about any limits on the availability of generics in countries with lots of TB.'",en,
1679678621672263680,2023-07-14T02:26:04.000Z,"b'@CepheidNews Hi, admin! Please let your bosses know how things have gone for Johnson &amp; Johnson over the last few days. I would not want you to have a similar experience, because I believe in your commitment to ""a hopeful new world with equal access to lifesaving diagnostics and treatments.""'",en,
1679674532817190912,2023-07-14T02:09:50.000Z,"b""@mountain_goats @info_worms Let 'em cook!""",en,
1679674456011071493,2023-07-14T02:09:31.000Z,"b""Grateful to \n1. @PhillyD covers @JNJNews's bedaquline story for his six million subscribers: https://t.co/wXtZ7CuS81\n\n2. @Forbes, which seems to know more about J&amp;J's decision than they have publicly acknowledged (just release a statement, J&amp;J! It's easy! I'll write it for you!):\xe2\x80\xa6 https://t.co/CpiJ4CqNxi""",en,
1679671590156468234,2023-07-14T01:58:08.000Z,b'@Toasted_6 @JNJNews A++++',und,
1679670034044420096,2023-07-14T01:51:57.000Z,b'@WGeorgeCook @MSF @PIH @nicholeeze1 @louismyers110 @Shal0m_M @posthumorously_ @prosokken @fallenoffacliff whatever the emoji is for thank you over and over again.',en,
1679669796844064768,2023-07-14T01:51:00.000Z,b'@dftbaRachel @JNJNews J&amp;J Corporate Comms gotta learn at least four chords before they can make a complete musical statement.',en,
1679610717907873792,2023-07-13T21:56:15.000Z,"b""@FrMatthewLC I've done this like 200 times in my life :)""",en,
1679610496377298944,2023-07-13T21:55:22.000Z,"b'@PIH @JNJNews This is a weird thing to say to a twitter account, but I love you so much and am so grateful for your partnership and accompaniment over the last 15 years. We keep pushing.'",en,
1679610305368735745,2023-07-13T21:54:37.000Z,"b'RT @PIH: PIH is cautiously optimistic after hearing today that Johnson &amp; Johnson plans to work with the Global Drug Facility. However, we w\xe2\x80\xa6'",en,
1679593478802624515,2023-07-13T20:47:45.000Z,"b'Now from @PIH, who are ""cautiously optimistic,"" but @JNJNews needs to make ""the details of the Stop TB  deal public."" Yes!\nLeading NGOs have been able to make statements. @JNJNews has 120,000 employees; they can\'t get one to write a press release? https://t.co/DCOvRrIUqF https://t.co/hN9kBpZ2aM'",en,
1679591298972413952,2023-07-13T20:39:05.000Z,"b'@FrMatthewLC @JNJNews Thank you, Father.'",en,
1679590508639789056,2023-07-13T20:35:57.000Z,"b'Gonna keep updating this with responses from the folks I admire. This one from @TAGTeam_Tweets. ""Treatment Action Group (TAG) expresses qualified optimism"" after over a year of sustained activism by Tuberculosis activists.  https://t.co/QKk6I7yRlV https://t.co/BnW1NquxXN'",en,
1679585257295675393,2023-07-13T20:15:05.000Z,"b'Absolutely agree with @MSF: This is an important but short-term step, and we are still waiting for details and assurances from @JNJNews, who inexplicably seem satisfied with their horrific statement from yesterday. https://t.co/ypFLWcfxT3'",en,
1679579657727877120,2023-07-13T19:52:50.000Z,b'@melato_gelato So good.',en,
1679566863464902656,2023-07-13T19:01:59.000Z,"b'@dftbaRachel Thinking of you and your mom today, Rachel.'",en,
1679565672345477128,2023-07-13T18:57:15.000Z,"b'@Brown1Annette @smartalek180 The vaccine is 101 years old and not very effective (it is effective at preventing severe illness in children, but otherwise not very effective). We need vaccines that are less than 101 years old. Good candidates in the pipeline now, but not yet sure how good.'",en,
1679533559067844608,2023-07-13T16:49:39.000Z,"b""@sciliz @JNJNews I really don't.""",en,
1679532848343048215,2023-07-13T16:46:49.000Z,b'RT @lobsidedbob: @johngreen @JNJNews https://t.co/xhn0PxqXqG',qme,
1679517511195213825,2023-07-13T15:45:53.000Z,"b""@carebearritual steady. They haven't foregone the patent--just pledged to allow generic access. If they forego the patent, then yeah. You gotta get the tattoo.""",en,
1679517401405071361,2023-07-13T15:45:27.000Z,"b""What Phumeza and Nandita have accomplished in solidarity with other tuberculosis activists is TRULY an inspiration.\nAnd also should 100% strike fear in the hearts of anyone price-gouging impoverished communities to limit access to TB drugs or diagnostic tools. We're watching. https://t.co/r5CkgpfXeV""",en,
1679509361343754240,2023-07-13T15:13:30.000Z,b'@abfekurtbutler @JNJNews Truly the dream career arc.',en,
1679508967053983745,2023-07-13T15:11:56.000Z,"b""Hey @jnjnews I DM'ed you with my number. If you need help with the press release you are hopefully writing, I'm happy to help advise on what it needs to include--a pledge that this deal will last forever, that it will not limit the quantity of bedaquiline available, and the list\xe2\x80\xa6 https://t.co/foWd270bFD""",en,
1679493837541056512,2023-07-13T14:11:49.000Z,"b""It's true, @JNJNews. We're starting to have feelings for you since you announced the deal to make generic bedaquiline available through the Stop TB Partnership. But we can't FULLY close this thrilling enemies-to-lovers romance until you \n\n- Commit to the deal with GDF in\xe2\x80\xa6 https://t.co/VfMK37ASFi https://t.co/M2aUdMJOEz""",en,
1679492359271354370,2023-07-13T14:05:56.000Z,"b""This from Dr. Mitnick, Harvard professor and one of the world's leading TB researchers. So @jnjnews, if you could take just a couple more steps and...\n- Commit to this new deal with GDF in perpetuity\n- Provide the list of countries that can access bedaquiline through this deal\xe2\x80\xa6 https://t.co/Zxz987mrlt https://t.co/RswIU3tXyp""",en,
1679489458947911680,2023-07-13T13:54:25.000Z,"b""@WhatEthanLoves I think we really tried on that front. I think a lot of activists were surprised this morning, because J&amp;J has not indicated any willingness to do this. But you're absolutely right. We need to listen to the people with the most experience in these movements.""",en,
1679489063508750337,2023-07-13T13:52:50.000Z,"b""@JulieHerrickCA @StopTB @JNJNews The partnership they explained yesterday appeared from the language they used to only include countries where the patent wasn't being evergreened. This announcement--as we understand it--involves a pledge to make generics available (nearly) everywhere at their lowest price, no\xe2\x80\xa6 https://t.co/Erg9Rkdrtb""",en,
1679473227809054721,2023-07-13T12:49:55.000Z,"b'The work goes on from here. So much to do to #EndTB, but I believe that if we walk together in solidarity, the impossible becomes inevitable. https://t.co/1DaApysNyh'",en,
1679472718335336448,2023-07-13T12:47:53.000Z,"b'@StopTB @JNJNews We keep going from here, together in solidarity with all those affected by TB.'",en,
1679472162149728259,2023-07-13T12:45:41.000Z,"b'@Alin_Juverdeanu @MSF @PIH Alin, I have learned something important from you today. Thank you.'",en,
1679471673303609344,2023-07-13T12:43:44.000Z,b'Nandita (along with @Ptisile) helped lead the charge to fight the bedaquiline patent extension in India. \nShe lost eight years of her life and her hearing to MDR-TB. So many others have lost their lives. Watch her speech at the UN five years ago: https://t.co/BSAVFw3TBr\nTHANK YOU\xe2\x80\xa6 https://t.co/NYh2oJL75P https://t.co/KbVn4vPm3V',en,
1679469655461617665,2023-07-13T12:35:43.000Z,b'@marv257 Me too and me too.',en,
1679469534409904129,2023-07-13T12:35:14.000Z,"b""@Alin_Juverdeanu @MSF @PIH wait'll you find out what football team I support. Then you'll like me less. :)""",en,
1679468485041070081,2023-07-13T12:31:04.000Z,b'@MinnesotaJoe3 @MSF @PIH \xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99',qme,
1679468409346486273,2023-07-13T12:30:46.000Z,b'@MonicaBisha @JNJNews weird for me too!',en,
1679467835922300929,2023-07-13T12:28:29.000Z,"b'@NameNamish @carebearritual @MSF @PIH absolutely agree. We may have affected the timing but did not make this happen. The hardworking activists and bureaucrats made this happen, and should be celebrated.'",en,
1679467570032721922,2023-07-13T12:27:26.000Z,"b""@AmericaBluebird Yeah, I am also baffled by yesterday's statement! But the change of course is what really matters. It's incredible. I hope they get better at comms in the future just because I am now a fan of their corporation :)""",en,
1679466736205135872,2023-07-13T12:24:07.000Z,"b""I keep crying out of nowhere. What a good day to support @MSF, @PIH, and all the global health orgs and activists who've been fighting for tuberculosis treatment access for decades. These people are my heroes, and today I'll be making donations in honor of TB survivors around the\xe2\x80\xa6 https://t.co/jHmo4jbXyq""",en,
1679464105445302273,2023-07-13T12:13:40.000Z,"b""@StopTB I am so overwhelmed with gratitude to y'all and everyone who has worked on this critical issue. Thank you. Thank you. Thank you. This is a big step to better treatment for all. And now onward to 1/4/6x24 and to comprehensive global programs for searching for cases, treating them,\xe2\x80\xa6 https://t.co/QRa7u8uSNp""",en,
1679463091526934528,2023-07-13T12:09:38.000Z,"b""@NeuzTrevor i could not agree more? That was such a bad statement? Your tweet is so much better! Maybe you should work on their comms team. But they can't have made such a complicated multinational agreement in two days. Pressure had been building before this (including from nerdfighteria).""",en,
1679461576909156353,2023-07-13T12:03:37.000Z,b'The @jnjnews celebratory memes are gonna be just as piping hot as the derogatory memes. #thankyoujnj #thankyoutbactivists https://t.co/CuwsOeu8xK',en,
1679460591193268225,2023-07-13T11:59:42.000Z,"b""I want to be clear that while I think our pressure may have affected the timing, this must have been in the works for a while. The real heroes here aren't us but the Stop TB Partnership and other activists who've been working for YEARS to get to this moment. You rule. THANK YOU. https://t.co/ZcZm86RXOd""",en,
1679457021429444608,2023-07-13T11:45:31.000Z,"b'!!!!!!!!!!!!! @JNJNews, THANK YOU for choosing #PatientsNotPatents. Takes real guts to live up to your credo. Generic bedaquiline WILL BE AVAILABLE in almost every country with a high tuberculosis burden. I am so happy and grateful to the Stop TB Partnership, J&amp;J, and especially\xe2\x80\xa6 https://t.co/KC3kPOxnWl https://t.co/zCC2UW9SWd'",en,
1679302552486019073,2023-07-13T01:31:43.000Z,b'@oh_nosie @JNJNews yesssssss.',und,
1679302217818419206,2023-07-13T01:30:23.000Z,"b'\xf0\x9f\x91\x80 \n\nI will 100% honor this pledge, @JNJNews. 100 percent. https://t.co/NouaLOXisn'",en,
1679301595585036288,2023-07-13T01:27:54.000Z,b'@carebearritual I would walk back that pledge if I were you. :)',en,
1679299840063455232,2023-07-13T01:20:56.000Z,"b'J &amp; J had a really, really bad PR day today. They can have a really, really good PR day tomorrow, and I promise @JNJNews that I will celebrate that as loudly and as repeatedly as I have criticized the public-facing position up to now.'",en,
1679253300355448832,2023-07-12T22:16:00.000Z,b'@adamhchase \xf0\x9f\x92\x9b\xf0\x9f\x92\x9b\xf0\x9f\x92\x9b\xf0\x9f\x92\x9b',qme,
1679252298055274496,2023-07-12T22:12:01.000Z,"b""@hankgreen Yeah. They think I'm on Day 2 of 2. But I'm on Day 450 of 4,500.""",en,
1679249935991025665,2023-07-12T22:02:38.000Z,b'@AshMeijer A+++',und,
1679246119270854660,2023-07-12T21:47:28.000Z,b'@mountain_goats \xf0\x9f\x92\x9b\xf0\x9f\x92\x9b\xf0\x9f\x92\x9b\xf0\x9f\x92\x9b Thank you JD. Love you.',en,
1679244567659401219,2023-07-12T21:41:18.000Z,"b""@TheMerovius If it was loud and public that would be adequate defense, at least from what I've been told by experts.""",en,
1679244210476666880,2023-07-12T21:39:53.000Z,"b'@CarterReaMoore1 @JNJNews what an arc that will be! And it only takes a sixteen-word tweet: ""We will not enforce secondary patents on bedaquiline in countries with a high burden of tuberculosis.""'",en,
1679243820385312768,2023-07-12T21:38:20.000Z,b'@MohammedSahaf how do I vote for that???',en,
1679243466524459008,2023-07-12T21:36:55.000Z,"b'At the comms meeting tomorrow:\n""How did our statement go over online?""\n""Well, three million people saw it.""\n""That\'s great.""\n""Forty people liked it.""\n""Is that good?""\n""It\'s actually unprecedentedly bad. But I kind of think that happened because we\'re, like, wrong? If you let me\xe2\x80\xa6 https://t.co/1JKRbDlILN https://t.co/lDDKE4EhC5'",en,
1679233615006236675,2023-07-12T20:57:47.000Z,"b""Hi, @JNJGlobalHealth. Here you can clearly see, even if via meme, that you did NOT fund the majority of bedaquiline research. It was mostly funded by the public. You've had the patent for 20 years. That's enough. Pledge not to enforce secondary patents in nations with a high TB\xe2\x80\xa6 https://t.co/BJLWjFFfmP https://t.co/e73E9AGV17""",en,
