twitter_id,date,tweet,lang,data
1679222832268550145,2023-07-12T20:14:56.000Z,b'So excited to show you my nursery &amp; the collection I designed with @nestigbaby! Everything is inspired by the beach and is so peaceful and playful. I loved working with @nestigbaby to create my dream nursery\xe2\x80\x94everything is handmade and perfect for any little one in your life! You\xe2\x80\xa6 https://t.co/impTI44IUE https://t.co/2Dv5uN4MKU',en,
1677334550165192704,2023-07-07T15:11:34.000Z,b'Now live! \xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95\n\nhttps://t.co/F82zOXG1xi https://t.co/yUaUvvLBxh',en,
1601249786157764609,2022-12-09T16:17:53.000Z,b'RT @pepsi: It\xe2\x80\x99s time to settle the debate. Does @lindsaylohan actually like #PilkandCookies? Check out her very first sip and you tell us \xf0\x9f\x91\x80\xe2\x80\xa6',en,
1598522293487017990,2022-12-02T03:39:48.000Z,b'How about some #Pilk Santa? \xf0\x9f\x92\x99\n#PilkandCookies\n#PepsiPartner https://t.co/Itov7JAFPQ',en,
1598318297661214721,2022-12-01T14:09:12.000Z,"b'Feeling nice\xe2\x80\xa6or naughty? @Pepsi, let\xe2\x80\x99s make #PilkandCookies happen \xf0\x9f\xa5\xa4+\xf0\x9f\xa5\x9b +\xf0\x9f\x8d\xaa #PepsiPartner https://t.co/1QMb1spgqm'",en,
1597971709872963585,2022-11-30T15:11:59.000Z,"b'RT @InterviewMag: \xe2\x80\x9cI think people still see us as teenagers.\xe2\x80\x9d @lindsaylohan spoke to her ""Mean Girls"" co-star @AmandaSeyfried  for ""MIAMI,""\xe2\x80\xa6'",en,
1597971668617826304,2022-11-30T15:11:49.000Z,"b'RT @InterviewMag: Welcome to \xe2\x80\x9cMIAMI,\xe2\x80\x9d a limited-edition storybook starring @lindsaylohan presented by Interview and AMI \xf0\x9f\x92\xa8 debuting exclusiv\xe2\x80\xa6'",en,
1592710487950917632,2022-11-16T02:45:46.000Z,b'RT @DrewBarrymoreTV: .@lindsaylohan and @AmandaSeyfried had no idea Mean Girls was going to be a hit.\n\nTune in TUESDAY for more with Lindsa\xe2\x80\xa6',en,
1592710248204480520,2022-11-16T02:44:48.000Z,"b'RT @DrewBarrymoreTV: .@lindsaylohan tells @helloross that she always knew her husband was ""the one"" \xf0\x9f\x92\x8d https://t.co/9uMTWdSLNO'",en,
1592198348681138176,2022-11-14T16:50:42.000Z,"b'RT @WhoWhatWear: \xe2\x80\x9cI wanted to do something where people felt like I hadn\xe2\x80\x99t left,\xe2\x80\x9d @lindsaylohan says on the topic of her new film, #Falling\xe2\x80\xa6'",en,
1591205131772911616,2022-11-11T23:04:01.000Z,b'RT @LiveKellyRyan: . @lindsaylohan talks about how #FallingForChristmas pays homage to #MeanGirls! https://t.co/cQWj2YzL1r',en,
1590922395866796032,2022-11-11T04:20:31.000Z,b'RT @Rubiks_Official: #RubiksCubeMosaic of @lindsaylohan made out of 720 #RubiksCubes by @delnartt ! #FallingForChristmas #LindsayLohan #Rub\xe2\x80\xa6',en,
1590888501054443521,2022-11-11T02:05:50.000Z,"b'RT @jeffconway: The ""Lohan-naissance"" is real, folks!\n\n@lindsaylohan chats with me about her mentality returning to Hollywood and the ""new\xe2\x80\xa6'",en,
1590882223800332288,2022-11-11T01:40:53.000Z,b'Back with my old friend! Always the best time with @jimmyfallon on @fallontonight \xf0\x9f\xa5\xb0\n\n\xf0\x9f\x93\xb8: Todd Owyoung/NBC https://t.co/JAzh3RotRw',en,
1590804490776883200,2022-11-10T20:32:00.000Z,"b'RT @FallonTonight: .@lindsaylohan, hurry up! #FallonTonight https://t.co/cVC9QwWCXd'",en,
1590027687430852608,2022-11-08T17:05:16.000Z,b'RT @GMA: Welcome to the renaissance of @lindsaylohan! \nhttps://t.co/1XjpCpzWki',en,
1588597301173706752,2022-11-04T18:21:25.000Z,b'Jingle Bell Rock - Available Now!\n\nhttps://t.co/cUqZfXXf1e https://t.co/pNVoAIGeov',en,
1588592457989881856,2022-11-04T18:02:11.000Z,"b""RT @netflix: What a bright time, it's the right time, to rock the night away ... to this music video for @lindsaylohan's cover of Jingle Be\xe2\x80\xa6""",en,
1587089649591554048,2022-10-31T14:30:33.000Z,"b'RT @Cosmopolitan: Why, hellooooo there @lindsaylohan  \xf0\x9f\x91\x8b \xf0\x9f\x94\xa5 Catch up with the icon about her first @Netflix project, her friendship with Al P\xe2\x80\xa6'",en,
1578372344414105601,2022-10-07T13:11:06.000Z,"b'Christmas has come early and I come bearing gifts \xf0\x9f\x8e\x81!! I am thrilled to share the trailer for my new film, FALLING FOR CHRISTMAS, only on Netflix November 10th. (Does the song sound familiar \xf0\x9f\x98\x89) https://t.co/9L5acJmwF9'",en,
1576940994360070144,2022-10-03T14:23:25.000Z,b'It\xe2\x80\x99s October 3rd. Now get ready for November 10th. (What happens on Wednesdays again??) \xf0\x9f\x92\x95 @#FallingForChristmas https://t.co/SjhRHFOov8',en,
