twitter_id,date,tweet,lang,data
1674495588707061760,2023-06-29T19:10:33.000Z,b'RT @ndubz: THE ICK OUT NOW! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #TIMELESS\n\nhttps://t.co/fWoN9nA784 https://t.co/xS9sFp3qBD',en,
1674495172682346519,2023-06-29T19:08:54.000Z,b'Here we go @ndubz https://t.co/Xeo266JWsm',en,
1674101750205120534,2023-06-28T17:05:35.000Z,b'RT @ndubz: LONDON!!!! We are taking over @BoxparkWembley this Friday!! Sign up for your free tickets below. \n\nSee you Friday \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\n\nhttps://\xe2\x80\xa6',en,
1666867160667357184,2023-06-08T17:57:54.000Z,b'WE JUST DROPPED THE VIDEO FOR OUR NEW SONG HABIBTI FROM OUR #TIMELESS AlBUM AVAILABLE FOR PRE ORDER NOW &amp; OUT ON AUG 4TH \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #TIMELESS #HABIBTI \xe2\x8f\xb3\nCLICK THE LINK\n\nhttps://t.co/jYfjl8svId',en,
1666742888460435456,2023-06-08T09:44:05.000Z,b'TIMELESS - Our brand new studio album is coming on the 4th AUGUST \xe2\x8f\xb3\xe2\x8f\xb3 Pre-order it NOW to get our single Habibti -Link in Bio #TIMELESS https://t.co/Nu3Dyd9TtL',en,
1657273595108683777,2023-05-13T06:36:30.000Z,b'Who watched @ndubz on the @TheLateishShow last night? \xf0\x9f\x98\x80. P.s Send me your captions for this pic \xf0\x9f\x91\x80\xf0\x9f\xa4\xa3#FEBRUARY #NDUBZSUMMERTOUR #LINKININSTABIO \xf0\x9f\x92\x9a\xf0\x9f\x96\xa4 https://t.co/dAzpMggJyu',en,
1657123926797893633,2023-05-12T20:41:46.000Z,b'Tune into @TheLateishShow on channel 4 at 10pm tonight to see @ndubz we had a right giggle \xf0\x9f\xa4\xa3\xe2\x9d\xa4\xef\xb8\x8f\n#Thelateishshow',en,
1654063331060137987,2023-05-04T10:00:03.000Z,b'When you forget to pee before slipping into latex \xf0\x9f\x91\x80\xf0\x9f\xa4\xa3\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc @ndubz February video out now #shootdaypart2\n\nhttps://t.co/5YP3DcPgsX https://t.co/E8UGOqLdRl',en,
1653324878102011906,2023-05-02T09:05:42.000Z,b'What do we think of the new @ndubz February video? \xf0\x9f\x98\x9c\xf0\x9f\x92\x9a\n\nhttps://t.co/qN5Lt7isMg https://t.co/aXjkYPdZNR',en,
1652988252406657025,2023-05-01T10:48:05.000Z,b'Why did I decide to eat garlic chicken before going on set \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xa3\nNdubz Febuary video out now! Shoot day part 1\nhttps://t.co/5YP3DcPgsX https://t.co/SUJJKAniOs',en,
1652270776991596544,2023-04-29T11:17:05.000Z,b'NEW @ndubz FEBRUARY VIDEO IS OUT NOW! \n\nhttps://t.co/5YP3DcPgsX https://t.co/hNbvHJC55j',en,
1651826831975129089,2023-04-28T05:53:00.000Z,b'NEW @ndubz FEBRUARY OUT NOW \xf0\x9f\x92\x9a\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc #promoday #minty \n\nhttps://t.co/kYbgQfeBiF https://t.co/SLvvk5cOAQ',en,
1651509200453873665,2023-04-27T08:50:51.000Z,b'February \xf0\x9f\x91\x80\xf0\x9f\x92\x9a\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc\nhttps://t.co/vp2klb1IfO https://t.co/LwtlcFK7Mw',und,
1651345530314805249,2023-04-26T22:00:29.000Z,b'The new @ndubz single FEBUARY IS OUT TOMORROW GUYS! \nSo excited for you to here the first track from the new album \xf0\x9f\x98\x81 it\xe2\x80\x99s my favourite &amp; an absolute BANGER. Proper classic NDUBZ \xf0\x9f\xa5\xb0\xe2\x9d\xa4\xef\xb8\x8f #FEBUARY https://t.co/pBJ1iYqHKk',en,
1640702077629353989,2023-03-28T13:07:12.000Z,b'Guys we\xe2\x80\x99re doing Ibiza rocks 21st of may click link for tickets https://t.co/yQ6gPwmawm https://t.co/W99Dvyjf4D',en,
1596505783906308097,2022-11-26T14:06:55.000Z,b'NEW DATES ADDED TO OUR  NDUBZ SUMMER TOUR GUYS!  GUNNERSBURY PARK IS GOING TO BE A BIG ONE! TICKETS ARE ON SALE NOW CLICK THE LINK! \xe2\x9d\xa4\xef\xb8\x8f\n\nhttps://t.co/ljabgc0EBl',en,
1592876295498911744,2022-11-16T13:44:37.000Z,b'Are you ready for @ndubz this summer guys? \xf0\x9f\x98\x9d\xf0\x9f\x92\x9c https://t.co/dO9kywH9MN',en,
1587389612527423489,2022-11-01T10:22:30.000Z,b'WE HAVE JUST RELEASED LIMITED PRODUCTION HOLD TICKETS FOR OUR SOLD OUT TOUR!! This is your last chance to get @n_dubz tickets. Good luck guys &amp; may the odds forever be in your favour \xf0\x9f\x98\xa9\xf0\x9f\x98\x98\xe2\x9d\xa4\xef\xb8\x8f xxx https://t.co/oXXaNT7aCs',en,
1586142981454954496,2022-10-28T23:48:50.000Z,b'@Chick_hope23 @KissFMUK @ndubz Happy birthday \xf0\x9f\x91\x80\xe2\x9d\xa4\xef\xb8\x8f',en,
