twitter_id,date,tweet,lang,data
1680364567128358913,2023-07-15T23:51:47.000Z,b'\xf0\x9f\x92\xaa\xf0\x9f\x94\xb4 https://t.co/pjyzusJkXJ',qme,
1679155616433192960,2023-07-12T15:47:50.000Z,b'\xe2\x9e\x95 3\xe2\x83\xa3 https://t.co/JiQd9ErSyE',qme,
1678969872968032263,2023-07-12T03:29:46.000Z,b'#MATCHDAY https://t.co/QdVCsVQ5op',qme,
1677455439359770624,2023-07-07T23:11:57.000Z,b'Come on \xf0\x9f\x94\xb4 \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbc https://t.co/fPnNJkc3Zf',en,
1675896123859369984,2023-07-03T15:55:47.000Z,"b'Important point, we are still top of the league \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc https://t.co/twByHxYAhd'",en,
1674764729372532745,2023-06-30T13:00:01.000Z,b'Assist + 3\xef\xb8\x8f\xe2\x83\xa3 points \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb \xf0\x9f\x94\xb4 https://t.co/rUfY3NL8Pv',en,
1674521108509237249,2023-06-29T20:51:58.000Z,b'\xf0\x9f\x85\xb0\xef\xb8\x8f \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc \xe2\x9a\xbd\xef\xb8\x8f https://t.co/AnUIRvxsF2',qme,
1674202817148469248,2023-06-28T23:47:11.000Z,b'#MATCHDAY  \xf0\x9f\x94\xb4 \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc https://t.co/A15W0DgE1t',qme,
1672451068200984577,2023-06-24T03:46:21.000Z,"b""Let's go \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc \xf0\x9f\x94\xb4 https://t.co/W63wjiHnzf""",en,
1671264061978472448,2023-06-20T21:09:37.000Z,b'Training \xf0\x9f\x94\xb4 \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc https://t.co/kscQNm6cJH',en,
1669328910067064832,2023-06-15T13:00:01.000Z,b'#tbt \xf0\x9f\x8f\x93 https://t.co/h7TyFmSge6',qme,
1668715208741646337,2023-06-13T20:21:23.000Z,b'Visit to the #FamePark \xf0\x9f\x98\x83. Thank you @sb_belhasa \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/BsBMqlBEjr',en,
1667200337462059010,2023-06-09T16:01:50.000Z,b'2\xef\xb8\x8f\xe2\x83\xa3 goals and 3\xef\xb8\x8f\xe2\x83\xa3 points \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc \xf0\x9f\x94\xb4 https://t.co/u8KM6LieJ9',en,
1667014509280542771,2023-06-09T03:43:25.000Z,b'Matchday! #CSL #ShanghaiPort https://t.co/0vzQ1NBDYi',en,
1666139282551996429,2023-06-06T17:45:34.000Z,b'I had the honor of meeting #XuXin. An amazing meeting with the Olympic table tennis champion!\n\xf0\x9f\x8f\x93\xe2\x9a\xbd https://t.co/jjdrQETJvf',en,
