twitter_id,date,tweet,lang,data
1679520594600280065,2023-07-13T15:58:08.000Z,b'RT @shobasketball: We\xe2\x80\x99re LIVE in 10 minutes! @WynnLasVegas @bluewirepods \n\nhttps://t.co/O1832AtKjY https://t.co/AD5LaiC7YR',en,
1679518758652760066,2023-07-13T15:50:50.000Z,b'https://t.co/L2QizJDuHC going live 9am pacific',en,
1679396369528918020,2023-07-13T07:44:30.000Z,b'RT @DaCoreyC: Stop disrespecting @paulpierce34!!!',en,
1679220150925692928,2023-07-12T20:04:17.000Z,b'RT @TheKintsugiKidx: Let us with one of the most iconic selfies though!\xf0\x9f\x98\x85\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x8d\xf0\x9f\xa5\xb0\xf0\x9f\x98\x8c\xe2\x98\x98\xef\xb8\x8f@Edelman11 @paulpierce34 https://t.co/4g3Agjwr5Y',en,
1678826506007748608,2023-07-11T18:00:04.000Z,b'https://t.co/e8yVV9e28A',zxx,
1678779801040228352,2023-07-11T14:54:29.000Z,b'Make sure y\xe2\x80\x99all check me out on the latest  #StarsOnMars',en,
1678311542134292480,2023-07-10T07:53:47.000Z,b'RT @celtics: Truuuuuuuuuth \xe2\x98\x98\xef\xb8\x8f https://t.co/yGHjw4c6Xv',en,
1676310303536218112,2023-07-04T19:21:35.000Z,b'RT @shobasketball: Jimmy Butler\xe2\x80\x99s mindset towards the Hall of Fame was\xe2\x80\xa6 different.\n\n@KevinGarnett5KG &amp; @paulpierce34 discuss Jimmy\xe2\x80\x99s viewpo\xe2\x80\xa6',en,
1673376594289922051,2023-06-26T17:04:04.000Z,b'RT @shobasketball: It\xe2\x80\x99s a copycat league. \xf0\x9f\x92\xaf\n\n@KevinGarnett5KG and @paulpierce34 predict that you will see teams imitating the @Nuggets styl\xe2\x80\xa6',en,
1671959690933305345,2023-06-22T19:13:48.000Z,b'RT @shobasketball: Watch the final episode of the season of Ticket and The Truth on YouTube \xe2\x96\xb6\xef\xb8\x8f https://t.co/UteKxHrsi8',en,
1670450425215217665,2023-06-18T15:16:31.000Z,b'RT @KevinGarnett5KG: Full ep: https://t.co/JNmEOUnAAg',en,
1670318053568184322,2023-06-18T06:30:31.000Z,b'RT @BiggLynch: \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 KG is fucking hilarious bro  https://t.co/RI5IPyVYT3',en,
1670228325175013377,2023-06-18T00:33:58.000Z,"b'RT @shobasketball: Speaking of refs\xe2\x80\xa6\n\nIf it were up to @KevinGarnett5KG and @paulpierce34, there would be some changes to the fouling and f\xe2\x80\xa6'",en,
1670228254991724545,2023-06-18T00:33:41.000Z,"b'RT @KevinGarnett5KG: \xe2\x80\x9cYou got Luka, you got Ja, you got Steph Curry, Kyrie. I think Jamal Murray is the best point guard moving forward in\xe2\x80\xa6'",en,
1670115218163372032,2023-06-17T17:04:31.000Z,b'RT @shobasketball: NBA refs used to talk CRAZY. \xf0\x9f\xa4\xa3\xf0\x9f\x98\xb3\n\nNew episode of Ticket and The Truth is available now on the @shobasketball YouTube. htt\xe2\x80\xa6',en,
1668319878871416832,2023-06-12T18:10:29.000Z,b'RT @shobasketball: The Truth predicted Jamal Murray\xe2\x80\x99s breakout performance. \xf0\x9f\x91\x80\n\n@KevinGarnett5KG and @paulpierce34 discussed in April what D\xe2\x80\xa6',en,
1667369619966025728,2023-06-10T03:14:30.000Z,b'Jamal Murray is the best point gaurd in the league \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3 https://t.co/BTYIA3xgBR',en,
1666292769885921280,2023-06-07T03:55:29.000Z,b'RT @shobasketball: Watch NBA Finals Game 3 with @KevinGarnett5KG and @paulpierce34 LIVE from Vegas!\n\nTune in on the @shobasketball YouTube\xe2\x80\xa6',en,
1664398376694341632,2023-06-01T22:27:50.000Z,b'RT @shobasketball: The Celtics were missing that extra punch that they needed to overcome Miami\xe2\x80\x99s 3-0 lead.\n\nNEW episode of Ticket and The\xe2\x80\xa6',en,
1663340159876710402,2023-05-30T00:22:52.000Z,b'RT @RipKoreem_: https://t.co/0vjANMQkqV',zxx,
1662694205909598209,2023-05-28T05:36:04.000Z,b'RT @CTabatabaie: Let\xe2\x80\x99s see how @paulpierce34 is handling this Celtics win https://t.co/cK6sovFpKL',en,
1662659821017890816,2023-05-28T03:19:26.000Z,b'#energyhasshifted',qht,
1662658815471362054,2023-05-28T03:15:26.000Z,b'Ahhhhhhhhhhhhhhhhhhhuhhhhhhhh\nLet\xe2\x80\x99s goooooooooooooooooooo',en,
1662203752743354369,2023-05-26T21:07:11.000Z,b'RT @celtics: .@paulpierce34 was hyped on the mic last night \xf0\x9f\x8e\x99\xef\xb8\x8f https://t.co/w8YlyyZTdp',en,
1661627365884329989,2023-05-25T06:56:50.000Z,b'I see u in the room but u not in the picture \xf0\x9f\x98\xb3',en,
1661520721292697600,2023-05-24T23:53:04.000Z,"b'Man, The Truth looks good in 4K \xf0\x9f\x98\x8e\n\nServed up some humble pie on set w/ @jaytatum0 &amp; legend Mike Breen for the new @Hisense_usa ULED TV spot.\n\nSigned some jerseys after the shoot, so leave a comment using #LessTalkMoreBang &amp; Hisense might end up sending you one of my jerseys \xf0\x9f\x91\x80 https://t.co/ojp4D8gnaz'",en,
1659816234454753288,2023-05-20T07:00:02.000Z,b'And n begging u to stfu https://t.co/74j4nYhaZ1',en,
1659814464978575360,2023-05-20T06:53:00.000Z,b'Himmy Butler respect Celtics in 7 https://t.co/mYTHnhxHId',en,
1658953664202170368,2023-05-17T21:52:30.000Z,"b""Let's pour some @bushmillsusa on ice and talk truth. Who's going off tonight for the C's in Game 1? Drop your predictions here #Bushmills https://t.co/yhKDlmWp86""",en,
1658800344951058432,2023-05-17T11:43:15.000Z,b'Celtics in 5',en,
1657885897986310144,2023-05-14T23:09:34.000Z,b'Duh https://t.co/lHqDvcPFQX',qst,
1657874626570231808,2023-05-14T22:24:47.000Z,b'Damn @jaytatum0 woke up today and chose violence \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbewow',en,
1657832233372389377,2023-05-14T19:36:20.000Z,"b'These young boys really don\xe2\x80\x99t be knowing how to move but that\xe2\x80\x99s on the OGs to teach them , but they gotta let us in sometimes it\xe2\x80\x99s just a disconnect between 2 different generations.'",en,
1656609631274434561,2023-05-11T10:38:09.000Z,b'@DatHomieDaTech @jalenbrunson1 Stfu dummy',en,
1656061110674677762,2023-05-09T22:18:31.000Z,b'I called game https://t.co/ZchMbtm4Im',en,
1655954010980093952,2023-05-09T15:12:57.000Z,b'RT @Hoop_District: The Truth Paul Pierce called game 8 years ago @paulpierce34 \xf0\x9f\x98\xa4 https://t.co/ymDe5Bs5CD',en,
1653655831282581504,2023-05-03T07:00:48.000Z,b'Today  hit different \xf0\x9f\xa5\xb2  I\xe2\x80\x99m strong tho  I see where I  get it from RIP Madukes',en,
1651394421374750722,2023-04-27T01:14:46.000Z,b'@RamiroR28033216 I am top75 goofy',en,
1651391786546515968,2023-04-27T01:04:17.000Z,b'Talk to me if u wanna go at Lebron if u need advice I\xe2\x80\x99m his biggest rival bro',en,
1651391419104497667,2023-04-27T01:02:50.000Z,b'U can\xe2\x80\x99t be garbage talking shit about Lebron just saying tho u gotta kill then talk shit',en,
1649470161513222144,2023-04-21T17:48:26.000Z,b'Tap in now https://t.co/sbtQhWzcz2',en,
1649101218575450114,2023-04-20T17:22:23.000Z,b'RT @shobasketball: A little hoop talk during fight week. Tap in tomorrow on our YouTube and Twitter!  #DavisGarcia https://t.co/1YaemBFfA9',en,
1645487482736357376,2023-04-10T18:02:42.000Z,b'RT @shobasketball: https://t.co/ZcwCPeXMOD',zxx,
