twitter_id,date,tweet,lang,data
1680243863619874817,2023-07-15T15:52:09.000Z,"b""RT @omegawatches: Seamaster Pop-Up Mykonos. Our celebrity guests enjoyed a visit to OMEGA's Aegean island boutique to bond, relax and disco\xe2\x80\xa6""",en,
1679880181354491904,2023-07-14T15:47:00.000Z,b'RT @ParamountPlusUK: A perfect day to us.  #StarTrekStrangeNewWorlds https://t.co/ix9V4rHBe4',en,
1678482891393892352,2023-07-10T19:14:40.000Z,"b'RT @esquire: Omega enthusiast @paulwesley shows off his Speedmaster-heavy collection in a very special edition of ""Dialed In."" https://t.co\xe2\x80\xa6'",en,
1676642909272313856,2023-07-05T17:23:14.000Z,b'RT @StarTrekOnPPlus: .@paulwesley discusses the creative freedom of playing a version of James T. Kirk from an alternate timeline. #StarTre\xe2\x80\xa6',en,
1674396799690240000,2023-06-29T12:38:00.000Z,b'Thank you @esquire loved our chat https://t.co/40gNXTIb5K',en,
1674396668605652992,2023-06-29T12:37:29.000Z,"b'RT @esquire: As the most famous space hero of all time in #StarTrek #StrangeNewWorlds, @paulwesley has a need for speed and whiskey.\n\n@Ryan\xe2\x80\xa6'",en,
1674392924648361993,2023-06-29T12:22:36.000Z,b'https://t.co/iocMs9ppSK',zxx,
1673828268967960578,2023-06-27T22:58:52.000Z,"b'RT @MensHealthMag: ""You almost have to be a lunatic to take on the role of James T. Kirk."" https://t.co/KulzdxXAWe'",en,
1673598510141153281,2023-06-27T07:45:53.000Z,"b""RT @StarTrekOnPPlus: Stranded in time, the future of humanity rests with La'An and Jim Kirk on the next #StarTrek #StrangeNewWorlds! https:\xe2\x80\xa6""",en,
1669058456530350081,2023-06-14T19:05:20.000Z,"b'RT @TVInsider: As we await the landing of @StarTrek, #StarTrekStrangeNewWorlds, on June 29th, we chatted with @paulwesley about his excitem\xe2\x80\xa6'",en,
1669030847926906880,2023-06-14T17:15:37.000Z,"b""RT @TheTrekCentral: \xf0\x9f\x9a\xa8NEW CAST PORTRAITS\n\n@paulwesley's 'James T. Kirk' will be a recurring character in season 2, and is included in the ne\xe2\x80\xa6""",en,
1668648613130674178,2023-06-13T15:56:46.000Z,"b'Thank you @vingopal @SenMTeresaRuiz @AndrewZwicker for sponsoring S.1298 to protect mother pigs and baby calves in my home stage #NewJersey.\n@SenPresScutari , I Implore you to post the bill for a senate vote on 06/20 #BanTheCages - @ALDF https://t.co/vYymCLdINX'",en,
1662539961889959937,2023-05-27T19:23:10.000Z,b'@LouDPhillips @Comicpalooza Throwback !',en,
1662539838569029639,2023-05-27T19:22:40.000Z,b'RT @LouDPhillips: My favorite part about Cons (other than meeting fans) is running into old friends! Wolf Lake Reunion! The Fabulous and Ha\xe2\x80\xa6',en,
1661898338558689280,2023-05-26T00:53:35.000Z,b'RT @ChrisRSwonger: Check out the fabulous @brothersbond American Blended Rye Whiskey! Delicious and special bourbon from a #DISCUSMember. @\xe2\x80\xa6',en,
1661041290614833152,2023-05-23T16:07:58.000Z,"b'RT @spiritsbusiness: Bourbon brand @brothersbond, founded by The Vampire Diaries actors @iansomerhalder and @paulwesley, has launched its f\xe2\x80\xa6'",en,
1660831665852170243,2023-05-23T02:15:00.000Z,"b'RT @RobbReport: From vampire brothers to whiskey connoisseurs, the stars of The Vampire Diaries have expanded their spirits portfolio with\xe2\x80\xa6'",en,
1660680467396558849,2023-05-22T16:14:12.000Z,"b'RT @WildAid: ""We shouldn\'t be talking about climate change without talking about biodiversity loss or the critical role that wildlife and o\xe2\x80\xa6'",en,
1656406792606187522,2023-05-10T21:12:08.000Z,b'@ben_mckenzie I think that\xe2\x80\x99s a mistake tbh.',en,
1656377212352749568,2023-05-10T19:14:36.000Z,b'@ben_mckenzie Is she team Donnie tho?',en,
1654139567895633920,2023-05-04T15:03:00.000Z,b'RT @TheTrekCentral: \xf0\x9f\x96\x96 May The 4th Be With You!\n\nWe did this the right way? Yeah? \n#StarTrek #StarWarsDay #May4th https://t.co/qcTiOMbcl1',en,
1654000877143818241,2023-05-04T05:51:53.000Z,"b'RT @Fontainebleau: Cocktails and camaraderie with @paulwesley! #MeetUsatBleauBar on Thursday, May 4 from 5:00 - 6:30 pm for an unforgettabl\xe2\x80\xa6'",en,
1652677180659482625,2023-04-30T14:11:59.000Z,b'@bonappetit Totally agree. So disappointing on so many levels.',en,
1652677172396711938,2023-04-30T14:11:57.000Z,"b""RT @bonappetit: Big Milk's war to win Gen Z just got more cringe. https://t.co/Uq1bRR3W3N https://t.co/dO4rBXd0ZB""",en,
1648731632671522850,2023-04-19T16:53:47.000Z,"b""RT @TheTrekCentral: \xf0\x9f\x9a\xa8BREAKING - KIRK WILL RECUR IN SNW S2\n\n@paulwesley's James T. Kirk is set to recur as a guest star in season 2 of #Stra\xe2\x80\xa6""",en,
1648728109418414080,2023-04-19T16:39:47.000Z,b'RT @StarTrekOnPPlus: Greetings from such great heights \xf0\x9f\x96\x96 #StarTrek #StrangeNewWorlds Season 2 premieres June 15 on @ParamountPlus! https://\xe2\x80\xa6',en,
1648727711823589377,2023-04-19T16:38:13.000Z,"b""RT @TheWrap: 'Star Trek: Strange New Worlds' has a new teaser highlighting the return of Paul Wesley's James Kirk https://t.co/YkPDw5c92n""",en,
1638592065226383384,2023-03-22T17:22:46.000Z,b'RT @TennisChannel: The Salvatore Bros ready to sink their teeth into some tennis action at the #MiamiOpen! \xf0\x9f\xa7\x9b\n\n@brothersbond | @JWMM_Miami h\xe2\x80\xa6',en,
1635451241026428928,2023-03-14T01:22:15.000Z,"b'Please watch and Retweet- My friend @ekadarville and his 9 year old son, Mana, are in the fight of their lives against a rare form of highly metastatic brain cancer. Time is of the essence and they desperately need our help. Please help support Mana. \nhttps://t.co/882cICZeTH'",en,
1619859680121212929,2023-01-30T00:46:57.000Z,b'I am deeply saddened to hear about the passing of Annie Wersching. She was a wonderful and talented person I was lucky enough to know. Please consider contributing to the Gofundme page set up in her name.\n\nhttps://t.co/wLtySmm7kH',en,
1615490108970668033,2023-01-17T23:23:50.000Z,"b'RT @janusfilms: ""Remarkable"" \xe2\x80\x93@NYTimes\nSix Sardinian Donkeys Star in EO from Polish director Jerzy Skolimowski. FYC: Best International Fea\xe2\x80\xa6'",en,
1606013241758519324,2022-12-22T19:46:09.000Z,b'@nobleman Magazine Issue No. 20 Available now at https://t.co/puDcwcxiSO https://t.co/ekOhF7kFEZ',en,
1597871485741563904,2022-11-30T08:33:43.000Z,b'RT @paulwesley: Honored! Thank you @THR @brothersbond \n\nhttps://t.co/kfo8fpf8hV https://t.co/KaVc0nZLW7',en,
1597779062516199424,2022-11-30T02:26:28.000Z,b'My full Mindset Collection is out now for all of you to enjoy.\nDownload the Mindset app to start listening or go to https://t.co/mYGgplHWgt\n\n@mindset_dive #PaulWesley_Mindset #MindsetPartner https://t.co/1yW5WkShnz',en,
1596011528276172800,2022-11-25T05:22:55.000Z,b'Honored! Thank you @THR @brothersbond \n\nhttps://t.co/kfo8fpf8hV https://t.co/KaVc0nZLW7',en,
1596007561576452097,2022-11-25T05:07:09.000Z,"b'In my audio series, I discuss what life was growing up as a first-generation American, valuable advice I have received, and other insights. My Mindset Collection is set to launch on the Mindset app on November 29. @mindset_dive #MindsetPartner \nhttps://t.co/nKnslbJpVY https://t.co/k2JWCgZdIO'",en,
1568326020448808962,2022-09-09T19:50:36.000Z,b'RT @Plant_Treaty: Vampire Diaries actor @PaulWesley has endorsed the call for a global Plant Based Treaty to avoid planetary collapse and h\xe2\x80\xa6',en,
