twitter_id,date,tweet,lang,data
1661328983328440325,2023-05-24T11:11:10.000Z,b'PSY - \xe2\x80\x98That That (prod. &amp; feat. SUGA of BTS)\xe2\x80\x99 \xed\x94\xbc\xeb\x84\xa4\xed\x94\xbc\xec\x85\x9c\xec\xa7\x81\xec\xba\xa0 at \xec\x9d\xb8\xed\x95\x98\xeb\x8c\x80 (Inha Uni) 2... https://t.co/nTlF71QPnL - @YouTube',ko,
1656617024624422912,2023-05-11T11:07:31.000Z,b'\xe2\x80\x98HIGHLIGHT MEDLEY\xe2\x80\x99 \xed\x94\xbc\xeb\x84\xa4\xed\x94\xbc\xec\x85\x9c\xec\xa7\x81\xec\xba\xa0 at \xea\xb0\x80\xec\xb2\x9c\xeb\x8c\x80 (Gachon Uni)\n\n\xf0\x9f\x94\x97https://t.co/1zWGOquEm7\n\n#PSY #\xec\x8b\xb8\xec\x9d\xb4 #\xed\x94\xbc\xeb\x84\xa4\xed\x94\xbc\xec\x85\x9c\xec\xa7\x81\xec\xba\xa0 #PNfficialLiveCam #LivePerformance #PsyHighlightMedley #PNATION #\xed\x94\xbc\xeb\x84\xa4\xec\x9d\xb4\xec\x85\x98 https://t.co/NmTamx4nEf',ko,
1618057601044058112,2023-01-25T01:26:08.000Z,"b""[TNX] Comeback Trailer | 'I Need U' https://t.co/QC09igMdAH - @YouTube""",en,
1613144219669135360,2023-01-11T12:02:07.000Z,b'PSY - \xe2\x80\x98That That\xe2\x80\x99 + \xe2\x80\x98\xea\xb0\x95\xeb\x82\xa8\xec\x8a\xa4\xed\x83\x80\xec\x9d\xbc\xe2\x80\x98 Live Performance at \xea\xb3\xa8\xeb\x93\xa0\xeb\x94\x94\xec\x8a\xa4\xed\x81\xac\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88 with \xed\x8b\xb1\xed\x86\xa1 | JTBC ... https://t.co/L2hXVytbZV - @YouTube',ko,
1611913179281641472,2023-01-08T02:30:24.000Z,"b""[\xec\xa0\x9c37\xed\x9a\x8c \xea\xb3\xa8\xeb\x93\xa0\xeb\x94\x94\xec\x8a\xa4\xed\x81\xac] PSY - 'That That + \xea\xb0\x95\xeb\x82\xa8\xec\x8a\xa4\xed\x83\x80\xec\x9d\xbc' \xe2\x99\xaa\xef\xbd\x9cJTBC 230107 \xeb\xb0\xa9\xec\x86\xa1 (\xec\xb6\x9c\xec\xb2\x98 : \xec\xa0\x9c37\xed\x9a\x8c \xea\xb3\xa8\xeb\x93\xa0\xeb\x94\x94\xec\x8a\xa4\xed\x81\xac\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88 with \xed\x8b\xb1\xed\x86\xa1 | \xeb\x84\xa4\xec\x9d\xb4\xeb\xb2\x84TV) https://t.co/L1vMTVSyNk""",ko,
1579061565747183617,2022-10-09T10:49:49.000Z,b'Crush - Rush Hour(feat. j-hope of BTS) | SBS 221009 \xeb\xb0\xa9\xec\x86\xa1\n\xec\xb6\x9c\xec\xb2\x98 : \xeb\x84\xa4\xec\x9d\xb4\xeb\xb2\x84TV https://t.co/Wgre6IRnzT',ko,
1579001838187053056,2022-10-09T06:52:29.000Z,b'RT @CYPHERS_DDAENG3: The friendship of Min Yoongi And Park Jaesang \xf0\x9f\xa5\xb9\xf0\x9f\xa4\xa0 @BTS_twt @psy_oppa https://t.co/fptaKnkNmT',en,
1579001169455632385,2022-10-09T06:49:49.000Z,"b""RT @OfficialPnation: [P NATION]\n2022 \xeb\x8d\x94\xed\x8c\xa9\xed\x8a\xb8 \xeb\xae\xa4\xec\xa7\x81 \xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n'\xec\x98\xac\xed\x95\xb4\xec\x9d\x98 \xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8' &amp; '\xed\x95\xab\xec\x8a\xa4\xed\x85\x8c\xec\x9d\xb4\xec\xa7\x80 \xec\x98\xa4\xeb\xb8\x8c \xeb\x94\x94 \xec\x9d\xb4\xec\x96\xb4' #PSY\n'\xed\x95\xab\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8' #TNX\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xb6\x95\xed\x95\x98\xed\x95\xa9\xeb\x8b\x88\xeb\x8b\xa4!! \xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\n\n#PNATION #\xed\x94\xbc\xeb\x84\xa4\xec\x9d\xb4\xec\x85\x98\n#PSY #\xec\x8b\xb8\xec\x9d\xb4\n#TNX\xe2\x80\xa6""",ko,
1573609523960459264,2022-09-24T09:45:21.000Z,b'[\xec\xb5\x9c\xec\xb4\x88\xea\xb3\xb5\xea\xb0\x9c] Crush(\xed\x81\xac\xeb\x9f\xac\xec\x89\xac) - Rush Hour(\xeb\x9f\xac\xec\x8b\x9c \xec\x95\x84\xec\x9b\x8c) l @JTBC K-909 220924 \xeb\xb0\xa9\xec\x86\xa1\n\xec\xb6\x9c\xec\xb2\x98 : \xeb\x84\xa4\xec\x9d\xb4\xeb\xb2\x84TV https://t.co/rO3hUMrxvL',ko,
1572874477259870209,2022-09-22T09:04:32.000Z,"b""Crush (\xed\x81\xac\xeb\x9f\xac\xec\x89\xac) - 'Rush Hour (Feat. j-hope of BTS)' MV https://t.co/4XyPm3yKkE - @YouTube""",en,
1564960332077867008,2022-08-31T12:56:33.000Z,"b""#\xeb\xaf\xbc\xec\x9c\xa4\xea\xb8\xb0\xec\x99\x80\xeb\xb0\x95\xec\x9e\xac\xec\x83\x81\nPSY - 'That That (prod. &amp; feat. SUGA of BTS)' Live Performance at PSY \xed\x9d\xa0\xeb\xbb\x91... https://t.co/r0xV8WwlLT - @YouTube""",en,
1549650531140145157,2022-07-20T07:00:52.000Z,"b'[\xec\x84\xa0\xea\xb3\xb5\xea\xb0\x9c] \xec\x8b\xb8\xec\x9d\xb4\xec\x9d\x98 \xeb\xa7\x88\xec\x9d\x8c\xec\x9d\x84 \xed\x95\x9c \xeb\xb0\xa9\xec\x97\x90 \xed\x9b\x94\xec\xb9\x9c\xf0\x9f\x92\x98 \xed\x98\x84\xec\x95\x84\xec\x9d\x98 \xeb\xa7\x88\xec\xb9\xb4\xeb\xa0\x88\xeb\x82\x98 \xec\xb6\xa4?!, MBC 220713 \xeb\xb0\xa9\xec\x86\xa1\n\xec\xb6\x9c\xec\xb2\x98 : \xeb\x84\xa4\xec\x9d\xb4\xeb\xb2\x84TV https://t.co/dxVghBfqMj'",ko,
1548137899236814848,2022-07-16T02:50:12.000Z,"b""YouTube celebrates 10 yrs of Psy's 'Gangnam Style' https://t.co/Ju9gdKZkx3""",en,
1548137807255781378,2022-07-16T02:49:50.000Z,b'\xe2\x80\x98Gangnam Style\xe2\x80\x99 Turns 10: Billion-Views Groundbreaker Still One of YouTube\xe2\x80\x99s Top 5 Most-Viewed Music Videos of All Time https://t.co/wcsuKD82Gl - @variety',en,
1548137645745717249,2022-07-16T02:49:12.000Z,"b""Remember 'Gangnam Style'? Ten years on, the runaway hit still holds a YouTube record https://t.co/KAXNcRfz3c""",en,
1548137483656765440,2022-07-16T02:48:33.000Z,b'\xe2\x80\x98Gangnam Style\xe2\x80\x99 music video turns 10 https://t.co/RFQdqZBPiD - @nbcnews',en,
1548104735084777473,2022-07-16T00:38:25.000Z,"b'RT @CNN: It\'s been a decade since ""Gangnam Style"" became a cultural phenomenon. Korean artist Psy reflects on his global hit and how it pav\xe2\x80\xa6'",en,
1548104385665720320,2022-07-16T00:37:02.000Z,b'THX \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/E7Rz9AbomG',und,
1547796782712729601,2022-07-15T04:14:44.000Z,b'https://t.co/m3Xwk3g42B',zxx,
