twitter_id,date,tweet,lang,data
1678063276058353670,2023-07-09T15:27:16.000Z,b'Everybody loves British summertime \xf0\x9f\x8d\x93\xf0\x9f\x8c\xb1\xf0\x9f\xa5\x82 https://t.co/IXwuUkJfcd',en,
1677687018061545479,2023-07-08T14:32:09.000Z,b'When the boss calls you answer \xf0\x9f\x93\x9e @springsteen https://t.co/eVbncsS17s https://t.co/FLqlaHL1UR',en,
1676545196652220416,2023-07-05T10:54:58.000Z,b'I remembered it this time \xf0\x9f\x98\x85\xf0\x9f\x98\x9c@Wimbledon @Trevornoah https://t.co/xgp1wWlOBp https://t.co/20RNbzsAd3',en,
1676003125365276672,2023-07-03T23:00:58.000Z,b'Iconic to see the \xf0\x9f\x9a\x80man live \xf0\x9f\x8e\xb9@eltonofficial https://t.co/L8aVud0VfG',en,
1675802341923237888,2023-07-03T09:43:07.000Z,b'Adventure of a Lifetime\xf0\x9f\x92\xab\xf0\x9f\x8e\x88 https://t.co/UTzZIfrWi2 https://t.co/zy78pCG6u3',en,
1672877564849782784,2023-06-25T08:01:06.000Z,b'A nice highlight of the role of Ball Boys and Ball Girls @Wimbledon. A massive honor! https://t.co/maHBklXlED',en,
1672578870443229185,2023-06-24T12:14:12.000Z,b'Count me in \xf0\x9f\x98\x8e https://t.co/XKrpuRDw0M',en,
1671584921813491714,2023-06-21T18:24:36.000Z,b'30 years of @ATPHalle \xf0\x9f\x8e\x89 https://t.co/7o1Ofw6JWs',en,
1671584628359012366,2023-06-21T18:23:26.000Z,b'\xf0\x9f\x93\x8dHALLE https://t.co/bcHsIZ4fLv',en,
1671584410716577814,2023-06-21T18:22:34.000Z,b'Beautiful day out \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/PpLkX5cZ4z',en,
1666200111863455754,2023-06-06T21:47:17.000Z,"b'RT @waze: Tennis legend, @RogerFederer, is here to serve up directions to help you get to your next destination. \xf0\x9f\x8e\xbe\n\nUpdate your app to open\xe2\x80\xa6'",en,
1663949421736755211,2023-05-31T16:43:51.000Z,b'Are you down for a road trip? \xf0\x9f\x97\xba\xef\xb8\x8f\xf0\x9f\xa4\xa8 https://t.co/1hKfCLcSXQ',en,
1661105728285814784,2023-05-23T20:24:02.000Z,b'thanks for all the questions \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd signing off now! hope to see you all back here soon! \xf0\x9f\x91\x8b\xf0\x9f\xab\x80\xf0\x9f\xa6\x8e\xf0\x9f\xa6\xa7\xf0\x9f\xa7\x87\xf0\x9f\xa4\xa3',en,
1661104515406241792,2023-05-23T20:19:12.000Z,"b""@deuramafan i'll take suggestions for a new profile pic and bio""",en,
1661103476494016513,2023-05-23T20:15:05.000Z,"b'@htx_steve_ yes, it was a really random question.'",en,
1661102991187890176,2023-05-23T20:13:09.000Z,b'@missShruthi one of my better moments',en,
1661102906072809473,2023-05-23T20:12:49.000Z,"b'@yomerasaf82 you had 24 years to play me! missed the boat, sorry! \xf0\x9f\xab\xa3'",en,
1661102482812968985,2023-05-23T20:11:08.000Z,"b""@BonitaPietilaMC so, i've been meaning to ask. are we still doing emojis in 2023?""",en,
1661101322358104075,2023-05-23T20:06:31.000Z,b'@insidetennis99 done.',en,
1661101133794820096,2023-05-23T20:05:46.000Z,b'@insidetennis99 good point. i should probably change that. any suggestions?',en,
1661100521950785538,2023-05-23T20:03:20.000Z,b'@ErickMelo06 woooooow \xf0\x9f\x98\xb3',und,
1661099828569317399,2023-05-23T20:00:35.000Z,b'@carleene_08 thanks \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd',en,
1661099642820370437,2023-05-23T19:59:51.000Z,"b""@FlamingoRose73 i'm with you. but i'm happy for him that he's giving himself the necessary time so that he can come back healthy and make a few more magical runs.""",en,
1661098364581171203,2023-05-23T19:54:46.000Z,b'@JonnyStoccoRF every night?! we need to expand his playlist',en,
1661098218472480773,2023-05-23T19:54:11.000Z,"b'@rushabh_chheda8 in tennis, there is so much you always want to improve. there are so many incredible details. you have to be selective and methodical in how you go about it. a great coach helps you prioritize what to work on in what order, and what the end goal should be over the next 1/3/5\xe2\x80\xa6 https://t.co/MYQTnhUWyS'",en,
1661097055555600384,2023-05-23T19:49:34.000Z,"b""@b_kalliste being there in person with my wife and kids visiting a project that we support with the @rogerfedererfdn  was a memory we'll cherish forever.""",en,
1661096438275661824,2023-05-23T19:47:07.000Z,"b""@rogerbestbystat nope, that hasn't happened yet. i'll let you know when it does :)""",en,
1661096121697968130,2023-05-23T19:45:51.000Z,"b""@SezJuan_ in a crazy way, i miss everything about it. for years of my life i didn't even remember what day of the week it was (other than Monday was the start of a tournament and Sunday was the end).""",en,
1661095602367725569,2023-05-23T19:43:47.000Z,b'@RagazzoChas hey charlie. hmmmm... maybe borg?',en,
1661095277996957697,2023-05-23T19:42:30.000Z,b'@alexiscaroline thanks Alexandra!',en,
1661093820765708303,2023-05-23T19:36:43.000Z,b'@Caro_Karatsev the family might veto it',en,
1661093496466358303,2023-05-23T19:35:25.000Z,b'@BarclayCard18 @andy_murray was born to tell dad jokes and then not smile after',en,
1661093121684324361,2023-05-23T19:33:56.000Z,"b""@archangelney i sleep less actually. before i *had* to get my sleep. now there's less pressure to, so i end up sleeping less. weird, right?""",en,
1661092020708884489,2023-05-23T19:29:33.000Z,b'@Wimbledon all of them',en,
