twitter_id,date,tweet,lang,data
1672280313827930125,2023-06-23T16:27:50.000Z,b'RT @UNESCO_AlFozan: \xd8\xae\xd8\xaa\xd8\xa7\xd9\x85 \xd9\x84\xd9\x8a\xd9\x84\xd8\xa9 \xd8\xb9\xd9\x86\xd9\x88\xd8\xa7\xd9\x86\xd9\x87\xd8\xa7\n\xd9\x81\xd8\xae\xd8\xb1\xd9\x8c \xd9\x88\xd8\xa7\xd8\xad\xd8\xaa\xd9\x81\xd8\xa7\xd8\xa1 \xd8\xa8\xd8\xa5\xd9\x86\xd8\xac\xd8\xa7\xd8\xb2\xd8\xa7\xd8\xaa \xd8\xaa\xd8\xb3\xd8\xaa\xd8\xad\xd9\x82 \xd8\xa7\xd9\x84\xd8\xab\xd9\x86\xd8\xa7\xd8\xa1\n\n\xd9\x81\xd9\x8a \xd8\xad\xd9\x81\xd9\x84 \xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd8\xb1\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x88\xd9\x84\xd9\x89 \xd9\x85\xd9\x86 #\xd8\xac\xd8\xa7\xd8\xa6\xd8\xb2\xd8\xa9_\xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x86\xd8\xb3\xd9\x83\xd9\x88_\xd8\xa7\xd9\x84\xd9\x81\xd9\x88\xd8\xb2\xd8\xa7\xd9\x86_\xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd9\x84\xd9\x8a\xd8\xa9\n\nThe clos\xe2\x80\xa6',und,
1649027282353152003,2023-04-20T12:28:36.000Z,b'@izqudsi2 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x8a\xd8\xb1\xd8\xad\xd9\x85\xd9\x87. \xd8\xb5\xd9\x88\xd8\xaa\xd9\x87 \xd9\x88\xd8\xaa\xd8\xb9\xd9\x84\xd9\x8a\xd9\x82\xd9\x87 \xd8\xb0\xd9\x83\xd8\xb1\xd9\x8a\xd8\xa7\xd8\xaa \xd9\x84\xd8\xa7 \xd8\xaa\xd9\x86\xd8\xb3\xd9\x89',ar,
1648487544496230401,2023-04-19T00:43:52.000Z,b'@raed27833960 \xd8\xa7\xd9\x8a\xd9\x88\xd8\xa9 \xd9\x87\xd9\x88. \xd8\xaf\xd8\xb1\xd8\xb3\xd9\x86\xd9\x8a \xd9\x81\xd9\x8a \xd9\xa3 \xd8\xa7\xd8\xa8\xd8\xaa\xd8\xaf\xd8\xa7\xd8\xa6\xd9\x8a \xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a \xd9\x88\xd8\xaf\xd9\x8a\xd9\x86. \xd9\x88\xd9\x81\xd9\x8a \xd9\xa6 \xd8\xa7\xd8\xa8\xd8\xaa\xd8\xaf\xd8\xa7\xd8\xa6\xd9\x8a \xd9\x85\xd8\xa7\xd8\xaf\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xae\xd8\xb7. \xd9\x88\xd8\xa8\xd8\xb9\xd8\xaf\xd9\x87\xd8\xa7 \xd8\xa7\xd8\xb8\xd9\x86 \xd8\xaa\xd8\xb1\xd9\x83 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9.',ar,
1648093937763078146,2023-04-17T22:39:49.000Z,b'@M_E_S8 \xd8\xae\xd8\xb7 \xd8\xa7\xd9\x84\xd9\x88\xd8\xa7\xd9\x84\xd8\xaf \xd9\x85\xd9\x85\xd9\x8a\xd8\xb2 \xd9\x81\xd8\xb9\xd9\x84\xd8\xa7. \xd9\x83\xd9\x86\xd8\xaa \xd8\xaf\xd8\xa7\xd8\xa6\xd9\x85\xd8\xa7 \xd8\xa3\xd9\x85\xd9\x8a\xd8\xb2\xd9\x87 \xd8\xb9\xd9\x86 \xd8\xa8\xd8\xa7\xd9\x82\xd9\x8a \xd8\xa7\xd9\x84\xd8\xae\xd8\xb7\xd9\x88\xd8\xb7. https://t.co/v2mdOQUl6h',ar,
1648083217310777345,2023-04-17T21:57:13.000Z,b'@heba00256456 \xd9\x81\xd8\xb9\xd9\x84\xd8\xa7. \xd8\xb5\xd9\x81\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xaa\xd8\xad\xd9\x85\xd9\x84 \xd9\x88\xd8\xa7\xd9\x84\xd8\xb5\xd8\xa8\xd8\xb1 \xd9\x88\xd8\xa7\xd9\x84\xd9\x81\xd9\x87\xd9\x85 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa7\xd8\xad\xd8\xaa\xd9\x88\xd8\xa7\xd8\xa1 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x87\xd9\x85 \xd8\xb5\xd9\x81\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd9\x85\xd8\xb9\xd9\x84\xd9\x85.',ar,
1648082961500102656,2023-04-17T21:56:12.000Z,b'@dr_kemo12 \xd8\xb5\xd8\xad\xd9\x8a\xd8\xad. \xd8\xa3\xd8\xb8\xd9\x87\xd8\xb1\xd8\xaa \xd8\xa7\xd9\x84\xd8\xae\xd8\xb7\xd8\xa7\xd8\xa8 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd9\x85\xd9\x82\xd8\xb7\xd8\xb9',ar,
1648035265871765505,2023-04-17T18:46:41.000Z,b'\xd9\x81\xd9\x8a \xd9\x87\xd8\xb0\xd8\xa7 \xd8\xa7\xd9\x84\xd9\x85\xd9\x82\xd8\xb7\xd8\xb9 \xd8\xa7\xd9\x84\xd9\x82\xd8\xb5\xd9\x8a\xd8\xb1 \xd9\x81\xd9\x8a #\xd8\xb3\xd9\x8a\xd9\x86 \xd8\xb5\xd8\xaf\xd9\x81\xd8\xa9 \xd8\xb9\xd8\xac\xd9\x8a\xd8\xa8\xd8\xa9 \xd8\xb1\xd8\xac\xd8\xb9\xd8\xaa\xd9\x86\xd9\x8a \xd8\xa8\xd8\xa7\xd9\x84\xd8\xb0\xd8\xa7\xd9\x83\xd8\xb1\xd8\xa9 \xd9\xa4\xd9\xa0 \xd8\xb3\xd9\x86\xd8\xa9 \xd9\x84\xd9\x84\xd9\x88\xd8\xb1\xd8\xa7\xd8\xa1. \xd9\x84\xd8\xa3\xd8\xaa\xd8\xb0\xd9\x83\xd8\xb1 \xd8\xa3\xd8\xb3\xd8\xaa\xd8\xa7\xd8\xb0 \xd8\xa3\xd8\xad\xd9\x85\xd8\xaf \xd8\xac\xd9\x85\xd9\x8a\xd9\x84 \xd8\xa3\xd8\xb3\xd8\xaa\xd8\xa7\xd8\xb0\xd9\x8a \xd9\x81\xd9\x8a \xd9\xa3 \xd8\xa7\xd8\xa8\xd8\xaa\xd8\xaf\xd8\xa7\xd8\xa6\xd9\x8a.\xd8\xa3\xd9\x85\xd8\xb3 \xd8\xa3\xd9\x88\xd9\x84\xd8\xa7\xd8\xaf\xd9\x87 \xd8\xa3\xd8\xb1\xd8\xb3\xd9\x84\xd9\x88\xd8\xa7 \xd9\x84\xd9\x8a \xd8\xae\xd8\xb7\xd8\xa7\xd8\xa8 \xd9\x85\xd9\x86 \xd9\x88\xd8\xa7\xd9\x84\xd8\xaf\xd9\x8a \xd9\x84\xd9\x87 \xd9\x85\xd9\x86 \xd8\xb9\xd8\xa7\xd9\x85 \xd9\xa1\xd9\xa9\xd9\xa8\xd9\xa0 \xd9\x83\xd8\xa7\xd9\x86 \xd9\x85\xd8\xad\xd8\xaa\xd9\x81\xd8\xb8 \xd9\x81\xd9\x8a\xd9\x87 \xd9\x83\xd9\x84 \xd9\x87\xd8\xb0\xd9\x87 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x86\xd9\x8a\xd9\x86 \xf0\x9f\xa5\xb9\xe2\x80\xa6.\xd8\xae\xd9\x84\xd9\x8a\xd9\x86\xd8\xa7 \xd9\x87\xd9\x86\xd8\xa7 \xd9\x86\xd8\xb4\xd9\x83\xd8\xb1 \xd9\x83\xd9\x84 \xd9\x85\xd9\x86 \xd9\x83\xd8\xa7\xd9\x86 \xd9\x84\xd9\x87\xd9\x85 \xd9\x81\xd8\xb6\xd9\x84 \xd8\xb9\xd9\x84\xd9\x8a\xd9\x86\xd8\xa7 \xd9\x88\xd9\x87\xd9\x85 \xd9\x85\xd8\xa7\xd8\xb2\xd8\xa7\xd9\x84\xd9\x88\xd8\xa7 \xd8\xa3\xd8\xad\xd9\x8a\xd8\xa7\xd8\xa1\xe2\x80\xa6.\n\xd9\x84\xd9\x85\xd9\x86 \xd8\xaa\xd8\xb1\xd8\xb3\xd9\x84 #\xd8\xb1\xd8\xb3\xd8\xa7\xd9\x84\xd8\xa9_\xd8\xb4\xd9\x83\xd8\xb1 \xd8\x9f https://t.co/sbSfZ34wdR',ar,
1647098595105988608,2023-04-15T04:44:41.000Z,b'#\xd8\xb3\xd9\x8a\xd9\x86 \xd8\xad\xd9\x84\xd9\x82\xd8\xa9 \xd9\x85\xd8\xb3\xd8\xaa\xd9\x82\xd8\xa8\xd9\x84 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x83\xd9\x84 \xf0\x9f\x91\x87 \n\nhttps://t.co/dJhQFUb0GD',ar,
1646686669188235265,2023-04-14T01:27:50.000Z,b'#\xd8\xb3\xd9\x8a\xd9\x86 \xd8\xad\xd9\x84\xd9\x82\xd8\xa9 \xd9\x82\xd8\xb1\xd9\x82\xd8\xb1 \xf0\x9f\x91\x87 \n\nhttps://t.co/dJhQFUb0GD',ar,
1646395200074403841,2023-04-13T06:09:38.000Z,b'#\xd8\xb3\xd9\x8a\xd9\x86 \xd8\xad\xd9\x84\xd9\x82\xd8\xa9 \xd8\xa3\xd9\x84\xd9\x85\xd8\xa7\xd9\x86\xd9\x8a\xd8\xa7 \xf0\x9f\x91\x87 \n\nhttps://t.co/dJhQFUb0GD',ar,
