twitter_id,date,tweet,lang,data
1644580384494219264,2023-04-08T05:58:13.000Z,"b'Happy birthday to the incredible journalist @ajitanjum Sir! Your dedication to truth and reporting has undoubtedly made a positive impact on society. Wishing you a day filled with love, joy, and all your favorite things. May your passion for journalism continue to shine brightly!\xe2\x80\xa6 https://t.co/9CtyUUFEhx https://t.co/bbsWwB07iX'",en,
1643280341082460164,2023-04-04T15:52:18.000Z,b'Mark your calendars! Get ready for an exclusive update on the highly anticipated movie #PushpaTheRule at 11:07 AM tomorrow. https://t.co/HLBLVNbMPx',en,
1642387978684370945,2023-04-02T04:46:22.000Z,b'\xf0\x9f\x98\x8d We are loving the vacation mood \xf0\x9f\xa4\xaa https://t.co/AORlEYT1gm',en,
1641494956736118784,2023-03-30T17:37:49.000Z,"b""Roar for the yellow lion! \xf0\x9f\x92\x9b\xf0\x9f\xa6\x81\nMS Dhoni and CSK are ready to conquer the IPL once again. Let's go #WhistlePodu #Yellove #IPL2023 #ThalaDhoni \xf0\x9f\x8f\x8f\xf0\x9f\x94\xa5 https://t.co/7UyKWJeQlD""",en,
1641487150083641345,2023-03-30T17:06:48.000Z,"b""Who's your favorite team this year?\nLet's show our support and make some noise! #IPL2023 #CricketLove #FavoriteTeam https://t.co/Fqyx8xA8RY""",en,
1640372654334185478,2023-03-27T15:18:12.000Z,b'Happiest birthday to you @AlwaysRamCharan \xe2\x9d\xa4\xef\xb8\x8f https://t.co/KqUVtO5Yd4',en,
1639907368933937152,2023-03-26T08:29:19.000Z,b'And it was all yellow \xf0\x9f\x92\x9b https://t.co/g9qtyJy6uQ',en,
1634558397763964928,2023-03-11T14:14:25.000Z,b'https://t.co/BCPA6Nv4bR',zxx,
1633468698441945094,2023-03-08T14:04:20.000Z,b'#HappyWomensDay \n#InternationalWomensDay \n#WomensDay \n#8MarchWomensDay \n#HappyWomensDay https://t.co/q98JkzNZ6s',qme,
1633434888572379136,2023-03-08T11:49:59.000Z,b'https://t.co/GZodhKswjF',zxx,
1633353604605304832,2023-03-08T06:27:00.000Z,b'#HappyHoli https://t.co/PKfUWbCUyJ',qme,
1630998378833408000,2023-03-01T18:28:10.000Z,b'\xe2\x98\xae\xef\xb8\x8f',art,
1619697371243487234,2023-01-29T14:02:00.000Z,b'Bohot dino se #SundaySelfie nahi dala na? \xe2\x98\x80\xef\xb8\x8f https://t.co/Qn5xb0igjR',tl,
1614679384815960068,2023-01-15T17:42:19.000Z,b'In case you haven\xe2\x80\x99t noticed\xe2\x80\xa6 denim is my jam. https://t.co/hJftf7xHdf',en,
1611392070748622848,2023-01-06T15:59:42.000Z,"b'@ourfinland was calling out to me, and i made it there in the comfort of @feelfinnair\xe2\x80\xa6 looking forward to experiencing a snowy new year!   #feelfinnair #VisitFinland https://t.co/CWBynjkywb'",en,
1589358529894576128,2022-11-06T20:46:17.000Z,"b""Knowledge isn't free. You have to pay attention.""",en,
1588991101633200129,2022-11-05T20:26:15.000Z,"b'""Don\xe2\x80\x99t spend your time making other people happy. Other people being happy is their problem. It\xe2\x80\x99s not your problem. If you are happy, it makes other people happy.""'",en,
1588959317256208384,2022-11-05T18:19:57.000Z,b'If you dont put in the work dont expect the results',en,
1588640504199417856,2022-11-04T21:13:06.000Z,b'Live life on your terms. Time to stand up for who you are and what you want. Stop letting others tell you what to do or why it cant be done.',en,
