twitter_id,date,tweet,lang,data
1678474124941729810,2023-07-10T18:39:50.000Z,"b'It was a Speak Now (my version) album release party at Arrowhead Stadium in Kansas City this weekend, full of surprises \xf0\x9f\x98\x86 I got to premiere the video for \xe2\x80\x98I Can See You\xe2\x80\x99 on the big screen and hearing the crowd\xe2\x80\x99s reaction to it is something I\xe2\x80\x99ll never forget. THEN @JoeyKing,\xe2\x80\xa6 https://t.co/PSUl2FEd7p https://t.co/buuEmVgMG7'",en,
1677544828911886337,2023-07-08T05:07:09.000Z,"b'WELL. SO. I\xe2\x80\x99ve been counting down for months and finally the \xe2\x80\x98I Can See You\xe2\x80\x99 video is out. I wrote this video treatment over a year ago and really wanted to play out symbolically how it\xe2\x80\x99s felt for me to have the fans helping me reclaim my music. I had my heart set on @JoeyKing,\xe2\x80\xa6 https://t.co/1jLR9QVEBv https://t.co/Vw7SN924sR'",en,
1677310041634873348,2023-07-07T13:34:11.000Z,b'Happy belated Independence Day from your local neighborhood independent girlies \xf0\x9f\x98\x8e\n\nSee you tonight Kansas Cityyy https://t.co/A0sGomwHWY',en,
1677182301686439938,2023-07-07T05:06:35.000Z,b'@falloutboy \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c!!!',und,
1677168840625496065,2023-07-07T04:13:06.000Z,"b'It\xe2\x80\x99s here. It\xe2\x80\x99s yours, it\xe2\x80\x99s mine, it\xe2\x80\x99s ours. It\xe2\x80\x99s an album I wrote alone about the whims, fantasies, heartaches, dramas and tragedies I lived out as a young woman between 18 and 20. I remember making tracklist after tracklist, obsessing over the right way to tell the story. I had\xe2\x80\xa6 https://t.co/OD5qAAr94e https://t.co/I2cLH76EIH'",en,
1676608092509818882,2023-07-05T15:04:53.000Z,b'Really can\xe2\x80\x99t contain my excitement because\xe2\x80\xa6 we\xe2\x80\x99re adding 14 new shows to The Eras Tour. And I get to travel the world doing shows with @paramore!! Hayley and I have been friends since we were teens in Nashville and now we get to frolic around the UK/Europe next summer??? I\xe2\x80\x99m\xe2\x80\xa6 https://t.co/3U6ebQAzgi https://t.co/kl1aijxR2o',en,
1675520917995237378,2023-07-02T15:04:51.000Z,"b'Cincinnati I couldn\xe2\x80\x99t love you more. Had the best two nights with you!! Last night was so special getting to sing \xe2\x80\x98I miss you, I\xe2\x80\x99m sorry\xe2\x80\x99 with @gracieabrams in the acoustic set and bringing out @aaron_dessner to play \xe2\x80\x98Ivy\xe2\x80\x99 in his hometown. \xf0\x9f\xa5\xb9 See you soon Kansas City, meanwhile\xe2\x80\xa6 https://t.co/XqPdMoC1TY https://t.co/w7oyGn2Mxb'",en,
1675232818790649859,2023-07-01T20:00:02.000Z,b'Hey Cincinnati - Alas we\xe2\x80\x99ve got another weather situation but this just means I get to see you sooner! I\xe2\x80\x99ll be going on an hour early at 7pm - we\xe2\x80\x99ll open doors at 4:30 \xf0\x9f\x98\x86 See you then!',en,
1674577855798210560,2023-06-30T00:37:27.000Z,b'Crying (Taylor\xe2\x80\x99s Version) https://t.co/hVPrQuRAkH',en,
1673028959225643008,2023-06-25T18:02:41.000Z,b'Got to play shows for some of the most generous crowds this weekend in Minneapolis \xe2\x98\xba\xef\xb8\x8f\xe2\x98\xba\xef\xb8\x8f\xe2\x98\xba\xef\xb8\x8f Loved every second of it. Thanks to everyone there. And now we\xe2\x80\x99re soo close to Speak Now (my version!) Only 1\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3 days left! See you next weekend Cincinnati! https://t.co/anTCHla9wD',en,
1672634235981647873,2023-06-24T15:54:12.000Z,b'13 days til we return Speak Now to its mother \xf0\x9f\x98\x9d\n\nhttps://t.co/WdrCmvLHyA https://t.co/UIO0ZsMnlt',en,
1671186653195403268,2023-06-20T16:02:01.000Z,"b'EXCUSE ME HI I HAVE SOMETHING TO SAY \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f I can\xe2\x80\x99t wait to see so many of you on The Eras Tour next year at these new international dates! Visit https://t.co/EYBevxhQzH for more information on your registrations, pre-sales and on-sales!! https://t.co/G8zx8QUUAV'",en,
1670475978202820608,2023-06-18T16:58:03.000Z,"b'Pittsburgh thank you for making me feel sooooo at home in my home state. I mean\xe2\x80\xa6 You broke the all time attendance record and we got to be the first tour to play your stadium twice. Thank you so much for everything this weekend. You were a mesmerizing crowd, like beyond \xf0\x9f\xa5\xb0\xf0\x9f\x98\x8d\xe2\x80\xa6 https://t.co/i8BV8qotpE https://t.co/1bQmtJA5SS'",en,
