twitter_id,date,tweet,lang,data
1679539339653439493,2023-07-13T17:12:37.000Z,b'Focus without fail https://t.co/434bsLmL3a',en,
1676258210389409792,2023-07-04T15:54:35.000Z,b'https://t.co/GgU3eM045U',zxx,
1674549359030181888,2023-06-29T22:44:13.000Z,b'And another one! https://t.co/DZvG9ApCQ4',en,
1674201365214797825,2023-06-28T23:41:25.000Z,b'Television has had my full focus for the past 10 years. Now I\xe2\x80\x99m getting back to my first love!! I got some good ones coming your way!  You just wait!! https://t.co/iYRsXnwHcb',en,
1670805092922974209,2023-06-19T14:45:50.000Z,b'https://t.co/wViwSX1OUX',zxx,
1669069138579591168,2023-06-14T19:47:47.000Z,"b'RT @mastersofscale: This week, listen to filmmaker and entrepreneur @tylerperry and @netflix co-CEO Ted Sarandos chat with @reidhoffman abo\xe2\x80\xa6'",en,
1668307777884762138,2023-06-12T17:22:24.000Z,b'https://t.co/cZdg1FQl0b',zxx,
1666860538666659867,2023-06-08T17:31:35.000Z,b'https://t.co/Ks9tLsQU3H',zxx,
1665021397914058754,2023-06-03T15:43:30.000Z,b'Happy Saturday! https://t.co/s8WZcC9Yik',en,
1663933153164111874,2023-05-31T15:39:12.000Z,b'Quote from \xe2\x80\x9cHigher is Waiting\xe2\x80\x9d - Page 66 https://t.co/FEOwEf9PV6',en,
1662799767750033408,2023-05-28T12:35:32.000Z,b'I can\xe2\x80\x99t believe it\xe2\x80\x99s been ten years ago since we launched this show. Happy anniversary to the cast of the haves and the have nots. It was a great run https://t.co/4DSh5vazMA https://t.co/xCAIU2oHgL',en,
1661575312465903616,2023-05-25T03:29:59.000Z,"b'I\xe2\x80\x99ll never forget leaving the color purple premiere and riding in the limo with you. I\xe2\x80\x99ll never forget you doing an impromptu \xe2\x80\x9csimply the best\xe2\x80\x9d under the stars in South Africa on new years for us. Your voice, your music has moved the world and your life has encouraged us all. We\xe2\x80\xa6 https://t.co/FenstTUuDZ https://t.co/OgnwvkzuGe'",en,
1658514329132765185,2023-05-16T16:46:44.000Z,b'I just wanna say happy birthday to this timeless and amazing human being. 50 years in this business and still an icon. I love you Janet!  @JanetJackson https://t.co/G1M3Ka3aOf',en,
1658216449859805184,2023-05-15T21:03:04.000Z,b'I wanted to share this with anyone that needs it today. Thank you Joe for this interview and this question. https://t.co/xBAC3oZ8dB',en,
1654164822471081994,2023-05-04T16:43:21.000Z,"b'Lord!!\xc2\xa0\xc2\xa0This is something else. First Diary was in the top ten now\xc2\xa0The Family That Preys is in the top ten on Netflix.\xc2\xa0\xc2\xa015 year old movie of mine,\xc2\xa0\xc2\xa0how much do I love y\xe2\x80\x99all.\xc2\xa0\xc2\xa0My audience is unstoppable!\xc2\xa0\xc2\xa0\xc2\xa0God bless you!\xc2\xa0\xc2\xa0Thank you! https://t.co/hEqtWn84Ve'",en,
1650917163526397970,2023-04-25T17:38:18.000Z,"b'This man was truly one of my role models\xe2\x80\xa6.  Intelligence, class, grace, activist - Hero! I just want to say that I\xe2\x80\x99m humbled by how you used your light to help brighten a path for us all.  Your soul has returned to the creator but what you\xe2\x80\x99ve left on earth will live with us\xe2\x80\xa6 https://t.co/VICDs4bEXl https://t.co/TAItseKIor'",en,
1650530291608440835,2023-04-24T16:01:01.000Z,b'https://t.co/DD2nvAr1TJ',zxx,
1646939475870875648,2023-04-14T18:12:24.000Z,b'I was extremely honored to be given an award by the Reverend @TheRevAl and @NationalAction . \xc2\xa0Thank you for this kindness and fighting for us all. https://t.co/5u6skzDfpB',en,
1646687804003618816,2023-04-14T01:32:21.000Z,b'A reminder to not only face your fears but also study them. Thoroughly. https://t.co/zZIt2A0emv',en,
1645829005407563778,2023-04-11T16:39:47.000Z,b'https://t.co/NPVzCfxQLU',zxx,
1644417328501895171,2023-04-07T19:10:17.000Z,b'Ladies and gentlemen let\xe2\x80\x99s thank the good people of Tennessee for introducing the world to the FUTURE!\xc2\xa0\xc2\xa0I couldn\xe2\x80\x99t be more proud of both of you! I see a presidential run in both your futures!\xc2\xa0\xc2\xa0Fight on young princes! \n\n#JustinJones #JustinPearson https://t.co/Ah5qAFxGOV',en,
1643028623669202944,2023-04-03T23:12:04.000Z,b'18 years later and Diary of a Mad Black Woman is in the top ten at Netflix. Wow!!\xc2\xa0I just love y\xe2\x80\x99all. https://t.co/MMHZNriD8i',en,
1642550482496552962,2023-04-02T15:32:06.000Z,b'Never give up! https://t.co/JcpaQNzmHJ',en,
1641193604872798209,2023-03-29T21:40:21.000Z,b'https://t.co/seAcFl1t8w',zxx,
1635627548880281600,2023-03-14T13:02:50.000Z,"b'RT @MichelleObama: I can\xe2\x80\x99t wait for you to hear the latest episode of The Light Podcast with @TylerPerry. \n\nWe talk about resilience, the p\xe2\x80\xa6'",en,
1635627466998923272,2023-03-14T13:02:31.000Z,b'Had a great conversation with the one and only @michelleobama ! Check it out! @HGMedia @audible_com #TheLightxAudible https://t.co/9OIqs9uqy4',en,
1633544580141551616,2023-03-08T19:05:52.000Z,b'Happy International Women\xe2\x80\x99s Day https://t.co/c0nIyoQTbw',en,
1631008935024144386,2023-03-01T19:10:07.000Z,b'\xf0\x9f\x8d\x8f\xf0\x9f\x8d\x8a https://t.co/tMZZE5lC1H',qme,
1629522272062169090,2023-02-25T16:42:39.000Z,"b'They said I wouldn\xe2\x80\x99t make it, they said I was a flash in the pan!  But what they didn\xe2\x80\x99t know is GOD GAVE ME YOU!   Your support has meant everything.  Thank you so much for holding me up.  18 years ago today my first movie Diary of a Mad Black Woman opened at number one. https://t.co/EDp2tv660n'",en,
1628870945195843585,2023-02-23T21:34:30.000Z,b'Get ready for a crazy sexy thriller!!\n\nhttps://t.co/wkkS7TNxcP',en,
1628868147402121216,2023-02-23T21:23:23.000Z,"b'RT @netflix: Kelly Rowland &amp; Trevante Rhodes will star in Mea Culpa, the next movie from writer/director @tylerperry.\n\n@KELLYROWLAND (also\xe2\x80\xa6'",en,
1628492710389903365,2023-02-22T20:31:32.000Z,b'https://t.co/KfL9yvuRB7',zxx,
1626371777898184706,2023-02-17T00:03:43.000Z,b'RT @netflix: Get a sneak peek behind the scenes of @tylerperry\xe2\x80\x99s Six Triple Eight! \n\nKerry Washington &amp; Ebony Obsidian lead an all-star cas\xe2\x80\xa6',en,
1626371640509493253,2023-02-17T00:03:10.000Z,b'To honor the long ignored worth of the 6888 has been the greatest privilege of my career thus far. \n\n #SixTripleEightMovie\n@strongblacklead\xc2\xa0\n@netflix https://t.co/T1kP6ZO6Su',en,
1625569489604513793,2023-02-14T18:55:42.000Z,b'Airplanes and making movies\xe2\x80\xa6 \nWhen the two things I love meet. https://t.co/TX689yMFWl',en,
1624775413674426369,2023-02-12T14:20:20.000Z,b'https://t.co/hI6gZFEXep',zxx,
1624198690431959040,2023-02-11T00:08:38.000Z,b'https://t.co/UcFLwFVHKy',zxx,
1622652978477031426,2023-02-06T17:46:32.000Z,b'And still WE rise https://t.co/FmLWJTMdgk',en,
1618677150550482944,2023-01-26T18:28:00.000Z,b'https://t.co/1hm2B9A5wZ',zxx,
1615037942480932864,2023-01-16T17:27:06.000Z,b'Happy #MLKDay ! https://t.co/h2FXddUyzx',en,
1613991096203481090,2023-01-13T20:07:18.000Z,b'Back to work! https://t.co/uP9tEcpKnF',en,
1609953468009136128,2023-01-02T16:43:12.000Z,b'First Monday of the year! Let\xe2\x80\x99s go! https://t.co/1X8RsUqgTF',en,
1609222185868005376,2022-12-31T16:17:21.000Z,b'Happy New Year! https://t.co/hw5QDH6T5Y',en,
1606666229997260805,2022-12-24T15:00:54.000Z,b'https://t.co/Dx5NAmgbKM',zxx,
1604885246435917825,2022-12-19T17:03:54.000Z,b'https://t.co/ane7E6Cou9',zxx,
1603440155578302464,2022-12-15T17:21:38.000Z,b'Did you know that there was a battalion of 855 black women who were sent to Europe during World War II?  I\xe2\x80\x99m so excited to be able to honor and tell this incredible story.  \nThe \xe2\x80\x9cSix Triple Eight\xe2\x80\x9d is my next movie. https://t.co/5RGutUQKxd',en,
1602701445253537792,2022-12-13T16:26:15.000Z,b'Let\xe2\x80\x99s close the year encouraging ourselves.  Gratitude is key to increase! https://t.co/ZI1XlUBltn',en,
