twitter_id,date,tweet,lang,data
1678871006163922945,2023-07-11T20:56:54.000Z,"b'Honestly, I think they\xe2\x80\x99re somewhere in my closet haha \xf0\x9f\x98\xad\xf0\x9f\x98\x82 https://t.co/QxZcPd7Ih4'",en,
1678870387801870336,2023-07-11T20:54:27.000Z,b'Hi my love \xf0\x9f\xa4\x8d miss u guys https://t.co/tN3FOOybjW',en,
1678868418899111938,2023-07-11T20:46:37.000Z,b'Hahahaha \xf0\x9f\x98\x82 https://t.co/TR5gv5EE8b',tl,
1678868120017186818,2023-07-11T20:45:26.000Z,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/qDYbCMEoPs',art,
1678867851866943488,2023-07-11T20:44:22.000Z,b'Love uuu \xf0\x9f\x92\x8b https://t.co/xZc7CjNjy3',en,
1678854921767256064,2023-07-11T19:52:59.000Z,b'omg baby xtina \xf0\x9f\xa5\xb9\xf0\x9f\xa4\x8d https://t.co/bHIvJlVm1h',en,
1677053652047896577,2023-07-06T20:35:23.000Z,b'\xf0\x9f\x8f\x99\xef\xb8\x8f\xf0\x9f\xa9\xb7 https://t.co/h5LFHgdK0v https://t.co/UaKPlM0FFn',qme,
1677043726328160256,2023-07-06T19:55:56.000Z,b'NYC family time \xf0\x9f\x8d\xa6\xf0\x9f\x92\x95 A huge thanks to the Ice Cream Museum @AMNH @colorfactoryco @TheLionKing @museumofsex for making our time in the city so special \xe2\x9c\xa8 https://t.co/1gKrUDVtyM https://t.co/hfT86iJ6MI',en,
1675284268912906241,2023-07-01T23:24:29.000Z,b'\xf0\x9f\xa4\x8e\xf0\x9f\x92\x84 https://t.co/YeypBIWNut',qme,
1674562635784916993,2023-06-29T23:36:58.000Z,"b""As a passionate advocate for equality, I've witnessed firsthand the transformative power of acceptance and understanding. Every individual deserves to be respected and celebrated for who they truly are \xf0\x9f\x8c\x88\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc https://t.co/aCLJg7mfac""",en,
1674560955278295040,2023-06-29T23:30:18.000Z,b'City never sleeps \xf0\x9f\x8c\x86\xf0\x9f\x8c\x88\xe2\x9c\xa8 https://t.co/hUn3Hesm6M',en,
1674560582710870016,2023-06-29T23:28:49.000Z,b'Love you New York \xf0\x9f\x8d\x8e\xf0\x9f\x8c\x88\xf0\x9f\x92\x8b https://t.co/NYCub3DNM6',en,
1673802957991874560,2023-06-27T21:18:17.000Z,b'show mode\xf0\x9f\x8c\x88\xf0\x9f\x91\x85\xf0\x9f\x92\xa6 #NYCPride https://t.co/5O9nTyPu0t',en,
1672997738198212615,2023-06-25T15:58:38.000Z,b'What\xe2\x80\x99s poppin NYC?! \xf0\x9f\x9a\xa8 see you tonight \xf0\x9f\x92\x8b https://t.co/2YPbrNXMIp',en,
1672709301427662849,2023-06-24T20:52:29.000Z,"b'Stonewall Day 2023 \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88 Such an honor, thank you New York \xe2\x9c\xa8 https://t.co/8mfSvp6xzS https://t.co/DKuSWF36Bv'",en,
1672708263798767617,2023-06-24T20:48:22.000Z,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88 https://t.co/GTk6Nw5Xzo',qme,
1672707288656748544,2023-06-24T20:44:29.000Z,b'new york is calling \xf0\x9f\x8d\x8e\xf0\x9f\x8c\x88 https://t.co/98I9F3xqdn',en,
1671202624069304320,2023-06-20T17:05:29.000Z,b'NYC Pride is THIS SUNDAY! \xf0\x9f\x8c\x88Tickets on sale now \xf0\x9f\x92\x8b \n\nhttps://t.co/WqMm9uz78S https://t.co/0kiT5TPE9m',en,
1667289092105850880,2023-06-09T21:54:30.000Z,b'NYC Pride \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88\xe2\x9c\xa8 Join me as we celebrate love at The Brooklyn Army Terminal  on June 25th https://t.co/IegnIGdrXP',en,
1667288589099745281,2023-06-09T21:52:31.000Z,"b""It's national sex day and what better way to celebrate than a little sexual self care? Head over to @playground4her for a celebratory surprise in honor of our one year anniversary, happy 6 nine!\xc2\xa0\xf0\x9f\x92\x8b https://t.co/5ZVQLC9ssx""",en,
1663977699684265984,2023-05-31T18:36:13.000Z,"b'Feeling nostalgic and grateful today as I celebrate the one year anniversary of AGUILERA \xf0\x9f\x96\xa4 This record was a personal journey for me, exploring and embracing my Latin roots. Thank you for your endless support and for embracing this chapter in my music. Love you Fighters \xe2\x9c\xa8 https://t.co/5oipOGwnFN'",en,
1661806108904931328,2023-05-25T18:47:05.000Z,"b'As you may know, I am a proud supporter of the LGBTQ+ community, and I am always looking for ways to give back and show my support. The application for tickets to my EuroPride 2023 show will be available soon \xf0\x9f\x8c\x88\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc\xe2\x9c\xa8 https://t.co/NXv2ayTt4h'",en,
1661562072260554752,2023-05-25T02:37:23.000Z,b'I am deeply saddened by the loss of Tina Turner. Her powerful voice and strength will forever be etched in our hearts and memories. She paved the way for so many of us in the music industry and her legacy will continue to inspire generations to come \xf0\x9f\xa4\x8d https://t.co/Q0H20nHqBe https://t.co/Rje2gNUE2C',en,
1660875260831600641,2023-05-23T05:08:14.000Z,b'\xf0\x9f\x8e\xa8\xe2\x9c\xa8 https://t.co/S8IQGpMQyH',qme,
1657864986813767683,2023-05-14T21:46:29.000Z,b'My 20% vs my 80% \xf0\x9f\x92\x95 Being a mother has been life\xe2\x80\x99s greatest reward. Happy Mother\xe2\x80\x99s Day to all the mommas out there \xf0\x9f\xa7\xb8 https://t.co/jm3AFCJzfN',en,
1656361288187129856,2023-05-10T18:11:19.000Z,b'\xf0\x9f\xaa\xa9\xe2\x9c\xa8 https://t.co/MsrMGvq2te https://t.co/CEvkrXOy1W',qme,
1656022698211045376,2023-05-09T19:45:53.000Z,"b'Beyond grateful for my incredible team, amazing dancers, and reuniting with the legendary @therealredman and @LilKim  Thank you for making this weekend so special. \xe2\x9c\xa8\xf0\x9f\xa4\x8d https://t.co/w3aV1xsX11 https://t.co/i5uAp4D6qy'",en,
1655786743801741318,2023-05-09T04:08:17.000Z,"b'Beyond grateful for my incredible team, amazing dancers, and reuniting with the legendary @therealredman and @LilKim . Thank you for making this weekend so special. \xe2\x9c\xa8\xf0\x9f\xa4\x8d https://t.co/3MDv75ZPlB https://t.co/DmtEDD8QXC'",en,
1655735985274249220,2023-05-09T00:46:35.000Z,"b'L&amp;F, I felt the love and energy in the air \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5Thank you Vegas!!! https://t.co/KJ6APCiwTt'",en,
1655688401197346816,2023-05-08T21:37:30.000Z,b'@MissyElliott @notcapnamerica \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x98',qme,
1654537198946091010,2023-05-05T17:23:02.000Z,b'RT @billboard: .@xtina is headlining Pride Island in NYC this June! https://t.co/JPwACPlO0e',en,
1653807736549945349,2023-05-03T17:04:25.000Z,"b'I\xe2\x80\x99m honored to be performing a free show for Stonewall Day (@REALPRIDELIVE ) at @HudsonYards on June 23rd.\n\nI\xe2\x80\x99ll also be performing at the iconic @NYCPride at the Brooklyn Army Terminal on June 25th! Tickets on sale now, link in bio \xf0\x9f\x8c\x88 https://t.co/8VVokKStff'",en,
1653048286331428865,2023-05-01T14:46:38.000Z,"b'RT @RollingStone: EXCLUSIVE: \xe2\x80\x9cIt\xe2\x80\x99s going to be another high energy Pride show \xe2\x80\x93 which is my favorite,\xe2\x80\x9d @xtina tells Rolling Stone. https://\xe2\x80\xa6'",en,
1653022369282400256,2023-05-01T13:03:39.000Z,"b'RT @REALPRIDELIVE: \xf0\x9f\x8e\xb6 Thanks for making me a fighter \xf0\x9f\x8e\xb6 We are SO thrilled to announce that Grammy award winner, global pop star, and long-ti\xe2\x80\xa6'",en,
1649939818925662209,2023-04-23T00:54:41.000Z,b'Mamma mia !\xf0\x9f\x8d\x84 Celebrated the new #SuperMarioMovie with family and friends \xf0\x9f\x92\x95 https://t.co/Hdz95N36JN',en,
1649935765168701441,2023-04-23T00:38:35.000Z,b'\xf0\x9f\x8d\x91\xf0\x9f\x91\x91 #SuperMarioMovie https://t.co/p7msSWYjxu',qme,
1646664141661409280,2023-04-13T23:58:19.000Z,b'\xf0\x9f\x92\x99 https://t.co/3uud7yPKiO',qme,
1643728464254758913,2023-04-05T21:32:59.000Z,b'NOW we\xe2\x80\x99re ready \xf0\x9f\x8e\xa4 CHRISTINA AGUILERA x CHD episode is live on @Spotify\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 https://t.co/LW2YCB5ZCy',en,
1643481647495663616,2023-04-05T05:12:13.000Z,b'RT @callherdaddy: Christina Aguilera is HERE!!!!! \xf0\x9f\x94\xa5 WATCH NOW https://t.co/tMOlI6GPEg https://t.co/KVEfDweD2n',en,
1643481354997497856,2023-04-05T05:11:04.000Z,b'Hi Daddy Gang \xf0\x9f\x92\x8b Listen to my first EVER podcast episode on @callherdaddy now \xe2\x9c\xa8 https://t.co/ZU9TKadjbY',en,
1643078415757758464,2023-04-04T02:29:55.000Z,b'RT @callherdaddy: This week\xe2\x80\x99s guest is finally sitting down for their first podcast interview \xf0\x9f\x91\x80 GUESS WHO IS COMING https://t.co/VWwZthpwjD',en,
1642305052592463872,2023-04-01T23:16:51.000Z,b'GLAAD \xf0\x9f\x8c\x88\xe2\x9c\xa8 https://t.co/pXa6wSHCM3',et,
1642012896547987457,2023-04-01T03:55:56.000Z,"b'Michael, your words of inspiration mean the world to me, but I must say that you are the true embodiment of bravery. To endure violence and then choose to take action to effect change is nothing short of heroic \xe2\x9d\xa4\xef\xb8\x8f https://t.co/o68gQNkiVe'",en,
1642012536685096961,2023-04-01T03:54:30.000Z,"b'I am humbled and honored to receive this award, and to have the opportunity to serve as a safe haven and advocate for all those who seek acceptance and inclusion. @glaad https://t.co/7PNt2TnDjT'",en,
1642011764215934976,2023-04-01T03:51:26.000Z,"b'On #TransDayofVisibility, we celebrate the invaluable contributions of every individual in the transgender community. As someone who believes in equality and inclusion for all, I am deeply grateful to @glaad for amplifying the voices of those who are often marginalized. https://t.co/it09TjKkkY'",en,
1641983313056518145,2023-04-01T01:58:23.000Z,"b'RT @glaad: March 31st is #TransDayOfVisibility. Today is a day to celebrate the lives and contributions of trans people, while also drawing\xe2\x80\xa6'",en,
1641654757000634369,2023-03-31T04:12:49.000Z,"b""RT @glaad: .@xtina's presenter at the #GLAADawards was Club Q Colorado Springs shooting survivor @michaelwaynea.\n\nA true Fighter, Michael i\xe2\x80\xa6""",en,
1641654716764659712,2023-03-31T04:12:39.000Z,"b'RT @glaad: GLAAD\xe2\x80\x99s Advocate for Change Award is presented to a person who, through their work, has changed the game for LGBTQ people around\xe2\x80\xa6'",en,
1641191351017684992,2023-03-29T21:31:24.000Z,"b'RT @SexWithEmily: So many great moments from my woman-to-woman chat with @playground4her co-founder @xtina , but this is a personal fave. C\xe2\x80\xa6'",en,
1641146760843100168,2023-03-29T18:34:13.000Z,"b'RT @glaad: .@xtina will be honored with the Advocate For Change Award at the #GLAADawards in Los Angeles. \n\nIn 2003, she performed ""Beautif\xe2\x80\xa6'",en,
1640746721599959040,2023-03-28T16:04:36.000Z,"b'RT @Forbes: Christina Aguilera Reflects On Her Career, Motherhood And How She Looks To Empower Women Today https://t.co/IJisXeAK4S https://\xe2\x80\xa6'",en,
1640745791852810240,2023-03-28T16:00:55.000Z,"b'I\xe2\x80\x99ve spent my entire career encouraging everyone, but especially women to feel empowered while owning their sexuality! I am so proud to be a co-founder of @playground4her a brand that\xe2\x80\x99s committed to making sexual wellness products accessible and \xe2\x9c\xa8FUN\xe2\x9c\xa8 for all!  #helloplayground https://t.co/X5wLT0xZNw'",en,
1640700496267845633,2023-03-28T13:00:55.000Z,"b'Sex is an essential part of our overall wellness, and @playground4her is here to remind you that EVERY part of your body, not just your hair or your face, deserves to be pampered \xf0\x9f\x92\x85\xf0\x9f\x8f\xbc #helloplayground https://t.co/isWoivx7oK'",en,
1635471040582422528,2023-03-14T02:40:56.000Z,b'\xf0\x9f\x92\x8e\xe2\x9c\xa8 https://t.co/VofR0LBr23',qme,
1635464859742765056,2023-03-14T02:16:22.000Z,b'So special to catch up with so many beautiful souls that I admire. Thank you @VanityFair for having me \xf0\x9f\x96\xa4\xe2\x9c\xa8 #VFOscars https://t.co/UUY00fb8uu',en,
1634633248113590273,2023-03-11T19:11:51.000Z,b'good girl \xf0\x9f\x92\x8b #burlesque https://t.co/55BGzn8npm',en,
1633933410703147008,2023-03-09T20:50:56.000Z,b'@moesqueek @netflix \xf0\x9f\x92\x95\xf0\x9f\x98\x98',qme,
1633932933185798144,2023-03-09T20:49:02.000Z,b'@netflix \xf0\x9f\x98\x82\xf0\x9f\x8d\xaa',qme,
1633932699198169088,2023-03-09T20:48:07.000Z,b'@paulrivas88 @netflix \xe2\x9d\xa4\xef\xb8\x8f',qme,
1633621412333371392,2023-03-09T00:11:10.000Z,b'Oh OK!! I see all of you streaming Burlesque on @netflix \xf0\x9f\x91\x80 Tell me your favorite Ali moment \xf0\x9f\x8c\xb9\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 https://t.co/Wrifbl5DS2',en,
1633569133005770752,2023-03-08T20:43:26.000Z,b'Celebrating women today \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 https://t.co/SeJ76rXogp',en,
1631726620745814016,2023-03-03T18:41:57.000Z,b'La ultima vez \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1 https://t.co/CIEApTIc8N',es,
1631148546769690624,2023-03-02T04:24:53.000Z,b'It\xe2\x80\x99s moments like these that truly make what I do worthwhile \xe2\x9d\xa4\xef\xb8\x8f Making new memories around the world with my family and seeing my daughter capture her experiences in her own creative way has been the greatest reward \xf0\x9f\x8e\xa8\xe2\x9c\xa8 https://t.co/0ApnDMh6tX https://t.co/u9sqYnc6JL',en,
1629972325415424005,2023-02-26T22:31:00.000Z,"b'Una noche m\xc3\xa1gica, te amo Santiago \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 https://t.co/Vq4eo4o87W'",es,
